Date,Settle
2014-02-18,9.78
2014-02-19,10.14
2014-02-20,10.17
2014-02-21,10.06
2014-02-24,10.11
2014-02-25,10.14
2014-02-26,10.26
2014-02-27,10.31
2014-02-28,10.31
2014-03-03,10.34
2014-03-04,10.34
2014-03-05,11.81
2014-03-06,11.55
2014-03-07,12.12
2014-03-11,10.63
2014-03-12,9.38
2014-03-13,9.57
2014-03-14,9.55
2014-03-17,9.88
2014-03-18,10.22
2014-03-19,10.63
2014-03-20,10.41
2014-03-21,10.75
2014-03-24,10.87
2014-03-25,10.85
2014-03-26,11.02
2014-03-27,11.09
2014-03-28,11.13
2014-03-31,11.18
2014-04-01,11.2
2014-04-02,11.62
2014-04-03,11.68
2014-04-04,11.83
2014-04-07,11.47
2014-04-08,12.1
2014-04-09,12.34
2014-04-10,12.39
2014-04-11,12.61
2014-04-14,12.25
2014-04-15,12.02
2014-04-16,12.02
2014-04-17,12.17
2014-04-21,12.13
2014-04-22,11.61
2014-04-23,11.47
2014-04-24,11.4
2014-04-25,11.21
2014-04-28,11.38
2014-04-29,11.34
2014-04-30,11.3
2014-05-01,11.29
2014-05-02,9.61
2014-05-05,9.44
2014-05-06,9.55
2014-05-07,9.51
2014-05-08,9.18
2014-05-09,9.03
2014-05-12,9.09
2014-05-13,9.08
2014-05-14,9.29
2014-05-15,8.96
2014-05-16,8.8
2014-05-19,9.34
2014-05-20,9.71
2014-05-21,10.06
2014-05-22,9.94
2014-05-23,10.13
2014-05-27,10.22
2014-05-28,10.03
2014-05-29,10.07
2014-05-30,10.0
2014-06-02,10.01
2014-06-03,11.53
2014-06-04,11.64
2014-06-05,11.31
2014-06-06,11.78
2014-06-09,12.68
2014-06-10,12.73
2014-06-11,12.58
2014-06-12,12.65
2014-06-13,12.73
2014-06-16,12.26
2014-06-17,12.0
2014-06-18,11.8
2014-06-19,11.89
2014-06-20,12.22
2014-06-23,12.09
2014-06-24,11.95
2014-06-25,12.1
2014-06-26,12.11
2014-06-27,12.05
2014-06-30,12.06
2014-07-01,12.05
2014-07-02,13.19
2014-07-03,13.29
2014-07-07,13.68
2014-07-08,14.24
2014-07-09,13.46
2014-07-10,13.27
2014-07-11,12.67
2014-07-14,12.42
2014-07-15,12.2
2014-07-16,12.72
2014-07-17,13.46
2014-07-18,13.56
2014-07-21,13.78
2014-07-22,13.75
2014-07-23,13.82
2014-07-24,13.69
2014-07-25,13.51
2014-07-28,13.58
2014-07-29,13.47
2014-07-30,13.47
2014-07-31,13.39
2014-08-01,13.41
2014-08-04,9.52
2014-08-05,9.32
2014-08-06,8.95
2014-08-07,8.75
