Date,Settle
2014-02-18,914.686
2014-02-19,913.009
2014-02-20,912.319
2014-02-21,911.74
2014-02-24,913.627
2014-02-25,913.451
2014-02-26,913.717
2014-02-27,913.497
2014-02-28,913.65
2014-03-03,913.65
2014-03-04,913.65
2014-03-05,904.157
2014-03-07,911.06
2014-03-11,912.475
2014-03-12,910.056
2014-03-13,909.084
2014-03-14,914.949
2014-03-17,904.746
2014-03-18,907.948
2014-03-19,906.0
2014-03-20,908.405
2014-03-21,910.429
2014-03-24,911.339
2014-03-25,910.491
2014-03-26,910.191
2014-03-27,911.089
2014-03-28,911.384
2014-03-31,911.405
2014-04-01,911.405
2014-04-02,895.39
2014-04-03,905.553
2014-04-04,909.73
2014-04-07,908.34
2014-04-08,918.921
2014-04-09,918.543
2014-04-10,918.071
2014-04-11,920.363
2014-04-14,927.67
2014-04-15,925.518
2014-04-16,923.853
2014-04-17,922.732
2014-04-21,924.805
2014-04-22,925.092
2014-04-23,924.961
2014-04-24,927.502
2014-04-25,926.038
2014-04-28,924.939
2014-04-29,926.072
2014-04-30,925.625
2014-05-01,925.625
2014-05-02,922.398
2014-05-05,915.367
2014-05-06,915.242
2014-05-07,927.121
2014-05-08,929.921
2014-05-09,923.519
2014-05-12,924.398
2014-05-13,926.644
2014-05-14,931.479
2014-05-15,928.399
2014-05-16,930.31
2014-05-19,931.308
2014-05-20,934.153
2014-05-21,938.339
2014-05-22,938.472
2014-05-23,939.637
2014-05-27,938.954
2014-05-28,937.762
2014-05-29,938.284
2014-05-30,937.838
2014-06-02,937.838
2014-06-03,924.643
2014-06-04,920.052
2014-06-05,925.141
2014-06-06,923.629
2014-06-09,935.499
2014-06-10,934.34
2014-06-11,935.595
2014-06-12,948.721
2014-06-13,947.638
2014-06-16,949.051
2014-06-17,949.108
2014-06-18,951.547
2014-06-19,954.223
2014-06-20,954.884
2014-06-23,953.644
2014-06-24,954.393
2014-06-25,953.142
2014-06-26,952.081
2014-06-27,952.339
2014-06-30,952.452
2014-07-01,952.452
2014-07-02,951.858
2014-07-03,952.125
2014-07-07,945.886
2014-07-08,942.267
2014-07-09,936.824
2014-07-10,941.757
2014-07-11,936.329
2014-07-14,942.877
2014-07-15,944.264
2014-07-16,937.246
2014-07-17,938.946
2014-07-18,938.252
2014-07-21,941.306
2014-07-22,940.015
2014-07-23,940.043
2014-07-24,937.066
2014-07-25,939.003
2014-07-28,937.491
2014-07-29,936.668
2014-07-30,935.598
2014-07-31,935.511
2014-08-01,935.511
2014-08-04,886.942
2014-08-05,869.184
2014-08-06,876.356
2014-08-07,885.048
2014-08-08,878.085
2014-08-11,877.775
2014-08-12,871.099
2014-08-13,872.74
2014-08-14,860.789
