Date,Settle
2014-03-13,2.9484
2014-03-14,2.9619
2014-03-17,2.9345
2014-03-18,2.9462
2014-03-19,2.94
2014-03-20,2.9478
2014-03-21,2.9474
2014-03-24,2.9449
2014-03-25,2.9473
2014-03-26,2.9469
2014-03-27,2.9509
2014-03-28,2.9519
2014-03-31,2.9298
2014-04-01,2.8878
2014-04-02,2.8676
2014-04-03,2.9034
2014-04-04,2.9049
2014-04-07,2.891
2014-04-08,2.9243
2014-04-09,2.9383
2014-04-10,2.9283
2014-04-11,2.9247
2014-04-14,2.9509
2014-04-15,2.955
2014-04-16,2.9663
2014-04-17,2.9653
2014-04-21,2.9666
2014-04-22,2.9636
2014-04-23,2.9574
2014-04-24,2.9654
2014-04-25,2.96
2014-04-28,2.9551
2014-04-29,2.9568
2014-04-30,2.9281
2014-05-01,2.914
2014-05-02,2.9219
2014-05-05,2.9075
2014-05-06,2.8915
2014-05-07,2.9237
2014-05-08,2.9181
2014-05-09,2.9086
2014-05-12,2.9164
2014-05-13,2.9322
2014-05-14,2.9428
2014-05-15,2.9365
2014-05-16,2.9379
2014-05-19,2.9325
2014-05-20,2.9357
2014-05-21,2.937
2014-05-22,2.9363
2014-05-23,2.9373
2014-05-27,2.9344
2014-05-28,2.9331
2014-05-29,2.932
2014-05-30,2.8882
2014-06-02,2.8773
2014-06-03,2.8663
2014-06-04,2.8503
2014-06-05,2.8774
2014-06-06,2.8705
2014-06-09,2.8858
2014-06-10,2.8807
2014-06-11,2.8942
2014-06-12,2.9468
2014-06-13,2.9458
2014-06-16,2.9512
2014-06-17,2.9608
2014-06-18,2.9703
2014-06-19,2.9749
2014-06-20,2.9745
2014-06-23,2.9692
2014-06-24,2.9714
2014-06-25,2.9691
2014-06-26,2.9668
2014-06-27,2.9653
2014-06-30,2.9753
2014-07-01,2.9782
2014-07-02,2.9476
2014-07-03,2.9315
2014-07-07,2.9195
2014-07-08,2.886
2014-07-09,2.8841
2014-07-10,2.9002
2014-07-11,2.8781
2014-07-14,2.8858
2014-07-15,2.8755
2014-07-16,2.8767
2014-07-17,2.8774
2014-07-18,2.8711
2014-07-21,2.8766
2014-07-22,2.875
2014-07-23,2.8817
2014-07-24,2.8805
2014-07-25,2.8907
2014-07-28,2.8856
2014-07-29,2.8882
2014-07-30,2.8867
2014-07-31,2.8899
2014-08-01,2.8661
2014-08-04,2.871
2014-08-05,2.849
2014-08-06,2.874
2014-08-07,2.8899
2014-08-08,2.8755
2014-08-11,2.8772
2014-08-12,2.8544
2014-08-13,2.8896
2014-08-14,2.8425
2014-08-15,2.8575
2014-08-18,2.8375
2014-08-19,2.8422
2014-08-20,2.8455
2014-08-21,2.8494
2014-08-22,2.8467
2014-08-25,2.8488
2014-08-26,2.8502
2014-08-27,2.8525
2014-08-28,2.8514
2014-08-29,2.8601
2014-09-02,2.7967
2014-09-03,2.8625
2014-09-04,2.8358
2014-09-05,2.8212
2014-09-08,2.8132
2014-09-09,2.7996
2014-09-10,2.7723
2014-09-11,2.7742
2014-09-12,2.7645
2014-09-15,2.764
2014-09-16,2.7727
2014-09-17,2.7674
2014-09-18,2.7534
2014-09-19,2.755
2014-09-22,2.7452
2014-09-23,2.744
2014-09-24,2.7454
2014-09-25,2.7467
2014-09-26,2.7474
2014-09-29,2.7477
2014-09-30,2.6505
2014-10-01,2.6556
2014-10-02,2.6388
2014-10-03,2.619
2014-10-06,2.6233
2014-10-07,2.6117
2014-10-08,2.5872
2014-10-09,2.5581
2014-10-10,2.5745
2014-10-13,2.5723
2014-10-14,2.5208
2014-10-15,2.5131
2014-10-16,2.5192
2014-10-17,2.5323
2014-10-20,2.5271
2014-10-21,2.5379
2014-10-22,2.524
2014-10-23,2.5318
2014-10-24,2.5274
2014-10-27,2.5259
2014-10-28,2.529
2014-10-29,2.5345
2014-10-30,2.5326
2014-10-31,2.5109
2014-11-03,2.4899
2014-11-04,2.4452
2014-11-05,2.4416
2014-11-06,2.4584
2014-11-07,2.4907
2014-11-10,2.4684
2014-11-11,2.468
2014-11-12,2.4542
2014-11-13,2.4051
2014-11-14,2.4336
2014-11-17,2.4278
2014-11-18,2.4183
2014-11-19,2.41
2014-11-20,2.4167
2014-11-21,2.4231
2014-11-24,2.4212
