Date,Settle
2014-02-18,61.99
2014-02-19,61.69
2014-02-20,60.77
2014-02-21,60.72
2014-02-24,61.39
2014-02-25,61.15
2014-02-26,61.77
2014-02-27,62.33
2014-02-28,61.15
2014-03-03,60.67
2014-03-04,60.67
2014-03-05,66.77
2014-03-06,66.8
2014-03-07,66.15
2014-03-10,65.64
2014-03-11,64.95
2014-03-12,64.38
2014-03-13,64.08
2014-03-14,63.46
2014-03-17,63.64
2014-03-18,62.89
2014-03-19,62.23
2014-03-20,63.91
2014-03-21,63.33
2014-03-24,63.04
2014-03-25,62.73
2014-03-26,62.15
2014-03-27,61.49
2014-03-28,61.19
2014-03-31,61.21
2014-04-01,62.19
2014-04-02,62.19
2014-04-03,62.19
2014-04-04,62.19
2014-04-07,44.71
2014-04-08,44.31
2014-04-09,43.87
2014-04-10,43.44
2014-04-11,43.26
2014-04-14,42.86
2014-04-15,42.73
2014-04-16,42.08
2014-04-17,41.92
2014-04-21,41.59
2014-04-22,41.74
2014-04-23,44.44
2014-04-24,43.74
2014-04-25,43.68
2014-04-28,43.46
2014-04-29,43.45
2014-04-30,42.9
2014-05-01,42.88
2014-05-02,42.88
2014-05-05,42.88
2014-05-06,41.83
2014-05-07,42.91
2014-05-08,43.56
2014-05-09,43.55
2014-05-12,43.34
2014-05-13,42.59
2014-05-14,41.94
2014-05-15,41.42
2014-05-16,41.18
2014-05-19,40.62
2014-05-20,40.28
2014-05-21,40.02
2014-05-22,39.97
2014-05-23,39.77
2014-05-27,39.05
2014-05-28,38.36
2014-05-29,38.32
2014-05-30,39.36
2014-06-02,40.24
2014-06-03,40.24
2014-06-04,40.24
2014-06-05,40.24
2014-06-06,59.02
2014-06-09,57.41
2014-06-10,56.01
2014-06-11,54.86
2014-06-12,53.61
2014-06-13,52.55
2014-06-16,51.39
2014-06-17,50.17
2014-06-18,49.04
2014-06-19,47.88
2014-06-20,46.87
2014-06-23,45.7
2014-06-24,44.82
2014-06-25,43.28
2014-06-26,41.76
2014-06-27,40.38
2014-06-30,38.96
2014-07-01,38.93
2014-07-02,38.93
2014-07-03,38.93
2014-07-07,38.93
2014-07-08,55.4
2014-07-09,54.53
2014-07-10,53.53
2014-07-11,52.38
2014-07-14,51.33
2014-07-15,50.1
2014-07-16,48.9
2014-07-17,47.57
2014-07-18,45.96
2014-07-21,44.81
2014-07-22,44.1
2014-07-23,43.06
2014-07-24,41.92
2014-07-25,40.73
2014-07-28,39.68
2014-07-29,38.37
2014-07-30,36.94
2014-07-31,35.93
2014-08-01,35.95
2014-08-04,35.95
2014-08-05,35.95
2014-08-06,35.95
2014-08-07,53.08
2014-08-08,52.49
2014-08-11,52.19
2014-08-12,51.37
2014-08-13,50.44
2014-08-14,49.52
2014-08-15,48.61
2014-08-18,47.61
2014-08-19,46.43
2014-08-20,45.38
2014-08-21,44.51
2014-08-22,43.65
2014-08-25,42.97
2014-08-26,42.33
2014-08-27,41.52
2014-08-28,40.63
2014-08-29,39.78
2014-09-02,39.75
2014-09-03,39.75
2014-09-04,39.75
2014-09-05,39.75
2014-09-08,39.69
2014-09-09,39.43
2014-09-10,39.53
2014-09-11,39.76
2014-09-12,39.24
2014-09-15,38.74
2014-09-16,38.85
2014-09-17,38.77
2014-09-18,38.51
2014-09-19,38.3
2014-09-22,38.13
2014-09-23,37.91
2014-09-24,37.53
2014-09-25,37.1
2014-09-26,36.74
2014-09-29,36.28
2014-09-30,35.89
2014-10-01,35.88
2014-10-02,35.88
2014-10-03,35.88
2014-10-06,35.88
2014-10-07,37.49
2014-10-08,37.72
2014-10-09,37.72
2014-10-10,38.04
2014-10-13,37.62
2014-10-14,37.24
2014-10-15,37.23
2014-10-16,36.99
2014-10-17,36.9
2014-10-20,37.62
2014-10-21,37.8
2014-10-22,37.55
2014-10-23,37.28
2014-10-24,37.02
2014-10-27,36.86
2014-10-28,36.74
2014-10-29,37.04
2014-10-30,36.8
2014-10-31,36.51
2014-11-03,36.39
2014-11-04,36.39
2014-11-05,36.39
2014-11-06,36.39
2014-11-07,37.77
2014-11-10,37.09
2014-11-11,36.26
2014-11-12,35.89
2014-11-13,36.3
2014-11-14,39.62
2014-11-17,39.81
2014-11-18,39.71
2014-11-19,40.17
2014-11-20,39.83
2014-11-21,39.82
2014-11-24,39.95
2014-11-25,40.46
2014-11-26,39.87
2014-11-28,39.87
2014-12-01,38.97
2014-12-02,38.97
2014-12-03,38.97
2014-12-04,38.97
2014-12-05,37.97
2014-12-08,37.32
2014-12-09,36.84
2014-12-10,36.32
2014-12-11,36.14
2014-12-12,35.55
2014-12-15,34.84
2014-12-17,33.59
2014-12-18,33.67
2014-12-19,33.16
2014-12-22,32.49
2014-12-23,31.7
2014-12-24,30.78
2014-12-26,30.78
2014-12-29,28.92
2015-01-02,44.72
2015-01-07,41.33
2015-01-08,40.44
2015-01-09,39.46
2015-01-12,38.53
2015-01-13,38.75
2015-01-14,37.83
2015-01-15,36.9
2015-01-16,36.9
2015-01-20,34.6
2015-01-21,33.43
2015-01-22,32.27
2015-01-23,31.25
2015-01-26,30.14
2015-01-27,29.0
2015-01-29,26.55
2015-01-30,25.66
2015-02-02,25.61
2015-02-03,25.61
2015-02-04,25.61
2015-02-05,25.61
2015-02-06,29.52
2015-02-09,28.94
2015-02-10,28.36
2015-02-11,27.62
2015-02-12,27.08
2015-02-13,26.67
2015-02-17,26.16
2015-02-18,25.95
2015-02-19,25.4
2015-02-20,24.86
2015-02-23,24.79
2015-02-24,25.05
2015-02-25,24.91
2015-02-26,24.43
2015-02-27,24.41
2015-03-02,24.63
2015-03-03,24.63
2015-03-04,24.63
2015-03-05,24.63
2015-03-06,29.4
2015-03-10,29.66
2015-03-11,29.52
2015-03-12,29.31
2015-03-13,29.08
2015-03-16,28.81
2015-03-17,28.72
2015-03-18,28.91
2015-03-19,28.72
2015-03-20,28.64
2015-03-23,28.54
2015-03-24,28.46
2015-03-25,28.45
2015-03-26,28.33
2015-03-27,28.3
2015-03-30,29.16
2015-04-01,29.31
2015-04-02,29.31
2015-04-06,29.31
2015-04-07,29.31
2015-04-08,27.28
2015-04-09,27.05
2015-04-10,27.0
2015-04-13,26.73
2015-04-14,26.53
2015-04-15,26.34
2015-04-16,26.27
2015-04-17,26.7
2015-04-20,26.5
2015-04-21,26.39
2015-04-22,26.73
2015-04-23,26.6
2015-04-24,26.36
2015-04-27,26.13
2015-04-28,25.66
2015-04-29,25.5
2015-04-30,25.81
2015-05-01,26.96
2015-05-04,26.96
2015-05-05,26.96
2015-05-06,26.96
2015-05-07,26.18
2015-05-08,26.24
2015-05-11,26.29
2015-05-12,26.09
2015-05-13,25.94
2015-05-14,26.59
2015-05-15,26.41
2015-05-18,26.96
2015-05-19,27.46
2015-05-20,27.39
2015-05-21,27.29
2015-05-22,27.29
2015-05-26,27.63
2015-05-27,27.52
2015-05-28,27.47
2015-05-29,27.47
2015-06-01,27.47
2015-06-02,27.47
2015-06-03,28.46
2015-06-04,29.87
2015-06-05,31.83
2015-06-08,31.36
2015-06-09,31.02
2015-06-10,30.73
2015-06-11,30.42
2015-06-12,30.26
2015-06-15,29.92
2015-06-16,29.47
2015-06-17,28.94
2015-06-18,28.65
2015-06-19,28.41
2015-06-22,27.79
2015-06-23,27.22
2015-06-24,26.82
2015-06-25,26.62
2015-06-26,26.42
2015-07-01,25.95
2015-07-02,25.95
2015-07-06,25.95
2015-07-07,25.95
2015-07-08,36.85
2015-07-09,36.11
2015-07-10,35.33
2015-07-14,34.04
2015-07-15,33.45
2015-07-16,33.0
2015-07-17,32.5
2015-07-20,32.01
2015-07-21,31.57
2015-07-22,31.06
2015-07-23,30.58
2015-07-24,30.3
2015-07-27,30.0
2015-07-28,29.44
2015-07-29,29.3
2015-07-30,30.82
2015-07-31,31.82
2015-08-03,31.74
2015-08-04,31.74
2015-08-05,31.74
2015-08-06,31.74
2015-08-07,43.35
2015-08-10,43.3
2015-08-11,45.97
2015-08-12,49.91
2015-08-13,52.34
2015-08-14,54.67
2015-08-17,54.14
2015-08-18,53.59
2015-08-19,53.02
2015-08-20,52.08
2015-08-21,51.1
2015-08-24,50.51
2015-08-25,50.02
2015-08-26,49.22
2015-08-27,48.49
2015-08-28,47.69
2015-08-31,46.9
2015-09-01,46.6
2015-09-02,27.0
2015-09-03,27.0
2015-09-04,27.0
2015-09-08,27.0
2015-09-09,27.0
2015-09-10,27.0
2015-09-11,27.0
2015-09-14,27.0
2015-09-15,27.0
2015-09-16,27.0
2015-09-17,27.0
2015-09-18,27.0
2015-09-21,27.0
2015-09-22,27.0
2015-09-23,27.0
2015-09-24,27.0
2015-09-25,27.0
2015-09-28,27.0
2015-09-29,27.0
2015-09-30,0.0
2015-10-01,24.4
2015-10-02,25.07
2015-10-05,25.07
2015-10-06,25.07
2015-10-07,25.07
2015-10-08,25.07
2015-10-09,25.07
2015-10-12,25.07
2015-10-13,25.07
2015-10-14,25.07
2015-10-15,25.07
2015-10-16,25.07
2015-10-19,25.07
2015-10-20,25.07
2015-10-21,25.07
2015-10-22,25.07
2015-10-23,25.07
2015-10-26,25.07
2015-10-27,25.07
2015-10-28,25.07
2015-10-29,25.07
2015-10-30,25.56
2015-11-02,23.65
2015-11-03,23.65
2015-11-04,23.65
2015-11-05,23.65
2015-11-06,23.65
2015-11-09,23.65
2015-11-10,23.65
2015-11-11,23.65
2015-11-12,23.65
2015-11-13,23.65
2015-11-16,23.65
2015-11-17,23.65
2015-11-18,23.65
2015-11-19,23.65
2015-11-20,23.65
2015-11-23,23.65
2015-11-24,23.65
2015-11-25,23.65
2015-11-27,23.65
2015-11-30,26.78
2015-12-01,26.78
2015-12-02,26.78
2015-12-03,26.78
2015-12-04,26.78
2015-12-07,26.78
2015-12-08,26.78
2015-12-09,26.78
2015-12-10,26.78
2015-12-11,26.78
2015-12-14,26.78
2015-12-15,26.78
2015-12-16,26.78
2015-12-17,26.78
2015-12-18,26.78
2015-12-21,26.78
2015-12-22,26.78
2015-12-23,26.78
2015-12-24,26.78
2015-12-28,26.78
2015-12-29,26.78
2015-12-30,26.78
2015-12-31,26.78
2016-01-04,24.78
2016-01-05,24.78
2016-01-06,24.78
2016-01-07,24.78
2016-01-08,24.78
2016-01-11,24.78
2016-01-12,24.78
2016-01-13,24.78
2016-01-14,24.78
2016-01-15,24.78
2016-01-19,24.78
2016-01-20,24.78
2016-01-21,24.78
2016-01-22,24.78
2016-01-25,24.78
2016-01-26,24.78
2016-01-27,24.78
2016-01-28,24.78
2016-01-29,24.78
2017-12-05,24.3
2017-12-06,24.52
