Date,Settle
2014-03-13,0.015
2014-03-14,0.023
2014-03-17,0.028
2014-03-18,0.001
2014-03-19,0.024
2014-03-20,0.029
2014-03-21,0.06
2014-03-24,0.048
2014-03-25,0.042
2014-03-26,0.092
2014-03-27,0.06
2014-03-28,0.172
2014-03-31,0.218
2014-04-01,0.214
2014-04-02,0.11
2014-04-03,0.088
2014-04-04,0.112
2014-04-07,0.09
2014-04-08,0.13
2014-04-09,0.138
2014-04-10,0.168
2014-04-11,0.18
2014-04-14,0.188
2014-04-15,0.175
2014-04-16,0.18
2014-04-17,0.182
2014-04-21,0.202
2014-04-22,0.198
2014-04-23,0.158
2014-04-24,0.2
2014-04-25,0.212
2014-04-28,0.2
2014-04-29,0.33
2014-04-30,0.335
2014-05-01,0.345
2014-05-02,0.202
2014-05-05,0.202
2014-05-06,0.19
2014-05-07,0.205
2014-05-08,0.215
2014-05-09,0.215
2014-05-12,0.208
2014-05-13,0.195
2014-05-14,0.178
2014-05-15,0.145
2014-05-16,0.144
2014-05-19,0.158
2014-05-20,0.158
2014-05-21,0.168
2014-05-22,0.18
2014-05-23,0.193
2014-05-27,0.218
2014-05-28,0.23
2014-05-29,0.306
2014-05-30,0.312
2014-06-02,0.332
2014-06-03,0.056
2014-06-04,0.058
2014-06-05,0.127
2014-06-06,0.11
2014-06-09,0.124
2014-06-10,0.129
2014-06-11,0.127
2014-06-12,0.122
2014-06-13,0.126
2014-06-16,0.125
2014-06-17,0.138
2014-06-18,0.134
2014-06-19,0.132
2014-06-20,0.162
2014-06-23,0.134
2014-06-24,0.138
2014-06-25,0.161
2014-06-26,0.152
2014-06-27,0.071
2014-06-30,0.024
2014-07-01,0.12
2014-07-02,0.045
2014-07-03,0.046
2014-07-07,0.045
2014-07-08,0.045
2014-07-09,0.046
2014-07-10,0.042
2014-07-11,0.049
2014-07-14,0.047
2014-07-15,0.045
2014-07-16,0.045
2014-07-17,0.011
2014-07-18,0.006
2014-07-21,0.006
2014-07-22,0.004
2014-07-23,0.038
2014-07-24,0.036
2014-07-25,0.042
2014-07-28,0.052
2014-07-29,0.049
2014-07-30,0.1775
2014-07-31,0.19
2014-08-01,0.188
2014-08-04,0.155
2014-08-05,0.135
2014-08-06,0.135
2014-08-07,0.125
2014-08-08,0.14
2014-08-11,0.142
2014-08-12,0.145
2014-08-13,0.142
2014-08-14,0.13
2014-08-15,0.13
2014-08-18,0.132
2014-08-19,0.13
2014-08-20,0.12
2014-08-21,0.122
2014-08-22,0.128
2014-08-25,0.13
2014-08-26,0.158
2014-08-27,0.17
2014-08-28,0.17
2014-08-29,0.172
2014-09-02,0.167
2014-09-03,0.165
2014-09-04,0.152
2014-09-05,0.138
2014-09-08,0.138
2014-09-09,0.125
2014-09-10,0.125
2014-09-11,0.135
2014-09-12,0.135
2014-09-15,0.135
2014-09-16,0.122
2014-09-17,0.122
2014-09-18,0.122
2014-09-19,0.12
2014-09-22,0.122
2014-09-23,0.13
2014-09-24,0.155
2014-09-25,0.182
2014-09-26,0.195
2014-09-29,0.252
2014-09-30,0.258
2014-10-01,0.234
2014-10-02,0.134
2014-10-03,0.14
2014-10-06,0.142
2014-10-07,0.134
2014-10-08,0.126
2014-10-09,0.122
2014-10-10,0.142
2014-10-13,0.155
2014-10-14,0.158
2014-10-15,0.155
2014-10-16,0.183
2014-10-17,0.174
2014-10-20,0.154
2014-10-21,0.146
2014-10-22,0.142
2014-10-23,0.138
2014-10-24,0.159
2014-10-27,0.132
2014-10-28,0.147
2014-10-29,0.192
2014-10-30,0.242
2014-10-31,0.276
2014-11-03,0.288
2014-11-04,0.084
2014-11-05,0.052
2014-11-06,0.061
2014-11-07,0.068
2014-11-10,0.068
2014-11-11,0.014
2014-11-12,0.017
2014-11-13,0.028
2014-11-14,0.011
2014-11-17,0.02
2014-11-18,0.014
2014-11-19,0.02
2014-11-20,0.022
2014-11-21,0.012
2014-11-24,0.012
2014-11-25,0.151
2014-11-26,0.14
2014-11-28,0.14
2014-12-01,0.068
2014-12-02,0.018
2014-12-03,0.035
2014-12-04,0.002
2014-12-05,0.03
2014-12-08,0.01
2014-12-09,0.005
2014-12-10,0.03
2014-12-11,0.022
2014-12-12,0.002
2014-12-15,0.017
2014-12-17,0.04
2014-12-18,0.031
2014-12-19,0.04
2014-12-22,0.034
2014-12-23,0.025
2014-12-24,0.032
2014-12-26,0.032
2014-12-29,0.031
2015-01-02,0.019
2015-01-06,0.004
2015-01-07,0.014
2015-01-08,0.014
2015-01-09,0.016
2015-01-12,0.019
2015-01-13,0.025
2015-01-14,0.028
2015-01-15,0.036
2015-01-16,0.044
2015-01-20,0.039
2015-01-21,0.05
2015-01-22,0.054
2015-01-23,0.055
2015-01-26,0.142
2015-01-27,0.158
2015-01-29,0.132
2015-01-30,0.125
2015-02-02,0.116
2015-02-03,0.233
2015-02-04,0.224
2015-02-05,0.209
2015-02-06,0.217
2015-02-09,0.189
2015-02-10,0.174
2015-02-11,0.145
2015-02-12,0.12
2015-02-13,0.183
2015-02-17,0.172
2015-02-18,0.177
2015-02-19,0.155
2015-02-20,0.177
2015-02-23,0.115
2015-02-24,0.163
2015-02-25,0.178
2015-02-26,0.182
2015-02-27,0.208
2015-03-02,0.243
2015-03-03,0.199
2015-03-04,0.205
2015-03-05,0.228
2015-03-06,0.231
2015-03-10,0.218
2015-03-11,0.219
2015-03-12,0.21
2015-03-13,0.223
2015-03-16,0.224
2015-03-17,0.225
2015-03-18,0.231
2015-03-19,0.225
2015-03-20,0.232
2015-03-23,0.24
2015-03-24,0.244
2015-03-25,0.227
2015-03-26,0.258
2015-03-27,0.247
2015-03-30,0.221
2015-03-31,0.206
2015-04-01,0.24
2015-04-02,0.24
2015-04-06,0.291
2015-04-07,0.288
2015-04-08,0.288
2015-04-09,0.285
2015-04-10,0.282
2015-04-13,0.302
2015-04-14,0.277
2015-04-15,0.281
2015-04-16,0.277
2015-04-17,0.284
2015-04-20,0.23
2015-04-21,0.235
2015-04-22,0.228
2015-04-23,0.226
2015-04-24,0.23
2015-04-27,0.234
2015-04-28,0.225
2015-04-29,0.245
2015-04-30,0.253
2015-05-01,0.247
2015-05-04,0.173
2015-05-05,0.179
2015-05-06,0.192
2015-05-07,0.193
2015-05-08,0.194
2015-05-11,0.196
2015-05-12,0.205
2015-05-13,0.209
2015-05-14,0.206
2015-05-15,0.209
2015-05-18,0.213
2015-05-19,-0.212
2015-05-20,-0.211
2015-05-21,-0.21
2015-05-22,-0.216
2015-05-26,-0.226
2015-05-27,-0.212
2015-05-28,-0.203
2015-05-29,-0.229
2015-06-01,-0.245
2015-06-02,-0.194
2015-06-03,-0.198
2015-06-04,-0.21
2015-06-05,-0.211
2015-06-08,-0.202
2015-06-09,-0.197
2015-06-10,-0.198
2015-06-11,-0.198
2015-06-12,-0.193
2015-06-15,-0.191
2015-06-16,-0.192
2015-06-17,-0.198
2015-06-18,-0.197
2015-06-19,-0.18
2015-06-22,-0.182
2015-06-23,-0.187
2015-06-24,-0.199
2015-06-25,-0.207
2015-06-26,-0.227
2015-06-29,-0.221
2015-06-30,-0.232
2015-07-01,-0.243
2015-07-02,-0.142
2015-07-06,-0.14
2015-07-07,-0.148
2015-07-08,-0.15
2015-07-09,-0.157
2015-07-10,-0.151
2015-07-14,-0.145
2015-07-15,-0.146
2015-07-16,-0.142
2015-07-17,-0.142
2015-07-20,-0.142
2015-07-21,-0.143
2015-07-22,-0.152
2015-07-23,-0.15
2015-07-24,-0.155
2015-07-27,-0.157
2015-07-28,-0.149
2015-07-29,-0.145
2015-07-30,-0.195
2015-07-31,-0.215
2015-08-03,-0.246
2015-08-04,-0.184
2015-08-05,-0.184
2015-08-06,-0.194
2015-08-07,-0.194
2015-08-10,-0.194
2015-08-11,-0.194
2015-08-12,-0.194
2015-08-13,-0.191
2015-08-14,-0.194
2015-08-17,-0.191
2015-08-18,-0.191
2015-08-19,-0.206
2015-08-20,-0.193
2015-08-21,-0.185
2015-08-24,-0.186
2015-08-25,-0.185
2015-08-26,-0.223
2015-08-27,-0.242
2015-08-28,-0.22
2015-08-31,-0.21
2015-09-01,-0.218
2015-09-02,-0.156
2015-09-03,-0.177
2015-09-04,-0.212
2015-09-08,-0.217
2015-09-09,-0.211
2015-09-10,-0.213
2015-09-11,-0.214
2015-09-14,-0.219
2015-09-15,-0.19
2015-09-16,-0.16
2015-09-17,-0.208
2015-09-18,-0.204
2015-09-21,-0.201
2015-09-22,-0.201
2015-09-23,-0.2
2015-09-24,-0.189
2015-09-25,-0.187
2015-09-28,-0.187
2015-09-29,-0.162
2015-09-30,0.0
2015-10-01,-0.203
2015-10-02,-0.126
2015-10-05,-0.132
2015-10-06,-0.128
2015-10-07,-0.136
2015-10-08,-0.138
2015-10-09,-0.141
2015-10-12,-0.128
2015-10-13,-0.12
2015-10-14,-0.13
2015-10-15,-0.115
2015-10-16,-0.13
2015-10-19,-0.138
2015-10-20,-0.164
2015-10-21,-0.172
2015-10-22,-0.171
2015-10-23,-0.185
2015-10-26,-0.176
2015-10-27,-0.156
2015-10-28,-0.156
2015-10-29,-0.159
2015-10-30,-0.135
2015-11-02,-0.088
2015-11-03,-0.102
2015-11-04,-0.094
2015-11-05,-0.102
2015-11-06,-0.103
2015-11-09,-0.104
2015-11-10,-0.106
2015-11-11,-0.111
2015-11-12,-0.112
2015-11-13,-0.102
2015-11-16,-0.1
