Date,Settle
2014-02-18,71.02
2014-02-19,72.19
2014-02-20,71.87
2014-02-21,71.1
2014-02-24,70.87
2014-02-25,76.22
2014-02-26,79.14
2014-02-27,83.17
2014-02-28,94.9
2014-03-03,99.18
2014-03-04,99.18
2014-03-06,99.18
2014-03-07,72.77
2014-03-10,73.05
2014-03-11,73.75
2014-03-12,73.83
2014-03-13,75.76
2014-03-14,76.32
2014-03-17,77.91
2014-03-18,79.08
2014-03-19,79.59
2014-03-20,79.93
2014-03-21,80.81
2014-03-24,81.15
2014-03-25,81.99
2014-03-26,83.47
2014-03-27,84.32
2014-03-28,84.54
2014-03-31,84.65
2014-04-01,84.56
2014-04-02,84.56
2014-04-03,84.56
2014-04-04,84.56
2014-04-07,41.3
2014-04-08,41.58
2014-04-09,41.41
2014-04-10,40.59
2014-04-11,40.45
2014-04-14,40.17
2014-04-15,40.07
2014-04-16,40.22
2014-04-17,40.28
2014-04-21,39.92
2014-04-22,39.65
2014-04-23,38.99
2014-04-24,39.28
2014-04-25,40.35
2014-04-28,39.4
2014-04-29,38.86
2014-04-30,38.72
2014-05-01,38.72
2014-05-02,38.72
2014-05-05,38.72
2014-05-06,37.5
2014-05-07,36.36
2014-05-08,35.29
2014-05-09,34.05
2014-05-12,33.83
2014-05-13,33.08
2014-05-14,32.67
2014-05-15,31.83
2014-05-16,31.3
2014-05-19,30.24
2014-05-20,29.21
2014-05-21,28.42
2014-05-22,27.7
2014-05-23,26.65
2014-05-27,25.73
2014-05-28,24.82
2014-05-29,23.56
2014-05-30,22.36
2014-06-02,22.55
2014-06-03,22.55
2014-06-04,22.55
2014-06-05,22.55
2014-06-06,35.16
2014-06-09,34.39
2014-06-10,34.21
2014-06-11,33.94
2014-06-12,33.57
2014-06-13,33.45
2014-06-16,32.8
2014-06-17,32.77
2014-06-18,32.78
2014-06-19,32.65
2014-06-20,32.39
2014-06-23,32.09
2014-06-24,32.09
2014-06-25,32.26
2014-06-26,33.66
2014-06-27,34.27
2014-06-30,37.56
2014-07-01,37.52
2014-07-02,37.52
2014-07-03,37.52
2014-07-07,37.52
2014-07-08,38.18
2014-07-09,37.26
2014-07-10,36.49
2014-07-11,36.03
2014-07-14,35.77
2014-07-15,35.45
2014-07-16,34.55
2014-07-17,33.61
2014-07-18,32.96
2014-07-21,32.48
2014-07-22,32.15
2014-07-23,31.54
2014-07-24,30.65
2014-07-25,29.78
2014-07-28,28.75
2014-07-29,27.94
2014-07-30,27.06
2014-07-31,26.27
2014-08-01,26.04
2014-08-04,26.04
2014-08-05,26.04
2014-08-06,26.04
2014-08-07,38.44
2014-08-08,37.82
2014-08-11,37.4
2014-08-12,37.19
2014-08-13,36.22
2014-08-14,35.26
2014-08-15,33.84
