Date,Settle
2014-03-05,0.479
2014-03-06,0.477
2014-03-11,0.443
2014-03-12,0.44
2014-03-13,0.43
2014-03-14,0.433
2014-03-17,0.448
2014-03-18,0.452
2014-03-19,0.456
2014-03-20,0.495
2014-03-21,0.516
2014-03-24,0.515
2014-03-25,0.554
2014-03-26,0.55
2014-03-27,0.465
2014-03-28,0.42
2014-03-31,0.4
2014-04-01,0.426
2014-04-02,0.558
2014-04-03,0.549
2014-04-04,0.552
2014-04-07,0.533
2014-04-08,0.54
2014-04-09,0.531
2014-04-10,0.513
2014-04-11,0.5
2014-04-14,0.496
2014-04-15,0.492
2014-04-16,0.484
2014-04-17,0.455
2014-04-21,0.432
2014-04-22,0.435
2014-04-23,0.434
2014-04-24,0.471
2014-04-25,0.502
2014-04-28,0.399
2014-04-29,0.402
2014-04-30,0.402
2014-05-01,0.425
2014-05-02,0.482
2014-05-05,0.503
2014-05-06,0.497
2014-05-07,0.506
2014-05-08,0.502
2014-05-09,0.517
2014-05-12,0.53
2014-05-13,0.529
2014-05-14,0.534
2014-05-15,0.532
2014-05-16,0.526
2014-05-19,0.505
2014-05-20,0.496
2014-05-21,0.495
2014-05-22,0.499
2014-05-23,0.495
2014-05-27,0.468
2014-05-28,0.39
2014-05-29,0.4
2014-05-30,0.4
2014-06-02,0.4
2014-06-03,0.559
2014-06-04,0.568
2014-06-05,0.565
2014-06-06,0.559
2014-06-09,0.539
2014-06-10,0.531
2014-06-11,0.548
2014-06-12,0.55
2014-06-13,0.545
2014-06-16,0.54
2014-06-17,0.534
2014-06-18,0.537
2014-06-19,0.543
2014-06-20,0.558
2014-06-23,0.582
2014-06-24,0.59
2014-06-25,0.58
2014-06-26,0.697
2014-06-27,0.705
2014-06-30,0.71
2014-07-01,0.72
2014-07-02,0.603
2014-07-03,0.6
2014-07-07,0.615
2014-07-08,0.629
2014-07-09,0.637
2014-07-10,0.636
2014-07-11,0.65
2014-07-14,0.66
2014-07-15,0.668
2014-07-16,0.664
2014-07-17,0.659
2014-07-18,0.669
2014-07-21,0.685
2014-07-22,0.693
2014-07-23,0.688
2014-07-24,0.672
2014-07-25,0.678
2014-07-28,0.698
2014-07-29,0.67
2014-07-30,0.667
2014-07-31,0.672
2014-08-01,0.662
2014-08-04,0.68
2014-08-05,0.662
2014-08-06,0.651
2014-08-07,0.632
2014-08-08,0.62
2014-08-11,0.595
2014-08-12,0.602
2014-08-13,0.613
2014-08-14,0.61
2014-08-15,0.61
2014-08-18,0.597
2014-08-19,0.602
2014-08-20,0.61
2014-08-21,0.615
2014-08-22,0.612
2014-08-25,0.603
2014-08-26,0.613
2014-08-27,0.595
2014-08-28,0.595
2014-08-29,0.595
2014-09-02,0.593
2014-09-03,0.503
2014-09-04,0.506
2014-09-05,0.507
2014-09-08,0.52
2014-09-09,0.521
2014-09-10,0.511
2014-09-11,0.522
2014-09-12,0.522
2014-09-15,0.534
2014-09-16,0.545
2014-09-17,0.552
2014-09-18,0.551
2014-09-19,0.552
2014-09-22,0.552
2014-09-23,0.545
2014-09-24,0.502
2014-09-25,0.459
2014-09-26,0.435
2014-09-29,0.435
2014-09-30,0.436
2014-10-01,0.446
2014-10-02,0.466
2014-10-03,0.47
2014-10-06,0.473
2014-10-07,0.478
2014-10-08,0.484
2014-10-09,0.488
2014-10-10,0.501
2014-10-13,0.5
2014-10-14,0.502
2014-10-15,0.51
2014-10-16,0.502
2014-10-17,0.495
2014-10-20,0.495
2014-10-21,0.495
2014-10-22,0.49
2014-10-23,0.494
2014-10-24,0.496
2014-10-27,0.492
2014-10-28,0.462
2014-10-29,0.439
2014-10-30,0.434
2014-10-31,0.434
2014-11-03,0.432
2014-11-04,0.409
2014-11-05,0.431
2014-11-06,0.417
2014-11-07,0.395
2014-11-10,0.374
2014-11-11,0.309
2014-11-12,0.268
2014-11-13,0.275
2014-11-14,0.278
2014-11-17,0.277
2014-11-18,0.277
2014-11-19,0.288
2014-11-20,0.307
2014-11-21,0.407
2014-11-24,0.507
2014-11-25,0.4
2014-11-26,0.402
2014-11-28,0.402
2014-12-01,0.448
2014-12-02,0.448
