Date,Settle
2014-02-18,0.178
2014-02-19,0.109
2014-02-20,0.155
2014-02-21,0.128
2014-02-24,0.26
2014-02-25,0.272
2014-02-26,0.27
2014-02-27,0.12
2014-02-28,0.12
2014-03-03,0.285
2014-03-04,0.285
2014-03-06,0.35
2014-03-07,0.37
2014-03-10,0.405
2014-03-11,0.275
2014-03-12,0.245
2014-03-13,0.31
2014-03-14,0.31
2014-03-17,0.295
2014-03-18,0.322
2014-03-19,0.295
2014-03-20,0.325
2014-03-21,0.31
2014-03-24,0.335
2014-03-25,0.38
2014-03-26,0.375
2014-03-27,0.39
2014-03-28,0.416
2014-03-31,0.39
2014-04-01,0.384
2014-04-02,0.434
2014-04-03,0.476
2014-04-04,0.454
2014-04-07,0.412
2014-04-08,0.348
2014-04-09,0.392
2014-04-10,0.522
2014-04-11,0.582
2014-04-14,0.588
2014-04-15,0.595
2014-04-16,0.635
2014-04-17,0.635
2014-04-21,0.676
2014-04-22,0.679
2014-04-23,0.7
2014-04-24,0.782
2014-04-25,0.795
2014-04-28,0.792
2014-04-29,0.795
2014-04-30,0.811
2014-05-01,0.785
2014-05-02,0.832
2014-05-05,0.89
2014-05-06,0.888
2014-05-07,0.87
2014-05-08,0.895
2014-05-09,0.915
2014-05-12,0.998
2014-05-13,1.028
2014-05-14,1.058
2014-05-15,1.09
2014-05-16,1.115
2014-05-19,1.235
2014-05-20,1.26
2014-05-21,1.295
2014-05-22,1.3
2014-05-23,1.315
2014-05-27,1.31
2014-05-28,1.31
2014-05-29,1.305
2014-05-30,1.305
2014-06-02,1.277
2014-06-03,1.09
2014-06-04,1.105
2014-06-05,1.155
2014-06-06,1.212
2014-06-09,1.212
2014-06-10,1.26
2014-06-11,1.228
2014-06-12,1.242
2014-06-13,1.245
2014-06-16,1.275
2014-06-17,1.3
2014-06-18,1.355
2014-06-19,1.465
2014-06-20,1.542
2014-06-23,1.54
2014-06-24,1.53
2014-06-25,1.485
2014-06-26,1.505
2014-06-27,1.504
2014-06-30,1.496
2014-07-01,1.52
2014-07-02,1.385
2014-07-03,1.39
2014-07-07,1.48
2014-07-08,1.5
2014-07-09,1.635
2014-07-10,1.64
2014-07-11,1.61
2014-07-14,1.57
2014-07-15,1.533
2014-07-16,1.51
2014-07-17,1.45
2014-07-18,1.4
2014-07-21,1.28
2014-07-22,1.29
2014-07-23,1.3
2014-07-24,1.306
2014-07-25,1.325
2014-07-28,1.382
2014-07-29,1.382
2014-07-30,1.395
2014-07-31,1.395
2014-08-01,1.408
2014-08-04,1.675
2014-08-05,1.722
2014-08-06,1.722
2014-08-07,1.667
2014-08-08,1.67
2014-08-11,1.712
2014-08-12,1.715
2014-08-13,1.655
2014-08-14,1.682
2014-08-15,1.635
2014-08-18,1.667
2014-08-19,1.717
2014-08-20,1.737
2014-08-21,1.743
2014-08-22,1.812
2014-08-25,1.858
2014-08-26,1.902
2014-08-27,1.904
2014-08-28,1.914
2014-08-29,1.914
2014-09-02,1.907
2014-09-03,1.625
2014-09-04,1.68
2014-09-05,1.7
2014-09-08,1.653
2014-09-09,1.595
2014-09-10,1.59
2014-09-11,1.6
2014-09-12,1.59
2014-09-15,1.605
2014-09-16,1.59
2014-09-17,1.61
2014-09-18,1.68
2014-09-19,1.7
2014-09-22,1.76
2014-09-23,1.8
2014-09-24,1.93
2014-09-25,1.95
2014-09-26,1.955
2014-09-29,1.955
2014-09-30,1.955
2014-10-01,1.944
2014-10-02,1.685
2014-10-03,1.67
2014-10-06,1.66
2014-10-07,1.69
2014-10-08,1.735
2014-10-09,1.735
2014-10-10,1.79
2014-10-13,1.78
2014-10-14,1.745
2014-10-15,1.73
2014-10-16,1.67
2014-10-17,1.58
2014-10-20,1.445
2014-10-21,1.46
2014-10-22,1.64
2014-10-23,1.492
2014-10-24,1.54
2014-10-27,1.66
2014-10-28,1.665
2014-10-29,1.64
2014-10-30,1.635
2014-10-31,1.645
2014-11-03,1.648
2014-11-04,1.128
2014-11-05,1.055
2014-11-06,0.935
2014-11-07,0.848
2014-11-10,0.905
2014-11-11,0.852
2014-11-12,0.975
2014-11-13,1.11
2014-11-14,1.095
2014-11-17,1.082
2014-11-18,1.175
2014-11-19,1.175
2014-11-20,1.31
2014-11-21,1.31
2014-11-24,1.3
2014-11-25,1.3
