Date,Settle
2014-02-18,5.551
2014-02-19,6.149
2014-02-20,6.064
2014-02-21,6.135
2014-02-24,5.445
2014-02-25,5.096
2014-02-26,4.541
2014-02-27,4.511
2014-02-28,4.609
2014-03-03,4.492
2014-03-04,4.667
2014-03-05,4.523
2014-03-06,4.662
2014-03-07,4.618
2014-03-11,4.605
2014-03-12,4.49
2014-03-13,4.383
2014-03-14,4.425
2014-03-17,4.536
2014-03-18,4.456
2014-03-19,4.484
2014-03-20,4.369
2014-03-21,4.313
2014-03-24,4.276
2014-03-25,4.411
2014-03-26,4.395
2014-03-27,4.538
2014-03-28,4.485
2014-03-31,4.371
2014-04-01,4.276
2014-04-02,4.364
2014-04-03,4.47
2014-04-04,4.439
2014-04-07,4.476
2014-04-08,4.534
2014-04-09,4.586
2014-04-10,4.655
2014-04-11,4.62
2014-04-14,4.56
2014-04-15,4.567
2014-04-16,4.53
2014-04-17,4.741
2014-04-21,4.697
2014-04-22,4.739
2014-04-23,4.73
2014-04-24,4.705
2014-04-25,4.658
2014-04-28,4.799
2014-04-29,4.831
2014-04-30,4.815
2014-05-01,4.719
2014-05-02,4.674
2014-05-05,4.688
2014-05-06,4.799
2014-05-07,4.74
2014-05-08,4.572
2014-05-09,4.531
2014-05-12,4.434
2014-05-13,4.358
2014-05-14,4.367
2014-05-15,4.469
2014-05-16,4.413
2014-05-19,4.47
2014-05-20,4.552
2014-05-21,4.473
2014-05-22,4.359
2014-05-23,4.405
2014-05-27,4.511
2014-05-28,4.615
2014-05-29,4.559
2014-05-30,4.542
2014-06-02,4.612
2014-06-03,4.629
2014-06-04,4.64
2014-06-05,4.701
2014-06-06,4.71
2014-06-09,4.645
2014-06-10,4.53
2014-06-11,4.508
2014-06-12,4.762
2014-06-13,4.739
2014-06-16,4.707
2014-06-17,4.709
2014-06-18,4.659
2014-06-19,4.584
2014-06-20,4.531
2014-06-23,4.446
2014-06-24,4.535
2014-06-25,4.569
2014-06-26,4.441
2014-06-27,4.409
2014-06-30,4.461
2014-07-01,4.455
2014-07-02,4.357
2014-07-03,4.406
2014-07-07,4.225
2014-07-08,4.204
2014-07-09,4.17
2014-07-10,4.12
2014-07-11,4.146
2014-07-14,4.147
2014-07-15,4.097
2014-07-16,4.119
2014-07-17,3.954
2014-07-18,3.951
2014-07-21,3.849
2014-07-22,3.772
2014-07-23,3.762
2014-07-24,3.847
2014-07-25,3.781
2014-07-28,3.765
2014-07-29,3.824
2014-07-30,3.786
2014-07-31,3.841
2014-08-01,3.798
2014-08-04,3.834
2014-08-05,3.897
2014-08-06,3.933
2014-08-07,3.876
2014-08-08,3.962
2014-08-11,3.965
2014-08-12,3.974
2014-08-13,3.831
2014-08-14,3.906
2014-08-15,3.776
2014-08-18,3.792
2014-08-19,3.877
2014-08-20,3.823
2014-08-21,3.889
2014-08-22,3.84
2014-08-25,3.937
2014-08-26,3.949
2014-08-27,4.003
2014-08-28,4.044
2014-08-29,4.065
2014-09-02,3.89
2014-09-03,3.847
2014-09-04,3.819
2014-09-05,3.793
2014-09-08,3.876
2014-09-09,3.984
2014-09-10,3.954
2014-09-11,3.823
2014-09-12,3.857
2014-09-15,3.931
2014-09-16,3.995
2014-09-17,4.013
2014-09-18,3.91
2014-09-19,3.837
2014-09-22,3.85
2014-09-23,3.816
2014-09-24,3.911
2014-09-25,4.014
2014-09-26,4.029
2014-09-29,4.154
2014-09-30,4.121
2014-10-01,4.023
2014-10-02,3.932
2014-10-03,4.039
2014-10-06,3.898
2014-10-07,3.957
2014-10-08,3.855
2014-10-09,3.845
2014-10-10,3.859
2014-10-13,3.916
2014-10-14,3.816
2014-10-15,3.8
2014-10-16,3.796
2014-10-17,3.766
2014-10-20,3.67
2014-10-21,3.711
2014-10-22,3.659
2014-10-23,3.622
2014-10-24,3.623
2014-10-27,3.561
2014-10-28,3.731
2014-10-29,3.788
2014-10-30,3.827
2014-10-31,3.873
2014-11-03,4.046
2014-11-04,4.129
2014-11-05,4.194
2014-11-06,4.404
2014-11-07,4.412
2014-11-10,4.255
2014-11-11,4.247
2014-11-12,4.185
2014-11-13,3.977
2014-11-14,4.02
2014-11-17,4.341
2014-11-18,4.244
2014-11-19,4.371
2014-11-20,4.489
2014-11-21,4.266
2014-11-24,4.304
2014-11-25,4.403
2014-11-26,4.355
2014-11-28,4.088
2014-12-01,4.007
2014-12-02,3.874
2014-12-03,3.805
2014-12-04,3.649
2014-12-05,3.802
2014-12-08,3.595
2014-12-09,3.652
2014-12-10,3.706
2014-12-12,3.795
2014-12-15,3.719
2014-12-16,3.619
2014-12-17,3.702
2014-12-18,3.642
2014-12-19,3.464
2014-12-22,3.144
2014-12-23,3.171
2014-12-24,3.03
2014-12-26,3.033
2015-01-02,3.003
2015-01-05,2.882
