Date,Settle
2014-02-18,59.0
2014-02-19,59.95
2014-02-20,60.0
2014-02-21,61.88
2014-02-24,61.88
2014-02-25,61.88
2014-02-26,63.75
2014-02-27,63.68
2014-02-28,62.75
2014-03-03,62.7
2014-03-04,62.63
2014-03-05,61.63
2014-03-06,61.28
2014-03-07,60.27
2014-03-11,60.4
2014-03-12,60.15
2014-03-13,60.35
2014-03-14,60.53
2014-03-17,60.23
2014-03-18,59.65
2014-03-19,59.75
2014-03-20,59.0
2014-03-21,58.45
2014-03-24,59.2
2014-03-25,59.78
2014-03-26,60.33
2014-03-27,60.43
2014-03-28,59.75
2014-03-31,59.55
2014-04-01,59.58
2014-04-02,59.38
2014-04-03,59.38
2014-04-04,59.53
2014-04-07,60.43
2014-04-08,60.47
2014-04-09,60.39
2014-04-10,60.48
2014-04-11,60.5
2014-04-14,60.65
2014-04-15,61.08
2014-04-16,61.55
2014-04-17,61.53
2014-04-21,61.5
2014-04-22,61.5
2014-04-23,61.5
2014-04-24,61.15
2014-04-25,61.45
2014-04-28,61.4
2014-04-29,61.4
2014-04-30,61.33
2014-05-01,61.43
2014-05-02,62.33
2014-05-05,63.5
2014-05-06,63.43
2014-05-07,63.25
2014-05-08,64.48
2014-05-09,63.68
2014-05-12,63.68
2014-05-13,63.73
2014-05-14,63.43
2014-05-15,63.25
2014-05-16,62.9
2014-05-19,62.9
2014-05-20,62.9
2014-05-21,62.33
2014-05-22,62.05
2014-05-23,62.0
2014-05-27,61.97
2014-05-28,61.63
2014-05-29,61.38
2014-05-30,60.88
2014-06-02,60.0
2014-06-03,60.0
2014-06-04,60.13
2014-06-05,60.23
2014-06-06,60.38
2014-06-09,59.85
2014-06-10,59.65
2014-06-11,59.43
2014-06-12,59.03
2014-06-13,59.5
2014-06-16,59.7
2014-06-17,59.53
2014-06-18,60.0
2014-06-19,61.05
2014-06-20,61.5
2014-06-23,61.5
2014-06-24,61.58
2014-06-25,61.55
2014-06-26,61.7
2014-06-27,61.63
2014-06-30,61.6
2014-07-01,61.6
2014-07-02,61.2
2014-07-03,60.2
2014-07-07,60.2
2014-07-08,60.23
2014-07-09,60.25
2014-07-10,60.57
2014-07-11,60.62
2014-07-14,60.61
2014-07-15,60.6
2014-07-16,60.5
2014-07-17,60.2
2014-07-18,60.2
2014-07-21,60.0
2014-07-22,60.38
2014-07-23,60.53
2014-07-24,60.58
2014-07-25,60.53
2014-07-28,60.15
2014-07-29,60.0
2014-07-30,59.95
2014-07-31,59.62
2014-08-01,59.68
2014-08-04,59.53
2014-08-05,59.9
2014-08-06,60.1
2014-08-07,60.08
2014-08-08,60.0
2014-08-11,60.0
2014-08-12,60.03
2014-08-13,59.95
2014-08-14,60.0
2014-08-15,60.07
2014-08-18,59.88
2014-08-19,59.88
2014-08-20,59.87
2014-08-21,59.25
2014-08-22,58.97
2014-08-25,58.43
2014-08-26,57.4
2014-08-27,57.08
2014-08-28,57.28
2014-08-29,57.18
2014-09-02,57.15
2014-09-03,56.93
2014-09-04,56.5
2014-09-05,56.5
2014-09-08,56.42
2014-09-09,56.25
2014-09-10,56.35
2014-09-11,56.47
2014-09-12,56.48
2014-09-15,56.5
2014-09-16,56.25
2014-09-17,55.98
2014-09-18,54.8
2014-09-19,54.52
2014-09-22,54.52
2014-09-23,54.37
2014-09-24,52.58
2014-09-25,53.03
2014-09-26,53.0
2014-09-29,53.0
2014-09-30,52.93
2014-10-01,52.93
2014-10-02,52.93
2014-10-03,52.78
2014-10-06,52.75
2014-10-07,52.45
2014-10-08,52.3
2014-10-09,51.85
2014-10-10,51.8
2014-10-13,51.7
2014-10-14,51.0
2014-10-15,51.25
2014-10-16,51.25
2014-10-17,51.25
2014-10-20,51.28
2014-10-21,51.48
2014-10-22,51.7
2014-10-23,51.45
2014-10-24,51.58
2014-10-27,51.6
2014-10-28,52.5
2014-10-29,52.75
2014-10-30,53.25
2014-10-31,53.25
2014-11-03,53.13
2014-11-04,52.7
2014-11-05,52.63
2014-11-06,52.6
2014-11-07,52.0
2014-11-10,52.08
2014-11-11,52.03
2014-11-12,52.02
2014-11-13,51.95
2014-11-14,52.0
2014-11-17,51.95
2014-11-18,51.75
2014-11-19,51.6
2014-11-20,51.6
2014-11-21,53.03
2014-11-24,53.15
2014-11-25,53.15
2014-11-26,53.1
2014-11-28,53.1
2014-12-01,53.13
2014-12-02,52.98
2014-12-03,52.92
2014-12-04,52.92
2014-12-05,52.82
2014-12-08,52.75
2014-12-09,52.8
2014-12-10,52.68
2014-12-12,51.68
2014-12-15,51.35
2014-12-16,51.4
2014-12-17,51.25
2014-12-18,48.98
2014-12-19,47.55
2014-12-22,48.0
2014-12-23,47.0
2014-12-24,47.0
2014-12-26,49.75
2015-01-02,48.53
2015-01-05,47.68
2015-01-06,47.15
2015-01-07,46.97
2015-01-08,46.92
2015-01-09,46.8
2015-01-12,46.77
2015-01-13,46.73
2015-01-14,46.43
2015-01-15,46.42
2015-01-16,46.32
2015-01-20,45.17
2015-01-21,45.28
2015-01-22,45.33
2015-01-23,45.27
2015-01-26,44.9
2015-01-27,46.4
2015-01-29,45.73
2015-01-30,46.32
2015-02-02,47.43
2015-02-03,48.5
2015-02-04,49.2
2015-02-05,49.65
2015-02-06,50.87
2015-02-09,51.0
2015-02-10,51.0
2015-02-11,51.38
2015-02-12,51.53
2015-02-13,51.25
2015-02-17,51.12
2015-02-18,51.07
2015-02-19,51.27
2015-02-20,51.53
2015-02-23,52.05
2015-02-24,52.45
2015-02-25,52.55
2015-02-26,52.38
2015-02-27,52.37
2015-03-02,52.37
2015-03-03,52.4
2015-03-04,52.43
2015-03-05,53.32
2015-03-06,52.98
2015-03-09,52.33
2015-03-10,52.33
2015-03-11,52.47
2015-03-12,53.18
2015-03-13,53.13
2015-03-16,53.08
2015-03-17,53.03
2015-03-18,53.02
2015-03-19,53.0
2015-03-20,53.03
2015-03-23,52.97
2015-03-24,52.85
2015-03-25,52.85
2015-03-26,51.6
2015-03-27,51.42
2015-03-30,51.35
2015-03-31,51.08
2015-04-01,51.17
2015-04-02,51.18
2015-04-06,51.2
2015-04-07,51.2
2015-04-08,50.9
2015-04-09,50.53
2015-04-10,50.08
2015-04-13,49.9
2015-04-14,49.7
2015-04-15,49.67
2015-04-16,49.53
2015-04-17,49.38
2015-04-20,49.4
2015-04-21,49.03
2015-04-22,48.9
2015-04-23,48.53
2015-04-24,48.38
2015-04-27,48.22
2015-04-28,48.17
2015-04-29,48.12
2015-04-30,47.13
2015-05-01,47.13
2015-05-04,47.13
2015-05-05,47.13
2015-05-06,47.13
2015-05-07,47.13
2015-05-08,46.97
2015-05-11,46.9
2015-05-12,46.88
2015-05-13,46.82
2015-05-14,46.65
2015-05-15,46.78
2015-05-18,46.55
2015-05-19,46.4
2015-05-20,46.18
2015-05-21,45.9
2015-05-22,45.6
2015-05-26,45.5
2015-05-27,45.1
2015-05-28,44.8
2015-05-29,44.53
2015-06-01,44.45
2015-06-02,44.42
2015-06-03,44.43
2015-06-04,44.42
2015-06-05,44.3
2015-06-08,44.23
2015-06-09,44.22
2015-06-10,44.07
2015-06-11,43.27
2015-06-12,41.92
2015-06-15,41.67
2015-06-16,41.37
2015-06-17,41.18
2015-06-18,41.18
2015-06-19,41.13
2015-06-22,41.13
2015-06-23,40.88
2015-06-24,40.8
2015-06-25,40.75
2015-06-26,40.75
2015-06-29,40.73
2015-06-30,40.78
