Date,Settle
2014-02-18,12.41
2014-02-19,12.35
2014-02-20,12.35
2014-02-21,12.35
2014-02-24,12.35
2014-02-25,12.35
2014-02-26,12.35
2014-02-27,12.35
2014-02-28,12.21
2014-03-03,12.23
2014-03-04,12.33
2014-03-05,12.25
2014-03-06,12.25
2014-03-07,12.15
2014-03-10,12.18
2014-03-11,12.25
2014-03-12,12.25
2014-03-13,12.28
2014-03-14,12.25
2014-03-17,12.39
2014-03-18,12.48
2014-03-19,12.48
2014-03-20,12.48
2014-03-21,12.47
2014-03-24,12.38
2014-03-25,12.35
2014-03-26,12.3
2014-03-27,12.53
2014-03-28,12.53
2014-03-31,12.5
2014-04-01,12.5
2014-04-02,12.5
2014-04-03,12.55
2014-04-04,12.55
2014-04-07,12.6
2014-04-08,12.65
2014-04-09,12.68
2014-04-10,12.9
2014-04-11,12.9
2014-04-14,12.9
2014-04-15,12.95
2014-04-16,12.98
2014-04-17,13.03
2014-04-21,13.05
2014-04-22,13.05
2014-04-23,13.08
2014-04-24,13.07
2014-04-25,13.06
2014-04-28,12.93
2014-04-29,13.48
2014-04-30,13.45
2014-05-01,13.43
2014-05-02,13.3
2014-05-05,13.3
2014-05-06,13.3
2014-05-07,13.29
2014-05-08,13.33
2014-05-09,13.35
2014-05-12,13.35
2014-05-13,13.3
2014-05-14,13.25
2014-05-15,13.2
2014-05-16,13.2
2014-05-19,13.18
2014-05-20,13.13
2014-05-21,13.13
2014-05-22,13.13
2014-05-23,13.19
2014-05-27,13.23
2014-05-28,13.0
2014-05-29,13.05
2014-05-30,13.03
2014-06-02,12.93
2014-06-03,12.92
2014-06-04,13.02
2014-06-05,13.03
2014-06-06,13.12
2014-06-09,13.12
2014-06-10,13.12
2014-06-11,13.15
2014-06-12,13.15
2014-06-13,13.12
2014-06-16,13.1
2014-06-17,13.1
2014-06-18,13.0
2014-06-19,12.88
2014-06-20,12.88
2014-06-23,12.87
2014-06-24,12.83
2014-06-25,12.85
2014-06-26,12.88
2014-06-27,11.98
2014-06-30,11.93
2014-07-01,11.93
2014-07-02,11.85
2014-07-03,11.8
2014-07-07,11.75
2014-07-08,11.77
2014-07-09,11.82
2014-07-10,11.8
2014-07-11,11.79
2014-07-14,11.8
2014-07-15,11.75
2014-07-16,11.74
2014-07-17,11.75
2014-07-18,11.73
2014-07-21,11.73
2014-07-22,11.75
2014-07-23,11.75
2014-07-24,11.75
2014-07-25,11.75
2014-07-28,11.75
2014-07-29,11.58
2014-07-30,11.4
2014-07-31,11.27
2014-08-01,11.25
2014-08-04,11.28
2014-08-05,11.15
2014-08-06,11.2
2014-08-07,11.1
2014-08-08,11.0
2014-08-11,11.0
2014-08-12,11.1
2014-08-13,11.1
2014-08-14,11.1
2014-08-15,11.08
2014-08-18,11.1
2014-08-19,11.1
2014-08-20,11.08
2014-08-21,11.08
2014-08-22,11.1
2014-08-25,11.08
2014-08-26,11.07
2014-08-27,10.98
2014-08-28,10.97
2014-08-29,10.87
2014-09-02,10.87
2014-09-03,10.82
2014-09-04,10.92
2014-09-05,11.0
2014-09-08,11.05
2014-09-09,11.12
2014-09-10,11.12
2014-09-11,11.12
2014-09-12,11.03
2014-09-15,11.02
2014-09-16,10.97
2014-09-17,10.93
2014-09-18,10.93
2014-09-19,10.91
2014-09-22,10.93
2014-09-23,10.95
2014-09-24,10.98
2014-09-25,10.97
2014-09-26,10.95
2014-09-29,11.08
2014-09-30,10.88
2014-10-01,11.0
2014-10-02,11.05
2014-10-03,11.05
2014-10-06,10.95
2014-10-07,10.9
2014-10-08,10.9
2014-10-09,10.9
2014-10-10,10.9
2014-10-13,10.88
2014-10-14,10.88
2014-10-15,10.88
2014-10-16,10.85
2014-10-17,10.87
2014-10-20,10.85
2014-10-21,10.87
2014-10-22,10.86
2014-10-23,10.85
2014-10-24,10.84
2014-10-27,10.87
2014-10-28,11.03
2014-10-29,11.07
2014-10-30,11.05
2014-10-31,11.05
2014-11-03,10.98
2014-11-04,10.93
2014-11-05,10.99
2014-11-06,11.16
2014-11-07,11.16
2014-11-10,11.12
2014-11-11,11.05
2014-11-12,11.02
2014-11-13,11.03
2014-11-14,11.15
2014-11-17,11.2
2014-11-18,11.1
2014-11-19,11.1
2014-11-20,11.04
2014-11-21,11.0
2014-11-24,11.0
2014-11-25,11.01
2014-11-26,11.02
2014-11-28,13.05
2014-12-01,12.83
2014-12-02,12.79
2014-12-03,12.75
2014-12-04,12.73
2014-12-05,12.78
2014-12-08,12.83
2014-12-09,12.8
2014-12-10,12.65
2014-12-11,12.58
2014-12-12,12.51
2014-12-15,12.52
2014-12-16,12.56
2014-12-17,12.59
2014-12-18,12.65
2014-12-19,12.69
2014-12-22,12.56
2014-12-23,12.44
2014-12-24,12.52
2014-12-26,12.3
2015-01-02,12.03
2015-01-05,12.11
2015-01-06,12.15
2015-01-07,12.16
2015-01-08,12.12
2015-01-09,12.12
2015-01-12,12.2
2015-01-13,12.27
2015-01-14,12.23
2015-01-15,12.21
2015-01-16,12.2
2015-01-20,12.22
2015-01-21,12.19
2015-01-22,12.18
2015-01-23,12.22
2015-01-26,12.2
2015-01-27,11.52
2015-01-29,10.37
2015-01-30,10.32
2015-02-02,10.17
2015-02-03,10.18
2015-02-04,10.28
2015-02-05,10.33
2015-02-06,10.35
2015-02-09,10.37
2015-02-10,10.33
2015-02-11,10.31
2015-02-12,10.27
2015-02-13,10.27
2015-02-17,10.27
2015-02-18,10.27
2015-02-19,10.35
2015-02-20,10.38
2015-02-23,10.38
2015-02-24,10.23
2015-02-25,10.24
2015-02-26,10.31
2015-02-27,10.27
2015-03-02,10.27
2015-03-03,10.33
2015-03-04,10.52
2015-03-05,10.53
2015-03-06,10.7
2015-03-09,10.65
2015-03-10,10.65
2015-03-11,10.65
2015-03-12,10.73
2015-03-13,10.76
2015-03-16,10.82
2015-03-17,10.8
2015-03-18,10.83
2015-03-19,10.85
2015-03-20,10.85
2015-03-23,10.86
2015-03-24,10.86
2015-03-25,10.9
2015-03-26,10.79
2015-03-27,10.79
2015-03-30,10.55
2015-03-31,10.55
2015-04-01,10.34
2015-04-02,10.23
2015-04-06,10.18
2015-04-07,10.23
2015-04-08,10.13
2015-04-09,10.1
2015-04-10,10.13
2015-04-13,10.13
2015-04-14,10.18
2015-04-15,10.19
2015-04-16,10.21
2015-04-17,10.22
2015-04-20,10.18
2015-04-21,10.18
2015-04-22,10.13
2015-04-23,10.12
2015-04-24,10.14
2015-04-27,10.17
2015-04-28,9.6
2015-04-29,9.62
2015-04-30,9.6
2015-05-01,9.7
2015-05-04,9.7
2015-05-05,9.7
2015-05-06,9.73
2015-05-07,9.76
2015-05-08,9.76
2015-05-11,9.88
2015-05-12,9.92
2015-05-13,9.92
2015-05-14,9.93
2015-05-15,9.95
2015-05-18,9.93
2015-05-19,9.88
2015-05-20,9.9
2015-05-21,9.9
2015-05-22,9.91
2015-05-26,9.92
2015-05-27,9.92
2015-05-28,9.83
2015-05-29,9.83
2015-06-01,9.83
2015-06-02,9.88
2015-06-03,9.9
2015-06-04,9.93
2015-06-05,9.95
2015-06-08,9.97
2015-06-09,9.97
2015-06-10,9.95
2015-06-11,9.97
2015-06-12,9.97
2015-06-15,10.0
2015-06-16,10.03
2015-06-17,10.05
2015-06-18,10.05
2015-06-19,10.09
2015-06-22,10.06
2015-06-23,10.02
2015-06-24,10.03
2015-06-25,10.03
2015-06-26,10.03
2015-06-29,9.98
2015-06-30,10.02
2015-07-01,10.05
2015-07-02,10.05
2015-07-06,10.05
2015-07-07,10.05
2015-07-08,10.05
2015-07-09,10.05
2015-07-10,10.05
2015-07-14,10.1
2015-07-15,10.04
2015-07-16,10.04
2015-07-17,10.04
2015-07-20,10.04
2015-07-21,10.06
2015-07-22,10.15
2015-07-23,10.22
2015-07-24,10.22
2015-07-27,10.26
2015-07-28,10.38
2015-07-29,10.4
2015-07-30,10.37
2015-07-31,10.34
2015-08-03,10.36
2015-08-04,10.59
2015-08-05,10.8
2015-08-06,10.94
2015-08-07,10.83
2015-08-10,10.82
2015-08-11,10.68
2015-08-12,10.67
2015-08-13,10.67
2015-08-14,10.65
2015-08-17,10.65
2015-08-18,10.64
2015-08-19,10.62
2015-08-20,10.6
2015-08-21,10.6
2015-08-24,10.57
2015-08-25,10.56
2015-08-26,10.58
2015-08-27,10.37
2015-08-28,10.37
2015-08-31,10.37
2015-09-01,10.4
2015-09-02,10.42
2015-09-03,10.45
2015-09-04,10.54
2015-09-08,10.7
2015-09-09,10.85
2015-09-10,10.92
2015-09-11,10.95
2015-09-14,10.93
2015-09-15,10.92
2015-09-16,10.91
2015-09-17,10.87
2015-09-18,10.86
2015-09-21,10.92
2015-09-22,10.99
2015-09-23,10.92
2015-09-24,10.85
2015-09-25,10.85
2015-09-28,10.86
2015-09-29,10.8
2015-09-30,10.78
2015-10-01,10.81
2015-10-02,10.83
2015-10-05,10.89
2015-10-06,10.82
2015-10-07,10.82
2015-10-08,10.82
2015-10-09,10.84
2015-10-12,10.86
2015-10-13,10.96
2015-10-14,10.98
2015-10-15,10.98
2015-10-16,11.0
2015-10-19,10.97
2015-10-20,11.0
2015-10-21,11.0
2015-10-22,11.01
2015-10-23,11.01
2015-10-26,11.02
2015-10-27,10.5
2015-10-28,10.3
2015-10-29,10.2
2015-10-30,10.16
2015-11-02,10.15
2015-11-03,10.19
2015-11-04,10.14
2015-11-05,10.18
2015-11-06,10.18
2015-11-09,10.18
2015-11-10,10.21
2015-11-11,10.23
2015-11-12,10.05
2015-11-13,9.95
2015-11-16,10.03
2015-11-17,10.03
2015-11-18,10.03
2015-11-19,10.01
2015-11-20,9.98
2015-11-23,9.97
2015-11-24,9.87
2015-11-25,9.86
2015-11-27,10.07
2015-11-30,9.78
2015-12-01,9.83
2015-12-02,9.99
2015-12-03,10.13
2015-12-04,10.2
2015-12-07,10.32
2015-12-08,10.23
2015-12-09,10.18
2015-12-10,10.22
2015-12-11,10.23
2015-12-14,10.1
2015-12-15,9.98
2015-12-16,10.0
2015-12-17,10.0
2015-12-18,10.0
2015-12-21,10.06
2015-12-22,10.06
2015-12-23,10.21
2015-12-24,10.21
2015-12-28,10.21
2015-12-29,10.4
2015-12-30,10.39
2015-12-31,10.36
2016-01-04,10.26
2016-01-05,10.14
2016-01-06,10.04
2016-01-07,10.01
2016-01-08,10.02
2016-01-11,10.02
2016-01-12,10.04
2016-01-13,10.07
2016-01-14,10.01
2016-01-15,10.01
2016-01-19,9.83
2016-01-20,9.93
2016-01-21,9.8
2016-01-22,9.95
2016-01-25,9.92
2016-01-26,10.07
2016-01-27,9.93
2016-01-28,9.92
2016-01-29,9.92
2016-02-01,9.87
2016-02-02,9.88
2016-02-03,9.85
2016-02-04,9.83
2016-02-05,9.83
2016-02-08,9.78
2016-02-09,9.83
2016-02-10,9.85
2016-02-11,9.85
2016-02-12,9.9
2016-02-16,0.0
2016-02-17,9.84
2016-02-18,9.82
2016-02-19,9.77
2016-02-22,9.77
2016-02-23,9.73
2016-02-24,9.85
2016-02-25,9.85
2016-02-26,9.85
2016-02-29,9.62
2016-03-01,9.52
2016-03-02,9.5
2016-03-03,9.45
2016-03-04,9.42
2016-03-07,9.42
