Date,Settle
1988-01-04,10.47
1988-01-05,10.69
1988-01-06,10.94
1988-01-07,11.0
1988-01-08,11.2
1988-01-11,11.65
1988-01-12,11.64
1988-01-13,11.55
1988-01-14,11.55
1988-01-15,11.98
1988-01-18,12.5
1988-01-19,12.33
1988-01-20,12.58
1988-01-21,12.88
1988-01-22,12.8
1988-01-25,13.1
1988-01-26,13.11
1988-01-27,12.81
1988-01-28,12.55
1988-01-29,12.25
1988-02-01,12.41
1988-02-02,12.4
1988-02-03,12.7
1988-02-04,12.69
1988-02-05,12.69
1988-02-08,12.39
1988-02-09,12.09
1988-02-10,11.85
1988-02-11,12.28
1988-02-12,12.36
1988-02-16,12.18
1988-02-17,11.94
1988-02-18,11.8
1988-02-19,12.1
1988-02-22,12.4
1988-02-23,12.51
1988-02-24,12.48
1988-02-25,12.45
1988-02-26,12.27
1988-02-29,12.035
1988-03-01,11.95
1988-03-02,11.65
1988-03-03,11.5
1988-03-04,11.05
1988-03-07,10.8
1988-03-08,10.8
1988-03-09,10.85
1988-03-10,10.18
1988-03-11,9.75
1988-03-14,9.75
1988-03-15,10.2
1988-03-16,10.2
1988-03-17,10.25
1988-03-18,10.35
1988-03-21,10.0
1988-03-22,9.95
1988-03-23,9.99
1988-03-24,10.29
1988-03-25,10.59
1988-03-28,10.75
1988-03-29,10.3
1988-03-30,10.1
1988-03-31,10.4
1988-04-04,10.3
1988-04-05,10.32
1988-04-06,10.24
1988-04-07,9.94
1988-04-08,9.64
1988-04-11,9.38
1988-04-12,8.93
1988-04-13,8.75
1988-04-14,9.0
1988-04-15,9.0
1988-04-18,8.77
1988-04-19,8.47
1988-04-20,8.57
1988-04-21,8.7
1988-04-22,8.59
1988-04-25,8.29
1988-04-26,8.05
1988-04-27,8.27
1988-04-28,8.1
1988-04-29,7.51
1988-05-02,7.51
1988-05-03,7.25
1988-05-04,6.95
1988-05-05,6.8
1988-05-06,6.9
1988-05-09,6.9
1988-05-10,6.94
1988-05-11,7.39
1988-05-12,7.55
1988-05-13,7.56
1988-05-16,7.8
1988-05-17,7.79
1988-05-18,7.51
1988-05-19,7.9
1988-05-20,8.17
1988-05-23,7.87
1988-05-24,7.65
1988-05-25,7.62
1988-05-26,7.45
1988-05-27,7.75
1988-05-31,8.05
1988-06-01,7.95
1988-06-02,8.25
1988-06-03,8.5
1988-06-06,8.8
1988-06-07,8.5
1988-06-08,8.2
1988-06-09,8.03
1988-06-10,7.77
1988-06-13,7.94
1988-06-14,7.98
1988-06-15,8.28
1988-06-16,8.16
1988-06-17,8.15
1988-06-20,8.45
1988-06-21,8.48
1988-06-22,8.65
1988-06-23,8.9
1988-06-24,9.0
1988-06-27,9.3
1988-06-28,8.98
1988-06-29,8.55
1988-06-30,8.95
1988-07-01,9.115
1988-07-05,8.88
1988-07-06,8.58
1988-07-07,8.32
1988-07-08,8.2
1988-07-11,8.02
1988-07-12,8.24
1988-07-13,8.35
1988-07-14,8.35
1988-07-15,8.18
1988-07-18,7.95
1988-07-19,7.92
1988-07-20,7.9
1988-07-21,7.9
1988-07-22,7.83
1988-07-25,7.7
1988-07-26,7.58
1988-07-27,7.58
1988-07-28,7.58
1988-07-29,7.75
1988-08-01,7.8
1988-08-02,7.56
1988-08-03,7.41
1988-08-04,7.4
1988-08-05,7.45
1988-08-08,7.42
1988-08-09,7.12
1988-08-10,7.0
1988-08-11,6.9
1988-08-12,6.9
1988-08-15,6.91
1988-08-16,6.93
1988-08-17,6.63
1988-08-18,6.53
1988-08-19,6.53
1988-08-22,6.53
1988-08-23,6.69
1988-08-24,6.83
1988-08-25,6.93
1988-08-26,6.95
1988-08-29,6.835
1988-08-30,7.02
1988-08-31,7.05
1988-09-01,7.15
1988-09-02,7.3
1988-09-06,7.39
1988-09-07,7.14
1988-09-08,7.05
1988-09-09,7.0
1988-09-12,6.78
1988-09-13,6.83
1988-09-14,7.05
1988-09-15,6.98
1988-09-16,6.9
1988-09-19,6.9
1988-09-20,6.9
1988-09-21,6.86
1988-09-22,7.04
1988-09-23,7.1
1988-09-26,7.04
1988-09-27,7.1
1988-09-28,7.08
1988-09-29,7.02
1988-09-30,7.04
1988-10-03,7.01
1988-10-04,7.1
1988-10-05,7.2
1988-10-06,7.25
1988-10-07,7.2
1988-10-10,7.2
1988-10-11,7.1
1988-10-12,7.0
1988-10-13,6.94
1988-10-14,6.94
1988-10-17,6.96
1988-10-18,6.95
1988-10-19,6.92
1988-10-20,6.95
1988-10-21,6.91
