Date,Settle
1988-01-04,616.25
1988-01-05,614.25
1988-01-06,626.0
1988-01-07,619.75
1988-01-08,623.5
1988-01-11,615.5
1988-01-12,605.25
1988-01-13,613.0
1988-01-14,612.0
1988-01-15,622.75
1988-01-18,622.5
1988-01-19,624.0
1988-01-20,627.0
1988-01-21,623.75
1988-01-22,631.75
1988-01-25,630.75
1988-01-26,621.5
1988-01-27,614.75
1988-01-28,605.75
1988-01-29,609.5
1988-02-01,608.25
1988-02-02,597.0
1988-02-03,603.0
1988-02-04,611.0
1988-02-05,608.5
1988-02-08,605.75
1988-02-09,609.75
1988-02-10,612.75
1988-02-11,621.0
1988-02-12,627.5
1988-02-16,620.5
1988-02-17,633.5
1988-02-18,628.5
1988-02-19,631.0
1988-02-22,627.25
1988-02-23,621.0
1988-02-24,624.75
1988-02-25,621.0
1988-02-26,625.5
1988-02-29,636.0
1988-03-01,635.0
1988-03-02,630.5
1988-03-03,623.0
1988-03-04,615.0
1988-03-07,613.75
1988-03-08,617.0
1988-03-09,606.25
1988-03-10,603.75
1988-03-11,607.25
1988-03-14,614.75
1988-03-15,613.75
1988-03-16,611.5
1988-03-17,626.0
1988-03-18,620.0
1988-03-21,630.0
1988-03-22,632.0
1988-03-23,639.75
1988-03-24,649.25
1988-03-25,648.5
1988-03-28,655.75
1988-03-29,650.25
1988-03-30,649.0
1988-03-31,653.5
1988-04-04,668.75
1988-04-05,670.75
1988-04-06,667.25
1988-04-07,673.0
1988-04-08,678.0
1988-04-11,682.0
1988-04-12,679.25
1988-04-13,675.5
1988-04-14,677.5
1988-04-15,662.5
1988-04-18,666.0
1988-04-19,672.0
1988-04-20,666.75
1988-04-21,659.5
1988-04-22,663.5
1988-04-25,659.0
1988-04-26,677.5
1988-04-27,675.75
1988-04-28,675.75
1988-04-29,689.5
1988-05-02,689.5
1988-05-03,689.25
1988-05-04,684.25
1988-05-05,689.5
1988-05-06,692.5
1988-05-09,700.0
1988-05-10,705.75
1988-05-11,712.0
1988-05-12,707.0
1988-05-13,719.5
1988-05-16,750.0
1988-05-17,750.5
1988-05-18,756.5
1988-05-19,777.0
1988-05-20,778.75
1988-05-23,757.5
1988-05-24,783.5
1988-05-25,759.0
1988-05-26,754.0
1988-05-27,768.0
1988-05-31,798.0
1988-06-01,801.75
1988-06-02,819.0
1988-06-03,849.0
1988-06-06,879.0
1988-06-07,882.0
1988-06-08,860.5
1988-06-09,886.0
1988-06-10,884.0
1988-06-13,877.0
1988-06-14,890.0
1988-06-15,920.0
1988-06-16,941.5
1988-06-17,971.5
1988-06-20,1001.5
1988-06-21,1046.5
1988-06-22,1054.5
1988-06-23,1032.5
1988-06-24,1029.5
1988-06-27,1059.5
1988-06-28,1014.5
1988-06-29,931.0
1988-06-30,986.0
1988-07-01,988.5
1988-07-05,959.0
1988-07-06,984.0
1988-07-07,934.5
1988-07-08,924.0
1988-07-11,858.0
1988-07-12,879.5
1988-07-13,948.5
1988-07-14,974.0
1988-07-15,994.5
1988-07-18,885.0
1988-07-19,874.5
1988-07-20,829.0
1988-07-21,842.5
1988-07-22,830.5
1988-07-25,800.5
1988-07-26,755.5
1988-07-27,753.5
1988-07-28,741.5
1988-07-29,776.0
1988-08-01,839.0
1988-08-02,829.0
1988-08-03,835.5
1988-08-04,862.5
1988-08-05,876.5
1988-08-08,840.0
1988-08-09,855.75
1988-08-10,864.5
1988-08-11,856.0
1988-08-12,848.5
1988-08-15,887.0
1988-08-16,865.5
1988-08-17,877.0
1988-08-18,881.0
1988-08-19,869.5
1988-08-22,837.0
1988-08-23,807.0
1988-08-24,831.5
1988-08-25,835.5
1988-08-26,831.5
1988-08-29,825.0
1988-08-30,847.0
1988-08-31,854.5
1988-09-01,869.0
1988-09-02,873.0
1988-09-06,888.0
1988-09-07,882.5
1988-09-08,889.5
1988-09-09,877.5
1988-09-12,870.5
1988-09-13,876.0
1988-09-14,880.5
1988-09-15,872.5
1988-09-16,847.5
1988-09-19,821.0
1988-09-20,820.5
1988-09-21,827.5
1988-09-22,842.0
1988-09-23,832.5
1988-09-26,806.25
1988-09-27,810.0
1988-09-28,812.5
1988-09-29,808.0
1988-09-30,813.0
1988-10-03,817.0
1988-10-04,829.0
1988-10-05,823.0
1988-10-06,812.75
1988-10-07,790.0
1988-10-10,791.75
1988-10-11,793.5
1988-10-12,790.25
1988-10-13,812.0
1988-10-14,804.0
1988-10-17,810.75
1988-10-18,805.5
1988-10-19,806.5
1988-10-20,784.5
1988-10-21,774.75
1988-10-24,765.5
1988-10-25,761.5
1988-10-26,768.0
1988-10-27,759.0
1988-10-28,768.0
1988-10-31,776.5
1988-11-01,776.75
1988-11-02,795.25
1988-11-03,794.25
1988-11-04,792.0
1988-11-07,788.5
1988-11-08,796.25
1988-11-09,796.5
1988-11-10,773.0
1988-11-11,761.5
1988-11-14,759.0
1988-11-15,743.5
1988-11-16,744.25
1988-11-17,719.5
1988-11-18,727.75
1988-11-21,746.25
1988-11-22,750.75
1988-11-23,755.25
1988-11-25,765.75
1988-11-28,749.5
1988-11-29,753.75
1988-11-30,763.75
1988-12-01,758.0
1988-12-02,768.75
1988-12-05,756.75
1988-12-06,773.25
1988-12-07,768.0
1988-12-08,773.5
1988-12-09,773.5
1988-12-12,769.25
1988-12-13,765.5
1988-12-14,778.25
1988-12-15,775.5
1988-12-16,786.5
1988-12-19,793.5
1988-12-20,786.5
1988-12-21,795.5
1988-12-22,792.25
1988-12-23,796.5
1988-12-27,796.5
1988-12-28,789.5
1988-12-29,788.75
1988-12-30,804.75
1989-01-03,801.75
1989-01-04,816.0
1989-01-05,813.0
1989-01-06,817.75
1989-01-09,806.5
1989-01-10,802.5
1989-01-11,797.5
1989-01-12,798.5
1989-01-13,803.75
1989-01-16,766.75
1989-01-17,761.75
1989-01-18,761.75
1989-01-19,753.0
1989-01-20,738.0
1989-01-23,755.5
1989-01-24,767.5
1989-01-25,749.25
1989-01-26,761.25
1989-01-27,754.0
1989-01-30,760.5
1989-01-31,772.75
1989-02-01,767.5
1989-02-02,764.25
1989-02-03,770.5
1989-02-06,754.25
1989-02-07,757.5
1989-02-08,746.0
1989-02-09,746.0
1989-02-10,735.0
1989-02-13,724.0
1989-02-14,735.25
1989-02-15,738.5
1989-02-16,727.25
1989-02-17,746.0
1989-02-21,746.5
1989-02-22,756.0
1989-02-23,756.75
1989-02-24,761.0
1989-02-27,757.25
1989-02-28,762.5
1989-03-01,750.5
1989-03-02,767.5
1989-03-03,767.75
1989-03-06,770.5
1989-03-07,764.25
1989-03-08,755.5
1989-03-09,763.5
1989-03-10,757.0
1989-03-13,768.5
1989-03-14,769.0
1989-03-15,766.5
1989-03-16,768.25
1989-03-17,769.0
1989-03-20,776.75
1989-03-21,777.5
1989-03-22,792.0
1989-03-23,784.5
1989-03-27,768.5
1989-03-28,762.75
1989-03-29,761.0
1989-03-30,737.0
1989-03-31,738.25
1989-04-03,710.0
1989-04-04,714.75
1989-04-05,715.0
1989-04-06,714.0
1989-04-07,711.75
1989-04-10,719.0
1989-04-11,720.5
1989-04-12,727.5
1989-04-13,727.0
1989-04-14,733.0
1989-04-17,747.25
1989-04-18,748.5
1989-04-19,745.0
1989-04-20,747.5
1989-04-21,760.0
1989-04-24,744.5
1989-04-25,732.5
1989-04-26,740.5
1989-04-27,729.5
1989-04-28,722.5
1989-05-01,735.25
1989-05-02,734.0
1989-05-03,746.75
1989-05-04,750.0
1989-05-05,759.5
1989-05-08,764.5
1989-05-09,766.25
1989-05-10,758.25
1989-05-11,751.5
1989-05-12,757.75
1989-05-15,748.0
1989-05-16,732.25
1989-05-17,729.5
1989-05-18,736.75
1989-05-19,739.0
1989-05-22,693.25
1989-05-23,699.5
1989-05-24,697.25
1989-05-25,701.5
1989-05-26,711.0
1989-05-30,717.0
1989-05-31,714.0
1989-06-01,708.0
1989-06-02,706.5
1989-06-05,705.5
1989-06-06,714.0
1989-06-07,711.0
1989-06-08,714.0
1989-06-09,702.5
1989-06-12,693.0
1989-06-13,701.0
1989-06-14,729.5
1989-06-15,734.0
1989-06-16,733.0
1989-06-19,748.5
1989-06-20,736.25
1989-06-21,738.5
1989-06-22,723.5
1989-06-23,731.0
1989-06-26,731.0
1989-06-27,738.5
1989-06-28,727.75
1989-06-29,722.5
1989-06-30,735.0
1989-07-03,740.5
1989-07-05,776.5
1989-07-06,765.0
1989-07-07,766.5
1989-07-10,743.75
1989-07-11,726.0
1989-07-12,686.5
1989-07-13,697.5
1989-07-14,703.5
1989-07-17,677.5
1989-07-18,695.5
1989-07-19,727.5
1989-07-20,688.5
1989-07-21,673.75
1989-07-24,661.75
1989-07-25,661.0
1989-07-26,661.75
1989-07-27,668.0
1989-07-28,649.0
1989-07-31,624.5
1989-08-01,613.5
1989-08-02,608.25
1989-08-03,582.25
1989-08-04,590.75
1989-08-07,601.5
1989-08-08,592.5
1989-08-09,594.0
1989-08-10,603.25
1989-08-11,615.0
1989-08-14,602.5
1989-08-15,622.5
1989-08-16,623.5
1989-08-17,608.0
1989-08-18,615.75
1989-08-21,628.0
1989-08-22,606.0
1989-08-23,598.0
1989-08-24,595.75
1989-08-25,579.5
1989-08-28,578.0
1989-08-29,581.25
1989-08-30,579.25
1989-08-31,588.0
1989-09-01,581.5
1989-09-05,581.25
1989-09-06,587.75
1989-09-07,596.75
1989-09-08,607.5
1989-09-11,607.0
1989-09-12,602.0
1989-09-13,586.5
1989-09-14,585.5
1989-09-15,583.5
1989-09-18,572.25
1989-09-19,563.0
1989-09-20,568.25
1989-09-21,582.75
1989-09-22,574.25
1989-09-25,572.5
1989-09-26,566.25
1989-09-27,565.25
1989-09-28,570.5
1989-09-29,568.0
1989-10-02,577.0
1989-10-03,576.25
1989-10-04,576.5
1989-10-05,574.0
1989-10-06,567.5
1989-10-09,556.75
1989-10-10,552.25
1989-10-11,552.25
1989-10-12,552.5
1989-10-13,544.25
1989-10-16,547.0
1989-10-17,555.5
1989-10-18,559.75
1989-10-19,565.25
1989-10-20,563.5
1989-10-23,563.0
1989-10-24,560.75
1989-10-25,566.0
1989-10-26,566.5
1989-10-27,561.75
1989-10-30,560.5
1989-10-31,558.5
1989-11-01,561.75
1989-11-02,566.5
1989-11-03,569.0
1989-11-06,564.5
1989-11-07,564.25
1989-11-08,563.0
1989-11-09,567.75
1989-11-10,575.75
1989-11-13,578.0
1989-11-14,579.0
1989-11-15,579.5
1989-11-16,584.25
1989-11-17,583.75
1989-11-20,575.25
1989-11-21,585.75
1989-11-22,591.25
1989-11-24,586.75
1989-11-27,576.25
1989-11-28,579.75
1989-11-29,579.25
1989-11-30,582.75
1989-12-01,576.25
1989-12-04,572.25
1989-12-05,575.0
1989-12-06,579.25
1989-12-07,575.5
1989-12-08,579.0
1989-12-11,579.0
1989-12-12,577.0
1989-12-13,580.5
1989-12-14,582.25
1989-12-15,583.25
1989-12-18,580.75
1989-12-19,578.5
1989-12-20,573.75
1989-12-21,574.5
1989-12-22,572.25
1989-12-26,568.5
1989-12-27,564.5
1989-12-28,569.0
1989-12-29,568.0
1990-01-02,561.25
1990-01-03,567.25
1990-01-04,563.25
1990-01-05,564.5
1990-01-08,570.75
1990-01-09,570.5
1990-01-10,567.25
1990-01-11,569.75
1990-01-12,565.5
1990-01-15,564.0
1990-01-16,558.0
1990-01-17,557.5
1990-01-18,560.75
1990-01-19,558.0
1990-01-22,554.5
1990-01-23,567.25
1990-01-24,566.0
1990-01-25,558.25
1990-01-26,558.5
1990-01-29,563.5
1990-01-30,558.5
1990-01-31,561.0
1990-02-01,559.75
1990-02-02,560.25
1990-02-05,558.25
1990-02-06,562.75
1990-02-07,567.75
1990-02-08,564.75
1990-02-09,566.75
1990-02-12,565.25
1990-02-13,564.0
1990-02-14,566.75
1990-02-15,571.0
1990-02-16,569.75
1990-02-20,566.25
1990-02-21,571.0
1990-02-22,568.0
1990-02-23,565.25
1990-02-26,561.75
1990-02-27,561.5
1990-02-28,566.5
1990-03-01,567.25
1990-03-02,568.75
1990-03-05,570.75
1990-03-06,577.75
1990-03-07,576.75
1990-03-08,581.5
1990-03-09,587.5
1990-03-12,582.75
1990-03-13,578.5
1990-03-14,572.5
1990-03-15,586.0
1990-03-16,581.75
1990-03-19,590.0
1990-03-20,592.5
1990-03-21,592.0
1990-03-22,605.0
1990-03-23,598.0
1990-03-26,603.5
1990-03-27,600.25
1990-03-28,588.75
1990-03-29,589.5
1990-03-30,595.0
1990-04-02,585.0
1990-04-03,586.0
1990-04-04,591.0
1990-04-05,596.5
1990-04-06,595.5
1990-04-09,591.75
1990-04-10,591.0
1990-04-11,592.75
1990-04-12,586.75
1990-04-16,591.0
1990-04-17,596.5
1990-04-18,594.25
1990-04-19,600.5
1990-04-20,604.75
1990-04-23,605.75
1990-04-24,598.5
1990-04-25,609.25
1990-04-26,626.25
1990-04-27,635.0
1990-04-30,632.5
1990-05-01,627.5
1990-05-02,636.5
1990-05-03,629.75
1990-05-04,626.5
1990-05-07,637.0
1990-05-08,633.5
1990-05-09,646.75
1990-05-10,648.0
1990-05-11,632.0
1990-05-14,623.5
1990-05-15,613.25
1990-05-16,613.0
1990-05-17,617.0
1990-05-18,609.5
1990-05-21,604.5
1990-05-22,609.0
1990-05-23,608.75
1990-05-24,615.5
1990-05-25,619.0
1990-05-29,606.0
1990-05-30,605.25
1990-05-31,607.25
1990-06-01,602.0
1990-06-04,592.75
1990-06-05,592.75
1990-06-06,594.0
1990-06-07,602.75
1990-06-08,600.0
1990-06-11,608.25
1990-06-12,607.5
1990-06-13,606.0
1990-06-14,591.25
1990-06-15,586.0
1990-06-18,596.0
1990-06-19,593.25
1990-06-20,598.0
1990-06-21,603.25
1990-06-22,599.5
1990-06-25,612.75
1990-06-26,608.0
1990-06-27,608.0
1990-06-28,607.0
1990-06-29,623.5
1990-07-02,646.0
1990-07-03,648.5
1990-07-05,628.5
1990-07-06,619.0
1990-07-09,616.5
1990-07-10,615.75
1990-07-11,609.5
1990-07-12,607.5
1990-07-13,610.25
1990-07-16,597.25
1990-07-17,595.0
1990-07-18,600.0
1990-07-19,604.5
1990-07-20,591.0
1990-07-23,591.0
1990-07-24,584.25
1990-07-25,583.75
1990-07-26,592.5
1990-07-27,584.5
1990-07-30,588.0
1990-07-31,594.5
1990-08-01,585.0
1990-08-02,580.25
1990-08-03,586.5
1990-08-06,595.25
1990-08-07,595.25
1990-08-08,593.25
1990-08-09,598.25
1990-08-10,608.75
1990-08-13,603.25
1990-08-14,610.0
1990-08-15,613.0
1990-08-16,612.5
1990-08-17,615.0
1990-08-20,610.75
1990-08-21,611.0
1990-08-22,615.25
1990-08-23,628.0
1990-08-24,630.0
1990-08-27,619.0
1990-08-28,619.75
1990-08-29,605.25
1990-08-30,602.5
1990-08-31,601.0
1990-09-04,608.0
1990-09-05,611.75
1990-09-06,617.25
1990-09-07,612.25
1990-09-10,619.5
1990-09-11,625.5
1990-09-12,628.5
1990-09-13,623.0
1990-09-14,624.5
1990-09-17,615.5
1990-09-18,622.5
1990-09-19,612.5
1990-09-20,617.25
1990-09-21,611.5
1990-09-24,613.5
1990-09-25,617.5
1990-09-26,615.5
1990-09-27,619.25
1990-09-28,617.5
1990-10-01,604.5
1990-10-02,606.25
1990-10-03,620.0
1990-10-04,617.75
1990-10-05,617.0
1990-10-08,634.0
1990-10-09,634.25
1990-10-10,625.0
1990-10-11,620.5
1990-10-12,620.5
1990-10-15,614.25
1990-10-16,610.25
1990-10-17,614.5
1990-10-18,610.25
1990-10-19,611.5
1990-10-22,610.75
1990-10-23,614.5
1990-10-24,610.75
1990-10-25,605.5
1990-10-26,594.75
1990-10-29,590.5
1990-10-30,590.5
1990-10-31,592.0
1990-11-01,596.0
1990-11-02,592.5
1990-11-05,581.5
1990-11-06,575.75
1990-11-07,582.0
1990-11-08,583.25
1990-11-09,566.75
1990-11-12,571.75
1990-11-13,563.0
1990-11-14,554.25
1990-11-15,558.5
1990-11-16,566.75
1990-11-19,569.0
1990-11-20,557.0
1990-11-21,577.25
1990-11-23,582.0
1990-11-26,576.5
1990-11-27,582.25
1990-11-28,586.5
1990-11-29,594.75
1990-11-30,589.5
1990-12-03,601.25
1990-12-04,601.25
1990-12-05,592.5
1990-12-06,597.25
1990-12-07,595.0
1990-12-10,595.75
1990-12-11,595.0
1990-12-12,596.75
1990-12-13,588.0
1990-12-14,588.25
1990-12-17,587.75
1990-12-18,583.25
1990-12-19,576.25
1990-12-20,570.75
1990-12-21,562.75
1990-12-24,562.25
1990-12-26,566.5
1990-12-27,561.75
1990-12-28,558.0
1990-12-31,559.75
1991-01-02,553.75
1991-01-03,558.5
1991-01-04,564.5
1991-01-07,566.75
1991-01-08,553.5
1991-01-09,555.75
1991-01-10,560.25
1991-01-11,553.75
1991-01-14,551.25
1991-01-15,556.5
1991-01-16,563.25
1991-01-17,571.0
1991-01-18,572.25
1991-01-21,570.5
1991-01-22,578.25
1991-01-23,586.0
1991-01-24,570.75
1991-01-25,571.5
1991-01-28,570.25
1991-01-29,564.25
1991-01-30,563.75
1991-01-31,566.75
1991-02-01,567.0
1991-02-04,571.25
1991-02-05,570.75
1991-02-06,573.0
1991-02-07,566.25
1991-02-08,568.75
1991-02-11,566.75
1991-02-12,570.25
1991-02-13,573.75
1991-02-14,572.75
1991-02-15,573.5
1991-02-19,574.75
1991-02-20,573.25
1991-02-21,572.25
1991-02-22,569.5
1991-02-25,575.75
1991-02-26,576.75
1991-02-27,572.25
1991-02-28,575.75
1991-03-01,586.75
1991-03-04,590.25
1991-03-05,595.25
1991-03-06,593.75
1991-03-07,592.0
1991-03-08,600.25
1991-03-11,586.0
1991-03-12,585.25
1991-03-13,586.5
1991-03-14,573.75
1991-03-15,566.5
1991-03-18,571.5
1991-03-19,570.5
1991-03-20,574.75
1991-03-21,578.0
1991-03-22,575.5
1991-03-25,569.5
1991-03-26,567.75
1991-03-27,571.25
1991-03-28,574.75
1991-04-01,598.5
1991-04-02,594.5
1991-04-03,587.0
1991-04-04,585.25
1991-04-05,588.75
1991-04-08,590.5
1991-04-09,581.75
1991-04-10,586.5
1991-04-11,588.75
1991-04-12,587.75
1991-04-15,585.75
1991-04-16,589.0
1991-04-17,582.25
1991-04-18,582.0
1991-04-19,590.25
1991-04-22,583.75
1991-04-23,593.25
1991-04-24,593.0
1991-04-25,591.75
1991-04-26,591.5
1991-04-29,576.75
1991-04-30,576.5
1991-05-01,580.75
1991-05-02,582.25
1991-05-03,584.0
1991-05-06,585.0
1991-05-07,577.0
1991-05-08,571.5
1991-05-09,574.75
1991-05-10,564.5
1991-05-13,565.25
1991-05-14,563.0
1991-05-15,562.0
1991-05-16,563.0
1991-05-17,564.0
1991-05-20,563.5
1991-05-21,564.0
1991-05-22,579.5
1991-05-23,582.0
1991-05-24,574.0
1991-05-28,577.0
1991-05-29,574.0
1991-05-30,578.25
1991-05-31,581.75
1991-06-03,585.25
1991-06-04,579.25
1991-06-05,580.5
1991-06-06,580.5
1991-06-07,583.5
1991-06-10,572.5
1991-06-11,573.25
1991-06-12,573.5
1991-06-13,571.5
1991-06-14,567.5
1991-06-17,562.5
1991-06-18,565.75
1991-06-19,570.75
1991-06-20,572.0
1991-06-21,562.75
1991-06-24,566.0
1991-06-25,563.0
1991-06-26,560.5
1991-06-27,549.0
1991-06-28,528.0
1991-07-01,532.5
1991-07-02,531.25
1991-07-03,533.25
1991-07-05,530.0
1991-07-08,520.75
1991-07-09,523.0
1991-07-10,525.5
1991-07-11,521.25
1991-07-12,527.0
1991-07-15,531.5
1991-07-16,547.5
1991-07-17,538.75
1991-07-18,527.0
1991-07-19,527.0
1991-07-22,542.0
1991-07-23,560.0
1991-07-24,549.0
1991-07-25,549.25
1991-07-26,562.5
1991-07-29,582.0
1991-07-30,575.25
1991-07-31,583.0
1991-08-01,614.0
1991-08-02,637.0
1991-08-05,591.5
1991-08-06,569.5
1991-08-07,557.25
1991-08-08,555.5
1991-08-09,556.0
1991-08-12,558.5
1991-08-13,548.5
1991-08-14,538.5
1991-08-15,549.0
1991-08-16,548.0
1991-08-19,528.0
1991-08-20,531.0
1991-08-21,560.0
1991-08-22,571.25
1991-08-23,567.75
1991-08-26,582.75
1991-08-27,574.75
1991-08-28,570.5
1991-08-29,568.5
1991-08-30,579.25
1991-09-03,576.75
1991-09-04,583.5
1991-09-05,575.5
1991-09-06,574.75
1991-09-09,576.5
1991-09-10,573.0
1991-09-11,582.75
1991-09-12,589.25
1991-09-13,592.0
1991-09-16,602.0
1991-09-17,600.5
1991-09-18,609.0
1991-09-19,599.5
1991-09-20,599.0
1991-09-23,592.0
1991-09-24,592.0
1991-09-25,590.25
1991-09-26,588.0
1991-09-27,585.25
1991-09-30,587.0
1991-10-01,588.5
1991-10-02,588.25
1991-10-03,577.5
1991-10-04,581.75
1991-10-07,576.5
1991-10-08,572.0
1991-10-09,569.75
1991-10-10,570.0
1991-10-11,545.5
1991-10-14,548.0
1991-10-15,548.0
1991-10-16,552.0
1991-10-17,547.25
1991-10-18,552.5
1991-10-21,547.5
1991-10-22,555.5
1991-10-23,550.5
1991-10-24,548.25
1991-10-25,541.25
1991-10-28,549.0
1991-10-29,556.75
1991-10-30,552.5
1991-10-31,558.0
1991-11-01,567.25
1991-11-04,563.75
1991-11-05,563.0
1991-11-06,557.0
1991-11-07,554.0
1991-11-08,554.0
1991-11-11,546.25
1991-11-12,546.25
1991-11-13,556.25
1991-11-14,564.5
1991-11-15,554.75
1991-11-18,568.0
1991-11-19,565.25
1991-11-20,564.5
1991-11-21,559.75
1991-11-22,560.75
1991-11-25,564.75
1991-11-26,563.25
1991-11-27,563.75
1991-11-29,557.0
1991-12-02,564.5
1991-12-03,555.5
1991-12-04,562.75
1991-12-05,557.75
1991-12-06,555.25
1991-12-09,554.0
1991-12-10,548.0
1991-12-11,548.25
1991-12-12,544.0
1991-12-13,553.0
1991-12-16,550.75
1991-12-17,550.75
1991-12-18,552.75
1991-12-19,553.0
1991-12-20,556.75
1991-12-23,563.75
1991-12-24,562.0
1991-12-26,564.75
1991-12-27,562.5
1991-12-30,552.5
1991-12-31,554.75
1992-01-02,549.5
1992-01-03,551.0
1992-01-06,558.0
1992-01-07,556.75
1992-01-08,564.75
1992-01-09,563.75
1992-01-10,561.5
1992-01-13,563.5
1992-01-14,557.25
1992-01-15,567.75
1992-01-16,568.75
1992-01-17,576.75
1992-01-20,571.0
1992-01-21,575.5
1992-01-22,570.0
1992-01-23,572.75
1992-01-24,581.5
1992-01-27,576.75
1992-01-28,581.5
1992-01-29,576.25
1992-01-30,572.75
1992-01-31,572.0
1992-02-03,577.5
1992-02-04,577.75
1992-02-05,576.25
1992-02-06,573.25
1992-02-07,570.5
1992-02-10,578.75
1992-02-11,566.5
1992-02-12,570.0
1992-02-13,570.25
1992-02-14,568.5
1992-02-18,572.5
1992-02-19,577.25
1992-02-20,577.75
1992-02-21,576.75
1992-02-24,580.0
1992-02-25,577.25
1992-02-26,572.75
1992-02-27,573.75
1992-02-28,580.25
1992-03-02,583.5
1992-03-03,581.25
1992-03-04,590.0
1992-03-05,588.25
1992-03-06,591.25
1992-03-09,592.5
1992-03-10,588.5
1992-03-11,591.5
1992-03-12,585.75
1992-03-13,589.75
1992-03-16,585.75
1992-03-17,588.75
1992-03-18,591.0
1992-03-19,593.0
1992-03-20,594.0
1992-03-23,587.25
1992-03-24,586.0
1992-03-25,588.5
1992-03-26,586.0
1992-03-27,584.25
1992-03-30,585.75
1992-03-31,588.25
1992-04-01,577.25
1992-04-02,575.5
1992-04-03,576.25
1992-04-06,578.0
1992-04-07,570.5
1992-04-08,566.75
1992-04-09,568.5
1992-04-10,571.0
