Date,Settle
2014-02-18,123.745
2014-02-19,124.125
2014-02-20,123.982
2014-02-21,123.572
2014-02-24,123.72
2014-02-25,123.536
2014-02-26,123.567
2014-02-27,123.508
2014-02-28,123.531
2014-03-03,123.531
2014-03-04,123.531
2014-03-06,121.895
2014-03-07,122.856
2014-03-11,122.265
2014-03-12,121.499
2014-03-13,121.207
2014-03-14,121.804
2014-03-17,121.18
2014-03-18,121.3
2014-03-19,121.136
2014-03-20,121.217
2014-03-21,121.31
2014-03-24,121.18
2014-03-25,121.417
2014-03-26,121.331
2014-03-27,121.505
2014-03-28,121.621
2014-03-31,121.676
2014-04-01,121.676
2014-04-02,119.187
2014-04-03,120.087
2014-04-04,121.33
2014-04-07,120.472
2014-04-08,121.068
2014-04-09,122.058
2014-04-10,121.91
2014-04-11,121.846
2014-04-14,122.256
2014-04-15,122.748
2014-04-16,123.121
2014-04-17,123.298
2014-04-21,123.208
2014-04-22,123.048
2014-04-23,123.003
2014-04-24,122.918
2014-04-25,122.823
2014-04-28,122.819
2014-04-29,122.9
2014-04-30,122.897
2014-05-01,122.897
2014-05-02,122.67
2014-05-05,121.127
2014-05-06,121.738
2014-05-07,121.751
2014-05-08,121.558
2014-05-09,121.758
2014-05-12,121.825
2014-05-13,122.043
2014-05-14,122.642
2014-05-15,122.542
2014-05-16,122.765
2014-05-19,122.61
2014-05-20,122.33
2014-05-21,122.614
2014-05-22,122.55
2014-05-23,122.521
2014-05-27,122.288
2014-05-28,122.228
2014-05-29,122.314
2014-05-30,122.35
2014-06-02,122.35
2014-06-03,118.215
2014-06-04,118.219
2014-06-05,117.937
2014-06-06,117.895
2014-06-09,118.601
2014-06-10,118.002
2014-06-11,118.689
2014-06-12,120.19
2014-06-13,120.828
2014-06-16,121.035
2014-06-17,121.283
2014-06-18,121.435
2014-06-19,121.638
2014-06-20,121.469
2014-06-23,121.286
2014-06-24,121.491
2014-06-25,121.321
2014-06-26,121.271
2014-06-27,121.26
2014-06-30,121.238
