Date,Settle
2014-02-18,1.2
2014-02-19,1.505
2014-02-20,1.6
2014-02-21,1.5
2014-02-24,1.1
2014-02-25,1.1
2014-02-26,1.265
2014-02-27,1.25
2014-02-28,1.25
2014-03-03,1.275
2014-03-04,1.275
2014-03-06,0.15
2014-03-07,0.17
2014-03-11,0.182
2014-03-12,0.195
2014-03-13,0.135
2014-03-14,0.055
2014-03-17,0.035
2014-03-18,0.05
2014-03-19,0.055
2014-03-20,0.09
2014-03-21,0.055
2014-03-24,0.055
2014-03-25,0.04
2014-03-26,0.022
2014-03-27,0.044
2014-03-28,0.042
2014-04-01,0.004
2014-04-02,0.125
2014-04-03,0.17
2014-04-04,0.17
2014-04-07,0.195
2014-04-08,0.195
2014-04-09,0.195
2014-04-10,0.235
2014-04-11,0.235
2014-04-14,0.4
2014-04-15,0.4
2014-04-16,0.4
2014-04-17,0.4
2014-04-21,0.5
2014-04-22,0.5
2014-04-23,0.5
2014-04-24,0.37
2014-04-25,0.37
2014-04-28,0.33
2014-04-29,0.385
2014-04-30,0.326
2014-05-01,0.295
2014-05-02,0.35
2014-05-05,0.45
2014-05-06,0.45
2014-05-07,0.45
2014-05-08,0.4
2014-05-09,0.4
2014-05-12,0.4
2014-05-13,0.545
2014-05-14,0.545
2014-05-15,0.57
2014-05-16,0.695
2014-05-19,0.85
2014-05-20,0.85
2014-05-21,0.865
2014-05-22,0.875
2014-05-23,0.875
2014-05-27,1.075
2014-05-28,1.155
2014-05-29,1.155
2014-05-30,1.15
2014-06-02,0.974
2014-06-03,0.625
2014-06-04,0.625
2014-06-05,0.625
2014-06-06,0.62
2014-06-09,0.78
2014-06-10,0.755
2014-06-11,0.8
2014-06-12,0.8
2014-06-13,0.8
2014-06-16,0.808
2014-06-17,0.84
2014-06-18,0.957
2014-06-19,1.01
2014-06-20,1.05
2014-06-23,1.05
2014-06-24,1.02
2014-06-25,0.985
2014-06-26,0.995
2014-06-27,0.989
2014-06-30,1.002
2014-07-01,1.04
2014-07-02,0.875
2014-07-03,0.875
2014-07-07,0.97
2014-07-08,1.025
2014-07-09,1.01
2014-07-10,1.12
2014-07-11,1.12
2014-07-14,1.09
