Date,Settle
2012-10-30,163.9375
2012-10-31,165.09375
2012-11-01,163.8125
2012-11-02,163.28125
2012-11-05,164.5625
2012-11-06,163.28125
2012-11-07,166.0
2012-11-08,167.46875
2012-11-09,168.125
2012-11-12,168.46875
2012-11-13,169.0
2012-11-14,168.84375
2012-11-15,168.96875
2012-11-16,169.0625
2012-11-19,167.9375
2012-11-20,166.65625
2012-11-21,166.0625
2012-11-23,166.0
2012-11-26,166.9375
2012-11-27,167.21875
2012-11-28,167.59375
2012-11-29,167.15625
2012-11-30,167.34375
2012-12-03,167.0
2012-12-04,167.75
2012-12-05,167.84375
2012-12-06,168.21875
2012-12-07,166.875
2012-12-10,167.21875
2012-12-11,166.3125
2012-12-12,164.6875
2012-12-13,164.53125
2012-12-14,165.46875
2012-12-17,163.84375
2012-12-18,161.59375
2012-12-19,162.71875
2012-12-20,160.96875
2012-12-21,162.75
2012-12-24,162.34375
2012-12-26,162.46875
2012-12-27,163.875
2012-12-28,163.875
2012-12-31,162.59375
2013-01-02,159.5625
2013-01-03,157.875
2013-01-04,157.78125
2013-01-07,158.09375
2013-01-08,158.78125
2013-01-09,159.25
2013-01-10,158.59375
2013-01-11,159.21875
2013-01-14,159.5625
2013-01-15,160.28125
2013-01-16,160.25
2013-01-17,158.9375
2013-01-18,159.9375
2013-01-22,160.25
2013-01-23,160.0625
2013-01-24,159.78125
2013-01-25,157.3125
2013-01-28,157.0
2013-01-29,156.53125
2013-01-30,155.78125
2013-01-31,156.53125
2013-02-01,155.5
2013-02-04,156.25
2013-02-05,155.1875
2013-02-06,156.125
2013-02-07,156.53125
2013-02-08,156.40625
2013-02-11,156.84375
2013-02-12,155.875
2013-02-13,155.09375
2013-02-14,156.28125
2013-02-19,155.40625
2013-02-20,155.28125
2013-02-21,156.34375
2013-02-22,156.625
2013-02-25,158.34375
2013-02-26,158.8125
2013-02-27,158.03125
2013-02-28,158.28125
2013-03-01,159.0625
2013-03-04,158.40625
2013-03-05,157.96875
2013-03-06,156.75
2013-03-07,155.5
2013-03-08,154.125
2013-03-11,154.15625
2013-03-12,155.0625
2013-03-13,155.0625
2013-03-14,154.34375
2013-03-15,154.9375
2013-03-18,156.03125
2013-03-19,157.40625
2013-03-20,156.03125
2013-03-21,156.53125
2013-03-22,157.0625
2013-03-25,156.875
2013-03-26,157.15625
2013-03-27,158.1875
2013-03-28,157.59375
2013-04-01,158.40625
2013-04-02,157.96875
2013-04-03,159.25
2013-04-04,161.21875
2013-04-05,164.53125
2013-04-08,163.40625
2013-04-09,162.6875
2013-04-10,160.65625
2013-04-11,160.9375
2013-04-12,163.15625
2013-04-15,164.15625
2013-04-16,163.59375
2013-04-17,164.0625
2013-04-18,164.75
2013-04-19,164.28125
2013-04-22,164.375
2013-04-23,164.1875
2013-04-24,164.28125
2013-04-25,163.75
2013-04-26,165.1875
2013-04-29,164.71875
2013-04-30,164.34375
2013-05-01,165.65625
2013-05-02,165.96875
2013-05-03,162.34375
2013-05-06,161.53125
2013-05-07,161.09375
2013-05-08,161.8125
2013-05-09,161.28125
2013-05-10,158.9375
2013-05-13,158.25
2013-05-14,157.34375
2013-05-15,157.46875
2013-05-16,159.40625
2013-05-17,157.3125
2013-05-20,157.0625
2013-05-21,157.6875
2013-05-22,156.15625
2013-05-23,156.40625
2013-05-24,157.09375
2013-05-28,154.0625
2013-05-29,154.4375
2013-05-30,154.0625
2013-05-31,153.625
2013-06-03,154.1875
2013-06-04,153.65625
2013-06-05,154.65625
2013-06-06,155.3125
2013-06-07,153.03125
2013-06-10,151.78125
2013-06-11,152.6875
2013-06-12,151.59375
2013-06-13,153.0
2013-06-14,153.9375
2013-06-17,152.5625
2013-06-18,152.78125
2013-06-19,152.15625
2013-06-20,146.75
2013-06-21,145.46875
2013-06-24,145.6875
2013-06-25,144.34375
2013-06-26,145.375
2013-06-27,146.125
2013-06-28,147.3125
2013-07-01,147.46875
2013-07-02,147.96875
2013-07-03,147.28125
2013-07-05,142.9375
2013-07-08,143.8125
2013-07-09,143.5625
2013-07-10,142.8125
2013-07-11,144.3125
2013-07-12,143.90625
2013-07-15,144.78125
2013-07-16,145.375
2013-07-17,145.6875
2013-07-18,144.3125
2013-07-19,145.84375
2013-07-22,146.28125
2013-07-23,145.375
2013-07-24,143.96875
2013-07-25,143.6875
2013-07-26,144.84375
2013-07-29,143.96875
2013-07-30,143.65625
2013-07-31,144.25
2013-08-01,141.1875
2013-08-02,143.21875
2013-08-05,142.28125
2013-08-06,142.28125
2013-08-07,143.46875
2013-08-08,143.84375
2013-08-09,143.96875
2013-08-12,143.3125
2013-08-13,141.25
2013-08-14,141.25
2013-08-15,140.28125
2013-08-16,138.90625
2013-08-19,137.96875
2013-08-20,139.125
2013-08-21,138.375
2013-08-22,138.3125
2013-08-23,140.28125
2013-08-26,140.6875
2013-08-27,142.625
2013-08-28,141.4375
2013-08-29,142.5625
2013-08-30,143.34375
2013-09-03,140.9375
2013-09-04,140.4375
2013-09-05,138.5625
2013-09-06,138.75
2013-09-09,139.5625
2013-09-10,138.375
2013-09-11,139.09375
2013-09-12,139.4375
2013-09-13,139.46875
2013-09-16,139.0
2013-09-17,139.78125
2013-09-18,141.78125
