Date,Settle
2014-02-18,50.59
2014-02-19,50.74
2014-02-20,50.57
2014-02-21,50.59
2014-02-24,49.17
2014-02-25,48.94
2014-02-26,48.94
2014-02-27,48.75
2014-02-28,49.21
2014-03-03,51.58
2014-03-04,51.58
2014-03-06,51.58
2014-03-07,53.6
2014-03-10,52.21
2014-03-11,51.9
2014-03-12,51.52
2014-03-13,51.14
2014-03-14,51.21
2014-03-17,50.25
2014-03-18,50.3
2014-03-19,50.12
2014-03-20,49.81
2014-03-21,49.47
2014-03-24,47.51
2014-03-25,47.4
2014-03-26,47.2
2014-03-27,47.61
2014-03-28,47.92
2014-03-31,46.42
2014-04-01,46.28
2014-04-02,46.28
2014-04-03,46.28
2014-04-04,46.28
2014-04-07,34.52
2014-04-08,34.44
2014-04-09,34.51
2014-04-10,34.42
2014-04-11,34.35
2014-04-14,33.92
2014-04-15,33.74
2014-04-16,33.64
2014-04-17,33.72
2014-04-21,33.2
2014-04-22,33.08
2014-04-23,32.94
2014-04-24,32.88
2014-04-25,32.91
2014-04-28,32.77
2014-04-29,32.62
2014-04-30,32.54
2014-05-01,32.58
2014-05-02,32.58
2014-05-05,32.58
2014-05-06,31.75
2014-05-07,31.75
2014-05-08,31.68
2014-05-09,31.6
2014-05-12,31.4
2014-05-13,31.32
2014-05-14,31.38
2014-05-15,31.32
2014-05-16,31.26
2014-05-19,31.65
2014-05-20,31.54
2014-05-21,31.46
2014-05-22,31.44
2014-05-23,31.44
2014-05-27,31.73
2014-05-28,31.69
2014-05-29,31.64
2014-05-30,31.61
2014-06-02,31.71
2014-06-03,31.71
2014-06-04,31.71
2014-06-05,31.71
2014-06-06,31.74
2014-06-09,32.89
2014-06-10,32.9
2014-06-11,32.9
2014-06-12,32.66
2014-06-13,32.51
2014-06-16,31.35
2014-06-17,31.15
2014-06-18,31.09
2014-06-19,31.07
2014-06-20,31.06
2014-06-23,31.59
2014-06-24,31.4
2014-06-25,31.29
2014-06-26,31.2
2014-06-27,31.12
2014-06-30,31.88
2014-07-01,31.75
2014-07-02,31.75
2014-07-03,31.75
2014-07-07,31.75
2014-07-08,31.83
2014-07-09,31.64
2014-07-10,31.43
2014-07-11,31.2
2014-07-14,31.67
2014-07-15,31.51
2014-07-16,31.32
2014-07-17,31.09
2014-07-18,30.84
2014-07-21,30.05
2014-07-22,29.84
2014-07-23,29.63
2014-07-24,29.44
2014-07-25,29.21
2014-07-28,28.25
2014-07-29,27.99
2014-07-30,27.55
2014-07-31,27.24
2014-08-01,26.96
2014-08-04,26.96
2014-08-05,26.96
2014-08-06,26.96
2014-08-07,28.35
2014-08-08,28.28
2014-08-11,28.44
2014-08-12,28.37
2014-08-13,28.31
2014-08-14,28.23
2014-08-15,28.1
2014-08-18,27.94
2014-08-19,27.87
2014-08-20,27.77
2014-08-21,27.72
2014-08-22,27.67
2014-08-25,28.37
2014-08-26,28.29
2014-08-27,28.18
2014-08-28,28.13
2014-08-29,28.08
2014-09-02,28.28
2014-09-03,28.28
2014-09-04,28.28
2014-09-05,28.28
2014-09-08,28.19
2014-09-09,29.69
2014-09-10,29.61
2014-09-11,29.57
2014-09-12,29.52
2014-09-15,29.23
2014-09-16,29.09
2014-09-17,29.02
2014-09-18,28.94
2014-09-19,28.85
2014-09-22,29.38
2014-09-23,29.35
2014-09-24,29.28
2014-09-25,29.17
2014-09-26,29.13
2014-09-29,29.45
2014-09-30,29.61
2014-10-01,29.53
2014-10-02,29.53
2014-10-03,29.53
2014-10-06,29.53
2014-10-07,29.79
2014-10-08,29.73
2014-10-09,29.73
2014-10-10,29.64
2014-10-13,30.29
2014-10-14,30.2
2014-10-15,30.17
2014-10-16,30.29
2014-10-17,30.25
2014-10-20,29.96
2014-10-21,30.12
2014-10-22,30.07
2014-10-23,30.13
2014-10-24,30.28
2014-10-27,30.57
2014-10-28,30.79
2014-10-29,30.62
2014-10-30,30.53
2014-10-31,30.66
2014-11-03,30.65
2014-11-04,30.65
2014-11-05,30.65
2014-11-06,30.65
2014-11-07,33.36
2014-11-10,33.0
2014-11-11,32.98
2014-11-12,32.94
2014-11-13,32.85
2014-11-14,32.8
2014-11-17,32.55
2014-11-18,32.41
2014-11-19,32.4
2014-11-20,32.57
2014-11-21,32.53
2014-11-24,33.57
2014-11-25,33.34
2014-11-26,33.17
2014-11-28,33.17
2014-12-01,32.23
2014-12-02,32.23
2014-12-03,32.23
2014-12-04,32.23
2014-12-05,34.99
2014-12-08,34.53
2014-12-09,34.46
2014-12-10,34.36
2014-12-11,34.21
2014-12-12,34.1
2014-12-15,33.68
2014-12-16,33.53
2014-12-17,33.39
2014-12-18,33.21
2014-12-19,33.09
2014-12-22,33.66
2014-12-23,32.77
2014-12-24,32.54
2014-12-26,32.54
2014-12-29,28.59
2014-12-30,28.35
2014-12-31,37.5
2015-01-02,36.75
2015-01-07,34.35
2015-01-08,34.15
2015-01-09,34.66
2015-01-12,33.54
2015-01-13,33.36
2015-01-14,33.24
2015-01-15,33.51
2015-01-16,33.35
2015-01-20,31.65
2015-01-21,31.51
2015-01-22,31.28
2015-01-23,31.07
2015-01-26,29.69
2015-01-27,29.46
2015-01-29,29.21
2015-01-30,29.0
2015-02-02,28.57
2015-02-03,28.57
2015-02-04,28.57
2015-02-05,28.57
2015-02-06,30.59
2015-02-09,29.55
2015-02-10,29.33
2015-02-11,29.31
2015-02-12,29.37
2015-02-13,29.43
2015-02-17,29.72
2015-02-18,29.89
2015-02-19,30.09
2015-02-20,31.19
2015-02-23,39.35
2015-02-24,39.43
2015-02-25,40.09
2015-02-26,40.17
2015-02-27,40.29
2015-03-02,41.6
2015-03-03,41.6
2015-03-04,41.6
2015-03-05,41.6
2015-03-06,31.47
2015-03-10,32.56
2015-03-11,32.41
2015-03-12,32.17
2015-03-13,32.29
2015-03-16,31.58
2015-03-17,31.59
2015-03-18,31.3
2015-03-19,31.3
2015-03-20,31.17
2015-03-23,30.68
2015-03-24,30.61
2015-03-25,30.51
2015-03-26,30.42
2015-03-27,30.44
2015-03-30,31.8
2015-04-01,31.57
2015-04-02,31.57
2015-04-06,31.57
2015-04-07,31.57
2015-04-08,26.69
2015-04-09,26.62
2015-04-10,26.72
2015-04-13,26.95
2015-04-14,26.88
2015-04-15,26.75
2015-04-16,26.7
2015-04-17,26.67
2015-04-20,26.73
2015-04-21,26.56
2015-04-22,26.51
2015-04-23,26.55
2015-04-24,26.63
2015-04-27,27.28
2015-04-28,27.62
2015-04-29,27.58
2015-04-30,27.57
2015-05-01,27.29
2015-05-04,27.29
2015-05-05,27.29
2015-05-06,27.29
2015-05-07,26.3
2015-05-08,26.25
2015-05-11,26.9
2015-05-12,26.86
2015-05-13,26.81
2015-05-14,26.75
2015-05-15,26.68
2015-05-18,27.18
2015-05-19,27.14
2015-05-20,26.99
2015-05-21,26.91
2015-05-22,26.82
2015-05-26,23.65
2015-05-27,23.44
2015-05-28,23.32
2015-05-29,23.12
2015-06-01,25.59
2015-06-02,25.59
2015-06-03,25.59
2015-06-04,25.59
2015-06-05,24.55
2015-06-08,24.27
2015-06-09,24.23
2015-06-10,24.18
2015-06-11,23.94
2015-06-12,23.86
2015-06-15,25.27
2015-06-16,25.24
2015-06-17,25.21
2015-06-18,25.18
2015-06-19,25.1
2015-06-22,25.54
2015-06-23,25.46
2015-06-24,25.42
2015-06-25,25.33
2015-06-26,25.21
2015-07-01,24.26
2015-07-02,24.26
2015-07-06,24.26
2015-07-07,24.26
2015-07-08,24.15
2015-07-09,24.05
2015-07-10,23.95
2015-07-13,23.8
2015-07-14,23.72
2015-07-15,23.66
2015-07-16,23.56
2015-07-17,23.41
2015-07-20,23.95
2015-07-21,23.91
2015-07-22,23.86
2015-07-23,23.76
2015-07-24,23.59
2015-07-27,24.86
2015-07-28,24.8
2015-07-29,24.77
2015-07-30,24.73
2015-07-31,24.67
2015-08-03,24.84
2015-08-04,24.94
2015-08-05,24.68
2015-08-06,24.59
2015-08-07,24.54
2015-08-10,24.78
2015-08-11,24.88
2015-08-12,25.14
2015-08-13,25.08
2015-08-14,25.11
2015-08-17,24.76
2015-08-18,24.87
2015-08-19,25.03
2015-08-20,25.08
2015-08-21,24.91
2015-08-24,24.75
2015-08-25,24.63
2015-08-26,24.8
2015-08-27,24.82
2015-08-28,24.8
2015-08-31,26.75
2015-09-01,26.75
2015-09-02,26.63
2015-09-03,26.73
2015-09-04,26.59
2015-09-08,26.73
2015-09-09,26.49
2015-09-10,26.63
2015-09-11,26.63
2015-09-14,26.7
2015-09-15,26.6
2015-09-16,26.6
2015-09-17,26.4
2015-09-18,26.06
2015-09-21,26.06
2015-09-22,28.15
2015-09-23,25.8
2015-09-24,25.65
2015-09-25,25.43
2015-09-28,25.43
2015-09-29,25.48
2015-09-30,0.0
2015-10-01,27.56
2015-10-02,27.44
2015-10-05,27.39
2015-10-06,27.51
2015-10-07,27.58
2015-10-08,27.73
2015-10-09,27.34
2015-10-12,27.5
2015-10-13,27.6
2015-10-14,27.44
2015-10-15,27.33
2015-10-16,27.05
2015-10-19,27.0
2015-10-20,27.28
2015-10-21,27.26
2015-10-22,27.82
2015-10-23,27.06
2015-10-26,26.78
2015-10-27,26.16
2015-10-28,25.5
2015-10-29,25.0
2015-10-30,27.27
2015-11-02,26.94
2015-11-03,26.95
2015-11-04,27.13
2015-11-05,27.87
2015-11-06,27.66
2015-11-09,26.98
2015-11-10,27.08
2015-11-11,26.25
2015-11-12,26.13
2015-11-13,26.39
2015-11-16,26.35
2015-11-17,26.2
2015-11-18,26.44
2015-11-19,26.58
2015-11-20,25.8
2015-11-23,26.07
2015-11-24,25.77
2015-11-25,25.68
2015-11-27,25.68
2015-11-30,28.84
2015-12-01,28.25
2015-12-02,27.83
2015-12-03,27.87
2015-12-04,28.27
2015-12-07,27.5
2015-12-08,27.75
2015-12-09,27.75
2015-12-10,27.75
2015-12-11,27.5
2015-12-14,26.0
2015-12-15,25.85
2015-12-16,26.25
2015-12-17,26.25
2015-12-18,26.41
2015-12-21,27.5
2015-12-22,27.48
2015-12-23,27.28
2015-12-24,27.61
2015-12-28,28.5
2015-12-29,29.0
2015-12-30,28.38
2015-12-31,30.47
2016-01-04,29.69
2016-01-05,28.92
2016-01-06,28.66
2016-01-07,28.14
2016-01-08,28.79
2016-01-11,27.71
2016-01-12,26.93
2016-01-13,26.91
2016-01-14,26.08
2016-01-15,25.78
2016-01-19,25.03
2016-01-20,25.16
2016-01-21,25.35
2016-01-22,25.24
2016-01-25,25.4
2016-01-26,24.85
2016-01-27,25.23
2016-01-28,25.3
2016-01-29,28.7
2016-02-01,28.56
2016-02-02,28.66
2016-02-03,28.44
2016-02-04,28.44
2016-02-05,28.07
2016-02-08,28.46
2016-02-09,28.46
2016-02-10,28.27
2016-02-11,28.18
2016-02-12,28.27
2016-02-16,0.0
2016-02-17,0.0
2016-02-18,0.0
2016-02-19,0.0
2016-02-22,22.65
2016-02-23,22.25
2016-02-24,21.88
2016-02-25,21.95
2016-02-26,21.93
2016-03-07,21.75
2016-03-08,21.06
2016-03-09,20.84
2016-03-10,21.0
2016-03-11,21.19
2016-03-14,21.51
2016-03-15,21.75
2016-03-16,21.84
2016-03-17,21.84
2016-03-18,21.84
2016-03-21,21.2
2016-03-22,21.43
2016-03-23,21.16
2016-03-24,21.14
2016-03-28,21.16
2016-03-29,21.51
2016-03-30,21.89
2016-03-31,22.38
2016-04-01,21.19
2016-04-04,21.51
2016-04-05,21.41
2016-04-06,21.23
2016-04-07,21.43
2016-04-08,21.45
2016-04-11,21.54
2016-04-12,21.79
2016-04-13,21.66
2016-04-14,21.75
2016-04-15,22.0
2016-04-18,22.23
2016-04-19,22.59
2016-04-20,22.58
2016-04-21,22.89
2016-04-25,22.08
2016-04-26,21.91
2016-04-27,21.85
2016-04-28,22.11
2016-04-29,22.63
2016-05-02,22.61
2016-05-03,22.45
2016-05-04,22.78
2016-05-05,22.36
2016-05-06,22.36
2016-05-09,21.69
2016-05-10,21.89
2016-05-11,22.06
2016-05-12,22.05
2016-05-13,21.94
2016-05-16,21.5
2016-05-17,21.65
2016-05-18,21.54
2016-05-19,21.66
2016-05-20,21.66
2016-05-23,21.51
2016-05-24,20.74
2016-05-25,20.74
2016-05-26,20.44
2016-05-27,20.5
2016-05-31,20.04
2016-06-01,25.19
2016-06-02,25.89
2016-06-03,26.06
2016-06-06,26.25
2016-06-07,26.26
2016-06-08,26.24
2016-06-09,26.5
2016-06-10,26.32
2016-06-13,26.44
2016-06-14,26.68
2016-06-15,26.62
2016-06-16,26.48
2016-06-17,26.61
2016-06-20,26.87
2016-06-21,26.5
2016-06-22,25.82
2016-06-23,25.57
2016-06-24,25.51
2016-06-27,26.02
2016-06-28,26.6
2016-06-29,26.02
2016-06-30,25.97
2016-07-01,25.63
2016-07-05,24.48
2016-07-06,24.69
2016-07-07,24.51
2016-07-08,24.28
2016-07-11,23.69
2016-07-12,23.75
2016-07-13,23.68
2016-07-14,23.41
2016-07-15,23.56
2016-07-18,23.68
2016-07-19,23.39
2016-07-20,23.31
2016-07-21,23.36
2016-07-22,23.33
2016-07-25,22.85
2016-07-26,22.64
2016-07-27,22.63
2016-07-28,22.76
2016-07-29,22.86
2016-08-01,21.78
2016-08-02,21.86
2016-08-03,22.11
2016-08-04,22.11
2016-08-05,22.04
2016-08-08,21.98
2016-08-09,21.83
2016-08-10,21.69
2016-08-11,21.71
2016-08-12,21.89
2016-08-15,21.78
2016-08-16,21.83
2016-08-17,21.85
2016-08-18,21.81
2016-08-19,21.81
2016-08-22,21.91
2016-08-23,21.8
2016-08-24,21.91
2016-08-25,21.99
2016-08-26,22.0
2016-08-29,22.05
2016-08-30,21.65
2016-08-31,21.78
2016-09-01,23.38
2016-09-02,23.08
2016-09-06,23.0
2016-09-07,22.9
2016-09-08,23.0
2016-09-09,23.0
2016-09-12,23.1
2016-09-13,23.08
2016-09-14,23.2
2016-09-15,23.35
2016-09-16,23.35
2016-09-19,23.7
2016-09-20,24.0
2016-09-21,23.9
2016-09-22,23.7
2016-09-23,23.63
2016-09-26,23.68
2016-09-27,23.18
2016-09-28,23.25
2016-09-29,23.38
2016-09-30,23.08
2016-10-03,24.04
2016-10-04,24.15
2016-10-05,24.36
2016-10-06,24.31
2016-10-07,25.03
2016-10-10,25.66
2016-10-11,25.79
2016-10-12,25.75
2016-10-13,26.14
2016-10-14,25.81
2016-10-17,25.64
2016-10-18,25.39
2016-10-19,25.31
2016-10-20,25.21
2016-10-21,24.79
2016-10-24,24.78
2016-10-25,24.81
2016-10-26,24.46
2016-10-27,24.51
2016-10-28,24.58
2016-10-31,24.98
2016-11-01,28.71
2016-11-02,28.3
2016-11-03,28.0
2016-11-04,27.75
2016-11-07,27.85
2016-11-08,26.63
2016-11-09,26.23
2016-11-10,26.0
2016-11-11,26.19
2016-11-14,26.65
2016-11-15,26.74
2016-11-16,26.65
2016-11-17,26.45
2016-11-18,27.61
2016-11-21,27.28
2016-11-22,27.38
2016-11-23,27.25
2016-11-25,27.25
2016-11-28,28.5
2016-11-29,28.53
2016-11-30,28.05
2016-12-01,33.21
2016-12-02,34.15
2016-12-05,36.47
2016-12-06,37.26
2016-12-07,37.64
2016-12-08,38.01
2016-12-09,36.94
2016-12-12,34.34
2016-12-13,32.46
2016-12-14,32.53
2016-12-15,31.81
2016-12-16,31.92
2016-12-19,32.77
2016-12-20,32.67
2016-12-21,35.09
2016-12-22,34.95
2016-12-23,36.13
2016-12-27,36.25
2016-12-28,36.17
2016-12-29,33.66
2016-12-30,30.38
2017-01-03,30.75
2017-01-04,30.8
2017-01-05,31.06
2017-01-06,31.11
2017-01-09,30.25
2017-01-10,32.0
2017-01-11,31.28
2017-01-12,32.13
2017-01-13,32.25
2017-01-17,32.23
2017-01-18,32.2
2017-01-19,32.43
2017-01-20,31.74
2017-01-23,31.53
2017-01-24,30.95
2017-01-25,30.45
2017-01-26,30.63
2017-01-27,30.5
2017-01-30,29.25
2017-01-31,28.04
2017-02-01,29.13
2017-02-02,28.8
2017-02-03,28.03
2017-02-06,27.79
2017-02-07,28.03
2017-02-08,27.84
2017-02-09,27.89
2017-02-10,27.03
2017-02-13,26.89
2017-02-14,26.58
2017-02-15,26.64
2017-02-16,26.63
2017-02-17,26.29
2017-02-21,24.98
2017-02-22,24.81
2017-02-23,24.54
2017-02-24,24.66
2017-02-27,24.2
2017-02-28,23.99
2017-03-01,24.5
2017-03-02,24.88
2017-03-03,24.89
2017-03-06,25.06
2017-03-07,24.8
2017-03-08,25.19
2017-03-09,25.4
2017-03-10,25.8
2017-03-13,25.95
2017-03-14,25.55
2017-03-15,25.54
2017-03-16,25.31
2017-03-17,25.38
2017-03-20,25.68
2017-03-21,26.23
2017-03-22,25.68
2017-03-23,25.45
2017-03-24,25.39
2017-03-27,25.73
2017-03-28,25.75
2017-03-29,25.94
2017-03-30,26.06
2017-03-31,26.51
2017-04-03,24.14
2017-04-04,24.55
2017-04-05,24.51
2017-04-06,24.75
2017-04-07,24.9
2017-04-10,24.58
2017-04-11,24.49
2017-04-12,24.55
2017-04-13,24.68
2017-04-17,24.4
2017-04-18,24.35
2017-04-19,24.35
2017-04-20,24.33
2017-04-21,24.39
2017-04-24,24.11
2017-04-25,23.85
2017-04-26,24.09
2017-04-27,23.86
2017-04-28,23.83
2017-05-01,24.05
2017-05-02,23.99
2017-05-03,24.06
2017-05-04,24.06
2017-05-05,24.26
2017-05-08,24.16
2017-05-09,24.54
2017-05-10,24.81
2017-05-11,25.13
2017-05-12,25.33
2017-05-15,24.98
2017-05-16,24.53
2017-05-17,24.58
2017-05-18,24.63
2017-05-19,24.81
2017-05-22,25.18
2017-05-23,24.93
2017-05-24,24.8
2017-05-25,24.54
2017-05-26,24.51
2017-05-30,23.78
2017-05-31,23.41
2017-06-01,26.83
2017-06-02,26.91
2017-06-05,26.58
2017-06-06,26.72
2017-06-07,26.66
2017-06-08,26.56
2017-06-09,26.51
2017-06-12,25.5
2017-06-13,25.06
2017-06-14,24.68
2017-06-15,24.76
2017-06-16,24.56
2017-06-19,25.03
2017-06-20,24.62
2017-06-21,24.48
2017-06-22,24.37
2017-06-23,24.31
2017-06-26,24.51
2017-06-27,24.31
2017-06-28,24.37
2017-06-29,24.34
2017-06-30,24.37
2017-07-03,24.02
2017-07-05,23.58
2017-07-06,23.8
2017-07-07,23.65
2017-07-10,23.84
2017-07-11,23.98
2017-07-12,23.8
2017-07-13,23.73
2017-07-14,23.79
2017-07-17,23.81
2017-07-18,24.0
2017-07-19,23.95
2017-07-20,23.9
2017-07-21,23.86
2017-07-24,23.59
2017-07-25,23.8
2017-07-26,23.55
2017-07-27,23.61
2017-07-28,23.79
2017-07-31,23.19
2017-08-01,22.88
2017-08-02,22.78
2017-08-03,22.66
2017-08-04,22.6
2017-08-07,22.48
2017-08-08,22.45
2017-08-09,22.65
2017-08-10,22.79
2017-08-11,22.7
2017-08-14,22.61
2017-08-15,22.61
2017-08-16,22.61
2017-08-17,22.61
2017-08-18,22.56
2017-08-21,22.68
2017-08-22,22.73
2017-08-23,22.79
2017-08-24,22.85
2017-08-25,22.83
2017-08-28,22.65
2017-08-29,22.68
2017-08-30,22.59
2017-08-31,22.5
2017-09-01,23.55
2017-09-05,23.2
2017-09-06,23.3
2017-09-07,23.4
2017-09-08,23.23
2017-09-11,23.43
2017-09-12,23.65
2017-09-13,23.68
2017-09-14,23.74
2017-09-15,23.75
2017-09-18,23.95
2017-09-19,24.03
2017-09-20,24.08
2017-09-21,23.85
2017-09-22,23.96
2017-09-25,24.15
2017-09-26,23.95
2017-09-27,24.48
2017-09-28,24.44
2017-09-29,23.99
2017-10-02,24.36
2017-10-03,24.36
