Date,Settle
2014-03-05,0.387
2014-03-06,0.33
2014-03-11,0.649
2014-03-12,0.959
2014-03-13,1.25
2014-03-14,1.39
2014-03-17,1.666
2014-03-18,1.865
2014-03-19,1.738
2014-03-20,1.569
2014-03-21,1.601
2014-03-24,1.571
2014-03-25,1.489
2014-03-26,1.595
2014-03-27,1.595
2014-03-28,1.619
2014-03-31,1.619
2014-04-01,0.984
2014-04-02,0.768
2014-04-03,0.603
2014-04-04,0.63
2014-04-07,1.098
2014-04-08,1.39
2014-04-09,1.42
2014-04-10,1.344
2014-04-11,1.469
2014-04-14,1.856
2014-04-15,1.971
2014-04-16,2.28
2014-04-17,2.751
2014-04-21,2.744
2014-04-22,2.856
2014-04-23,2.92
2014-04-24,2.869
2014-04-25,3.083
2014-04-28,3.275
2014-04-29,3.382
2014-04-30,3.536
2014-05-01,0.585
2014-05-02,0.732
2014-05-05,0.682
2014-05-06,0.602
2014-05-07,0.604
2014-05-08,0.698
2014-05-09,0.668
2014-05-12,0.562
2014-05-13,0.925
2014-05-14,0.846
2014-05-15,0.881
2014-05-16,0.384
2014-05-19,0.381
2014-05-20,0.111
2014-05-21,0.198
2014-05-22,0.175
2014-05-23,0.217
2014-05-27,0.078
2014-05-28,0.142
2014-05-29,0.06
2014-05-30,0.28
2014-06-02,1.699
2014-06-03,1.839
2014-06-04,1.928
2014-06-05,1.577
2014-06-06,1.274
2014-06-09,1.17
2014-06-10,1.667
2014-06-11,1.294
2014-06-12,1.59
2014-06-13,2.08
2014-06-16,2.088
2014-06-17,2.066
2014-06-18,2.337
2014-06-19,2.435
2014-06-20,2.357
2014-06-23,2.461
2014-06-24,2.476
2014-06-25,2.455
2014-06-26,2.417
2014-06-27,2.417
2014-06-30,2.393
2014-07-01,2.236
2014-07-02,2.125
2014-07-03,2.109
2014-07-07,2.054
2014-07-08,1.853
2014-07-09,1.696
2014-07-10,2.272
2014-07-11,2.413
2014-07-14,2.568
2014-07-15,2.598
2014-07-16,2.245
2014-07-17,2.196
2014-07-18,2.193
2014-07-21,2.149
2014-07-22,2.094
2014-07-23,1.869
2014-07-24,1.829
2014-07-25,1.968
2014-07-28,1.94
2014-07-29,2.033
2014-07-30,2.011
2014-07-31,2.022
2014-08-01,2.041
2014-08-04,2.289
2014-08-05,2.073
2014-08-06,2.194
2014-08-07,2.849
2014-08-08,2.589
2014-08-11,2.786
2014-08-12,2.719
2014-08-13,2.8
2014-08-14,2.671
2014-08-15,2.781
2014-08-18,2.423
2014-08-19,2.256
2014-08-20,2.087
2014-08-21,2.114
2014-08-22,1.993
2014-08-25,2.108
2014-08-26,1.931
2014-08-27,1.967
2014-08-28,2.014
2014-08-29,2.052
2014-09-02,1.896
2014-09-03,1.891
2014-09-04,2.0
2014-09-05,2.008
2014-09-08,2.125
2014-09-09,2.119
2014-09-10,2.043
2014-09-11,2.165
2014-09-12,2.177
2014-09-15,2.281
2014-09-16,2.405
2014-09-17,2.465
2014-09-18,2.512
2014-09-19,2.545
2014-09-22,2.648
2014-09-23,2.815
2014-09-24,2.784
2014-09-25,2.784
2014-09-26,2.795
2014-09-29,2.767
2014-09-30,2.75
2014-10-01,1.563
2014-10-02,1.57
2014-10-03,1.766
2014-10-06,2.165
2014-10-07,2.152
2014-10-08,1.944
