Date,Settle
2014-02-18,405.7
2014-02-19,403.5
2014-02-20,406.7
2014-02-21,407.5
2014-02-24,406.2
2014-02-25,405.6
2014-02-26,404.3
2014-02-27,403.5
2014-02-28,406.0
2014-03-03,402.2
2014-03-04,405.4
2014-03-05,402.3
2014-03-06,400.2
2014-03-07,401.1
2014-03-11,399.2
2014-03-12,404.3
2014-03-13,408.1
2014-03-14,410.1
2014-03-17,413.2
2014-03-18,412.8
2014-03-19,406.6
2014-03-20,406.6
2014-03-21,406.9
2014-03-24,407.7
2014-03-25,409.1
2014-03-26,407.7
2014-03-27,410.5
2014-03-28,411.6
2014-03-31,416.0
2014-04-01,413.4
2014-04-02,412.6
2014-04-03,414.0
2014-04-04,416.3
2014-04-07,415.6
2014-04-08,421.7
2014-04-09,420.2
2014-04-10,418.7
2014-04-11,418.5
2014-04-14,420.9
2014-04-15,426.6
2014-04-16,429.7
2014-04-17,425.0
2014-04-21,424.2
2014-04-22,424.8
2014-04-23,424.9
2014-04-24,427.7
2014-04-25,432.9
2014-04-28,434.7
2014-04-29,433.2
2014-04-30,433.7
2014-05-01,435.4
2014-05-02,426.8
2014-05-05,430.4
2014-05-06,428.3
2014-05-07,435.7
2014-05-08,430.6
2014-05-09,424.3
2014-05-12,420.6
2014-05-13,421.1
2014-05-14,423.7
2014-05-15,422.1
2014-05-16,423.0
2014-05-19,416.4
2014-05-20,416.7
2014-05-21,416.7
2014-05-22,420.5
2014-05-23,419.1
2014-05-27,422.5
2014-05-28,425.2
2014-05-29,426.0
2014-05-30,429.2
2014-06-02,429.0
2014-06-03,430.2
2014-06-04,430.8
2014-06-05,433.9
2014-06-06,432.6
2014-06-09,429.7
2014-06-10,428.7
2014-06-11,422.8
2014-06-12,425.4
2014-06-13,427.0
2014-06-16,429.9
2014-06-17,429.4
2014-06-18,439.2
2014-06-19,442.8
2014-06-20,443.87
2014-09-17,424.4
2014-09-18,421.6
2014-09-19,425.5
2014-09-22,422.4
2014-09-23,418.8
2014-09-24,417.5
2014-09-25,415.2
2014-09-26,415.8
2014-09-29,418.1
2014-09-30,418.8
2014-10-01,421.4
2014-10-02,420.9
2014-10-03,423.5
2014-10-06,423.6
2014-10-07,422.8
2014-10-08,432.3
2014-10-09,425.6
2014-10-10,427.4
2014-10-13,427.1
2014-10-14,431.2
2014-10-15,424.5
2014-10-16,424.9
2014-10-17,427.0
2014-10-20,433.6
2014-10-21,435.4
2014-10-22,438.4
2014-10-23,438.8
2014-10-24,443.4
2014-10-27,442.5
2014-10-28,445.4
2014-10-29,442.8
2014-10-30,452.7
2014-10-31,452.8
2014-11-03,456.3
2014-11-04,453.6
2014-11-05,464.2
2014-11-06,455.7
2014-11-07,460.8
2014-11-10,463.4
2014-11-11,461.5
2014-11-12,453.0
2014-11-13,448.7
2014-11-14,447.2
2014-11-17,453.6
2014-11-18,455.2
2014-11-19,454.8
2014-11-20,453.6
2014-11-21,455.5
2014-11-24,451.4
2014-11-25,451.7
2014-11-26,453.7
2014-11-28,458.3
2014-12-01,459.6
2014-12-02,462.7
2014-12-03,461.1
2014-12-04,460.5
2014-12-05,456.9
2014-12-08,460.7
2014-12-09,463.1
2014-12-10,457.7
2014-12-12,457.9
2014-12-15,453.7
2014-12-16,453.4
2014-12-17,461.4
2014-12-18,471.1
2014-12-19,471.4
2014-12-22,473.0
2014-12-23,474.4
2014-12-24,483.5
2014-12-26,488.4
2015-01-02,477.9
2015-01-05,471.3
2015-01-06,471.5
2015-01-07,476.5
2015-01-08,479.3
2015-01-09,476.9
2015-01-12,475.4
2015-01-13,476.4
2015-01-14,481.3
2015-01-15,485.1
2015-01-16,489.0
2015-01-20,490.0
2015-01-21,495.4
2015-01-22,492.9
2015-01-23,494.7
2015-01-26,494.1
2015-01-27,494.9
2015-01-29,497.0
2015-01-30,485.7
2015-02-02,487.6
2015-02-03,489.8
2015-02-04,483.5
2015-02-05,488.3
2015-02-06,468.0
2015-02-09,463.9
2015-02-10,473.9
2015-02-11,463.0
2015-02-12,460.9
2015-02-13,454.1
2015-02-17,453.5
2015-02-18,464.4
2015-02-19,459.1
2015-02-20,459.5
2015-02-23,462.6
2015-02-24,465.5
2015-02-25,458.7
2015-02-26,455.3
2015-02-27,454.9
2015-03-02,446.0
2015-03-03,449.0
2015-03-04,446.1
2015-03-05,449.9
2015-03-06,436.2
2015-03-09,437.2
2015-03-10,436.4
2015-03-11,433.5
2015-03-12,441.7
2015-03-13,437.3
2015-03-16,444.5
2015-03-17,444.0
2015-03-18,456.4
2015-03-19,451.6
2015-03-20,452.0
2015-03-23,452.7
2015-03-24,447.2
2015-03-25,442.0
2015-03-26,437.9
2015-03-27,440.3
2015-03-30,446.4
2015-03-31,446.3
2015-04-01,446.1
2015-04-02,448.1
2015-04-06,453.2
2015-04-07,448.7
2015-04-08,447.3
2015-04-09,444.9
2015-04-10,448.6
2015-04-13,443.9
2015-04-14,446.2
2015-04-15,447.4
2015-04-16,444.3
2015-04-17,442.8
2015-04-20,449.4
2015-04-21,445.1
2015-04-22,446.2
2015-04-23,449.3
2015-04-24,453.5
2015-04-27,447.9
2015-04-28,450.8
2015-04-29,449.6
2015-04-30,444.5
2015-05-01,446.1
2015-05-04,449.5
2015-05-05,439.3
2015-05-06,436.8
2015-05-07,438.7
2015-05-08,442.1
2015-05-11,439.2
2015-05-12,438.3
2015-05-13,434.1
2015-05-14,439.1
2015-05-15,444.6
2015-05-18,446.3
2015-05-19,447.4
2015-05-20,448.4
2015-05-21,447.8
2015-05-22,447.3
2015-05-26,444.2
2015-05-27,446.4
2015-05-28,447.4
2015-05-29,446.7
2015-06-01,447.6
2015-06-02,441.3
2015-06-03,434.6
2015-06-04,433.9
2015-06-05,428.6
2015-06-08,426.3
2015-06-09,425.8
2015-06-10,427.4
2015-06-11,430.2
2015-06-12,426.7
2015-06-15,426.0
2015-06-16,427.6
2015-06-17,432.4
2015-06-18,437.3
2015-06-19,437.36
2015-09-16,416.9
2015-09-17,422.8
2015-09-18,419.7
2015-09-21,421.5
2015-09-22,416.2
2015-09-23,417.5
2015-09-24,421.1
2015-09-25,425.2
2015-09-28,422.8
2015-09-29,423.1
2015-09-30,430.6
2015-10-01,425.6
2015-10-02,431.2
2015-10-05,437.3
2015-10-06,433.9
2015-10-07,432.7
2015-10-08,438.0
2015-10-09,435.9
2015-10-12,440.1
2015-10-13,438.7
2015-10-14,439.1
2015-10-15,445.5
2015-10-16,446.1
2015-10-19,446.2
2015-10-20,447.6
2015-10-21,446.8
2015-10-22,452.1
2015-10-23,444.3
2015-10-26,442.4
2015-10-27,441.1
2015-10-28,436.2
2015-10-29,433.7
2015-10-30,436.3
2015-11-02,436.4
2015-11-03,437.6
2015-11-04,439.6
2015-11-05,436.0
2015-11-06,420.1
2015-11-09,421.5
2015-11-10,424.8
2015-11-11,429.2
2015-11-12,424.7
2015-11-13,423.2
2015-11-16,430.4
2015-11-17,422.5
2015-11-18,425.4
2015-11-19,429.7
2015-11-20,431.8
2015-11-23,427.7
2015-11-24,426.6
2015-11-25,424.4
2015-11-27,425.4
2015-11-30,426.3
2015-12-01,429.5
2015-12-02,419.8
2015-12-03,416.0
2015-12-04,422.4
2015-12-07,424.1
2015-12-08,423.6
2015-12-09,423.7
2015-12-10,416.2
2015-12-11,414.5
2015-12-14,417.1
2015-12-15,420.9
2015-12-16,431.6
2015-12-17,432.4
2015-12-18,426.9
2015-12-21,426.9
2015-12-22,430.6
2015-12-23,437.0
