Date,Settle
2014-02-18,449.4
2014-02-19,453.6
2014-02-20,455.6
2014-02-21,453.0
2014-02-24,451.4
2014-02-25,455.6
2014-02-26,455.4
2014-02-27,448.0
2014-02-28,457.4
2014-03-03,464.0
2014-03-04,476.6
2014-03-05,475.2
2014-03-07,481.0
2014-03-11,478.0
2014-03-12,484.2
2014-03-13,484.2
2014-03-14,486.0
2014-03-17,479.0
2014-03-18,486.2
2014-03-19,487.6
2014-03-20,478.4
2014-03-21,479.0
2014-03-24,490.0
2014-03-25,486.4
2014-03-26,484.4
2014-03-27,492.0
2014-03-28,492.0
2014-03-31,502.0
2014-04-01,507.5
2014-04-02,495.75
2014-04-03,500.0
2014-04-04,501.75
2014-04-07,499.25
2014-04-08,507.0
2014-04-09,502.25
2014-04-10,501.25
2014-04-11,498.5
2014-04-14,503.0
2014-04-15,503.75
2014-04-16,497.5
2014-04-17,494.75
2014-04-21,488.5
2014-04-22,496.25
2014-04-23,503.5
2014-04-24,501.25
2014-04-25,507.0
2014-04-28,507.75
2014-04-29,515.75
2014-04-30,514.0
2014-05-01,503.25
2014-05-02,494.0
2014-05-05,503.25
2014-05-06,513.0
2014-05-07,510.25
2014-05-08,513.25
2014-05-09,505.0
2014-05-12,497.5
2014-05-13,503.25
2014-05-14,495.5
2014-05-15,484.25
2014-05-16,483.5
2014-05-19,477.25
2014-05-20,473.5
2014-05-21,474.5
2014-05-22,476.75
2014-05-23,478.0
2014-05-27,469.75
2014-05-28,472.5
2014-05-29,469.5
2014-05-30,465.75
2014-06-02,465.5
2014-06-03,458.25
2014-06-04,456.25
2014-06-05,449.0
2014-06-06,459.0
2014-06-09,451.0
2014-06-10,445.5
2014-06-11,441.0
2014-06-12,444.0
2014-06-13,447.0
2014-06-16,441.0
2014-06-17,438.75
2014-06-18,441.5
2014-06-19,450.5
2014-06-20,453.25
2014-06-23,444.5
2014-06-24,443.0
2014-06-25,441.0
2014-06-26,442.75
2014-06-27,443.0
2014-06-30,424.25
2014-07-01,422.75
2014-07-02,418.5
2014-07-03,417.0
2014-07-07,409.25
2014-07-08,408.25
2014-07-09,404.0
2014-07-10,400.5
2014-07-11,399.75
2014-07-14,381.5
2014-07-15,374.0
2014-07-16,378.25
2014-07-17,379.5
2014-07-18,371.25
2014-07-21,364.0
2014-07-22,360.25
2014-07-23,362.5
2014-07-24,361.5
2014-07-25,363.0
2014-07-28,367.75
2014-07-29,361.5
2014-07-30,361.75
2014-07-31,357.0
2014-08-01,352.5
2014-08-04,358.75
2014-08-05,356.25
2014-08-06,363.25
2014-08-07,359.5
2014-08-08,351.75
2014-08-11,356.75
2014-08-12,358.5
2014-08-13,358.0
2014-08-14,362.0
2014-08-15,365.75
2014-08-18,360.75
2014-08-19,362.5
2014-08-20,359.5
2014-08-21,362.25
2014-08-22,365.5
2014-08-25,360.0
2014-08-26,356.0
2014-08-27,356.0
2014-08-28,361.75
2014-08-29,359.0
2014-09-02,355.75
2014-09-03,341.25
2014-09-04,335.75
2014-09-05,346.5
2014-09-08,339.25
2014-09-09,336.25
2014-09-10,338.75
2014-09-11,331.75
2014-09-12,338.5
2014-09-15,343.0
2014-09-16,343.75
2014-09-17,341.75
2014-09-18,338.25
2014-09-19,331.5
2014-09-22,330.25
2014-09-23,325.5
2014-09-24,329.5
2014-09-25,326.0
2014-09-26,323.0
2014-09-29,325.75
2014-09-30,320.75
2014-10-01,321.25
2014-10-02,322.75
2014-10-03,323.25
2014-10-06,332.5
2014-10-07,340.5
2014-10-08,343.25
2014-10-09,344.75
2014-10-10,334.0
2014-10-13,346.0
2014-10-14,357.0
2014-10-15,347.5
2014-10-16,352.25
2014-10-17,348.0
2014-10-20,348.25
2014-10-21,356.0
2014-10-22,353.0
2014-10-23,359.75
2014-10-24,353.0
2014-10-27,363.0
2014-10-28,364.5
2014-10-29,375.25
2014-10-30,374.0
2014-10-31,376.75
2014-11-03,373.5
2014-11-04,364.5
2014-11-05,370.25
2014-11-06,371.25
2014-11-07,367.5
2014-11-10,369.25
2014-11-11,373.75
2014-11-12,377.75
2014-11-13,386.25
2014-11-14,381.75
2014-11-17,377.5
2014-11-18,372.0
2014-11-19,363.25
2014-11-20,373.25
2014-11-21,372.75
2014-11-24,367.5
2014-11-25,374.25
2014-11-26,378.25
2014-11-28,375.75
2014-12-01,375.5
2014-12-02,367.75
2014-12-03,368.75
2014-12-04,376.0
2014-12-05,381.5
2014-12-08,377.5
2014-12-09,383.0
2014-12-10,382.5
2014-12-11,390.0
2014-12-12,407.5
2014-12-15,408.5
2014-12-16,406.0
2014-12-17,408.25
2014-12-18,411.0
2014-12-19,410.5
2014-12-22,411.75
2014-12-23,414.0
2014-12-24,407.75
2014-12-26,414.75
2015-01-02,395.75
2015-01-05,406.0
2015-01-06,405.0
2015-01-07,396.25
2015-01-08,394.25
2015-01-09,400.25
2015-01-12,402.0
2015-01-13,385.75
2015-01-14,381.0
2015-01-15,380.0
2015-01-16,387.0
2015-01-20,390.25
2015-01-21,388.0
2015-01-22,383.75
2015-01-23,386.75
2015-01-26,384.0
2015-01-27,381.25
2015-01-29,371.5
2015-01-30,370.0
2015-02-02,369.75
2015-02-03,385.75
2015-02-04,383.5
2015-02-05,385.25
2015-02-06,385.75
2015-02-09,391.25
2015-02-10,388.0
2015-02-11,385.75
2015-02-12,383.0
2015-02-13,387.25
2015-02-17,389.5
2015-02-18,383.75
2015-02-19,389.75
2015-02-20,385.25
2015-02-23,378.75
2015-02-24,377.5
2015-02-25,375.75
2015-02-26,380.0
2015-02-27,384.5
2015-03-02,378.75
2015-03-03,382.0
2015-03-04,381.5
2015-03-05,382.75
2015-03-06,379.25
2015-03-09,383.25
2015-03-10,382.25
2015-03-11,384.0
2015-03-12,382.25
2015-03-13,380.5
2015-03-16,379.0
2015-03-17,371.0
2015-03-18,374.75
2015-03-19,373.5
2015-03-20,385.0
2015-03-23,390.25
2015-03-24,393.25
2015-03-25,395.0
2015-03-26,391.25
2015-03-27,391.0
2015-03-30,394.5
2015-03-31,376.25
2015-04-01,381.75
2015-04-02,386.5
2015-04-06,385.0
2015-04-07,383.0
2015-04-08,379.25
2015-04-09,378.0
2015-04-10,377.0
2015-04-13,370.5
2015-04-14,373.5
2015-04-15,376.0
2015-04-16,376.25
2015-04-17,379.75
2015-04-20,378.0
2015-04-21,373.0
2015-04-22,372.5
2015-04-23,370.75
2015-04-24,364.5
2015-04-27,360.75
2015-04-28,361.0
2015-04-29,363.75
2015-04-30,362.5
2015-05-01,359.75
2015-05-04,358.75
2015-05-05,361.25
2015-05-06,366.5
2015-05-07,357.75
2015-05-08,358.5
2015-05-11,358.25
2015-05-12,357.0
2015-05-13,356.0
2015-05-14,368.0
2015-05-15,365.5
2015-05-18,368.0
2015-05-19,362.0
2015-05-20,360.0
2015-05-21,365.0
2015-05-22,360.0
2015-05-26,355.0
2015-05-27,349.5
2015-05-28,353.5
2015-05-29,351.5
2015-06-01,352.25
2015-06-02,359.0
2015-06-03,359.0
2015-06-04,363.5
2015-06-05,360.5
2015-06-08,365.25
2015-06-09,365.0
2015-06-10,357.25
2015-06-11,356.5
2015-06-12,353.0
2015-06-15,348.25
2015-06-16,354.0
2015-06-17,359.25
2015-06-18,358.0
2015-06-19,353.25
2015-06-22,360.0
2015-06-23,367.5
2015-06-24,366.5
2015-06-25,376.5
2015-06-26,385.0
2015-06-29,383.25
2015-06-30,414.0
2015-07-01,413.75
2015-07-02,419.75
2015-07-06,418.5
2015-07-07,415.75
2015-07-08,416.25
2015-07-09,421.25
2015-07-10,427.25
2015-07-14,428.25
2015-07-15,429.5
2015-07-16,430.0
2015-07-17,420.25
2015-07-20,405.0
2015-07-21,406.5
2015-07-22,402.75
2015-07-23,403.25
2015-07-24,392.5
2015-07-27,373.0
2015-07-28,375.0
2015-07-29,367.75
2015-07-30,373.25
2015-07-31,371.0
2015-08-03,366.5
2015-08-04,368.75
2015-08-05,372.75
2015-08-06,369.75
2015-08-07,372.75
2015-08-10,390.25
2015-08-11,376.5
2015-08-12,357.25
2015-08-13,363.75
2015-08-14,364.0
2015-08-17,363.25
2015-08-18,366.25
2015-08-19,367.25
2015-08-20,371.0
2015-08-21,365.25
2015-08-24,368.75
2015-08-25,365.5
2015-08-26,361.75
2015-08-27,363.75
2015-08-28,363.25
2015-08-31,363.75
2015-09-01,356.0
2015-09-02,354.0
2015-09-03,347.75
2015-09-04,349.5
2015-09-08,355.0
2015-09-09,356.5
2015-09-10,361.75
2015-09-11,374.5
2015-09-14,393.5
2015-09-15,390.5
2015-09-16,386.0
2015-09-17,379.75
2015-09-18,377.25
2015-09-21,384.5
2015-09-22,380.5
2015-09-23,383.25
2015-09-24,381.5
2015-09-25,389.0
2015-09-28,386.75
2015-09-29,389.0
2015-09-30,387.75
2015-10-01,388.75
2015-10-02,389.25
2015-10-05,393.5
2015-10-06,398.25
2015-10-07,395.75
2015-10-08,391.25
2015-10-09,382.75
2015-10-12,380.75
2015-10-13,384.5
2015-10-14,379.0
2015-10-15,375.5
2015-10-16,376.75
2015-10-19,373.0
2015-10-20,376.75
2015-10-21,380.75
2015-10-22,378.25
2015-10-23,379.75
2015-10-26,384.5
2015-10-27,380.0
2015-10-28,376.0
2015-10-29,380.0
2015-10-30,382.25
2015-11-02,376.5
2015-11-03,380.5
2015-11-04,380.5
2015-11-05,374.5
2015-11-06,373.0
2015-11-09,366.75
2015-11-10,359.0
2015-11-11,362.25
2015-11-12,362.0
2015-11-13,358.25
2015-11-16,360.0
2015-11-17,362.0
2015-11-18,361.75
2015-11-19,364.25
2015-11-20,363.25
2015-11-23,367.25
2015-11-24,364.25
2015-11-25,366.0
2015-11-27,359.25
2015-11-30,365.0
2015-12-01,367.0
2015-12-02,364.0
2015-12-03,370.25
2015-12-04,376.25
2015-12-07,368.5
2015-12-08,370.0
2015-12-09,371.75
