Date,Settle
2014-02-18,77.46
2014-02-19,86.96
2014-02-20,82.55
2014-02-21,85.38
2014-02-24,75.35
2014-02-25,71.49
2014-02-26,69.78
2014-02-27,67.61
2014-02-28,67.14
2014-03-03,66.02
2014-03-04,66.02
2014-03-05,66.02
2014-03-06,66.02
2014-03-07,77.8
2014-03-10,77.94
2014-03-11,77.02
2014-03-12,75.85
2014-03-13,69.67
2014-03-14,70.1
2014-03-17,73.22
2014-03-18,73.65
2014-03-19,72.09
2014-03-20,73.22
2014-03-21,72.64
2014-03-24,71.08
2014-03-25,70.33
2014-03-26,70.91
2014-03-27,70.59
2014-03-28,71.2
2014-03-31,71.1
2014-04-01,71.23
2014-04-02,71.23
2014-04-03,71.23
2014-04-04,71.23
2014-04-07,44.87
2014-04-08,45.18
2014-04-09,43.86
2014-04-10,43.53
2014-04-11,43.33
2014-04-14,43.95
2014-04-15,43.87
2014-04-16,42.75
2014-04-17,42.04
2014-04-21,41.78
2014-04-22,41.92
2014-04-23,42.54
2014-04-24,43.66
2014-04-25,43.93
2014-04-28,44.03
2014-04-29,44.18
2014-04-30,44.09
2014-05-01,44.49
2014-05-02,44.49
2014-05-05,44.49
2014-05-06,48.5
2014-05-07,48.83
2014-05-08,49.02
2014-05-09,47.18
2014-05-12,47.45
2014-05-13,47.01
2014-05-14,49.56
2014-05-15,49.09
2014-05-16,51.93
2014-05-19,54.21
2014-05-20,55.34
2014-05-21,58.5
2014-05-22,58.97
2014-05-23,58.22
2014-05-27,58.01
2014-05-28,57.93
2014-05-29,57.79
2014-05-30,57.57
2014-06-02,57.47
2014-06-03,57.47
2014-06-04,57.47
2014-06-05,57.47
2014-06-06,52.87
2014-06-09,52.63
2014-06-10,52.83
2014-06-11,52.32
2014-06-12,50.18
2014-06-13,49.56
2014-06-16,50.74
2014-06-17,50.55
2014-06-18,48.79
2014-06-19,48.56
2014-06-20,52.24
2014-06-23,49.04
2014-06-24,47.37
2014-06-25,48.22
2014-06-26,48.43
2014-06-27,49.72
2014-06-30,50.55
2014-07-01,49.78
2014-07-02,49.78
2014-07-03,49.78
2014-07-07,49.78
2014-07-08,44.12
2014-07-09,42.84
2014-07-10,41.96
2014-07-11,42.34
2014-07-14,42.86
2014-07-15,42.49
2014-07-16,42.06
2014-07-17,41.51
2014-07-18,41.4
2014-07-21,41.2
2014-07-22,39.5
2014-07-23,39.15
2014-07-24,38.81
2014-07-25,38.32
2014-07-28,38.43
2014-07-29,38.0
2014-07-30,37.64
2014-07-31,37.63
2014-08-01,38.29
2014-08-04,38.29
2014-08-05,38.29
2014-08-06,38.29
2014-08-07,39.17
2014-08-08,40.62
2014-08-11,41.32
2014-08-12,39.74
2014-08-13,38.04
2014-08-14,37.3
2014-08-15,37.53
2014-08-18,37.59
2014-08-19,38.55
2014-08-20,38.21
2014-08-21,37.75
2014-08-22,37.12
2014-08-25,37.78
