Date,Settle
2013-09-09,206.3
2013-09-10,201.77
2013-09-11,202.02
2013-09-12,196.43
2013-09-13,194.15
2013-09-16,194.65
2013-09-17,193.3
2013-09-18,190.98
2013-09-19,192.56
2013-09-20,192.56
2013-09-23,192.56
2013-09-24,192.56
2013-09-25,192.56
2013-09-26,192.56
2013-09-27,192.56
2013-09-30,195.68
2013-10-01,188.96
2013-10-02,194.0
2013-10-03,194.07
2013-10-04,193.1
2013-10-08,196.72
2013-10-10,192.63
2013-10-11,187.32
2013-10-14,189.44
2013-10-15,187.26
2013-10-16,188.06
2013-10-17,194.38
2013-10-18,194.29
2013-10-21,194.91
2013-10-22,198.87
2013-10-23,198.15
2013-10-24,199.81
2013-10-25,198.74
2013-10-28,199.78
2013-10-29,198.46
2013-10-30,200.92
2013-10-31,194.73
2013-11-01,193.88
2013-11-04,194.11
2013-11-05,193.08
2013-11-06,193.97
2013-11-07,193.19
2013-11-08,189.46
2013-11-11,189.15
2013-11-12,187.57
2013-11-13,186.61
2013-11-14,188.77
2013-11-15,188.45
2013-11-18,186.52
2013-11-19,186.16
2013-11-20,184.43
2013-11-21,181.42
2013-11-22,181.86
2013-11-25,181.13
2013-11-26,181.68
2013-11-27,181.27
2013-11-28,181.27
2013-11-29,182.87
2013-12-02,178.84
2013-12-03,177.42
2013-12-04,178.24
2013-12-05,179.04
2013-12-06,179.54
2013-12-09,180.16
2013-12-10,184.51
2013-12-11,184.05
2013-12-12,179.08
2013-12-13,180.2
2013-12-16,179.92
2013-12-17,179.92
2013-12-18,179.92
2013-12-19,179.92
2013-12-20,179.92
2013-12-23,179.92
2013-12-24,179.92
2013-12-27,179.917
2013-12-30,177.0
2014-01-02,179.98
2014-01-03,181.33
2014-01-06,181.98
2014-01-07,179.28
2014-01-08,178.13
2014-01-09,178.73
2014-01-13,183.32
2014-01-14,182.37
2014-01-15,181.9
2014-01-16,181.92
2014-01-17,183.77
2014-01-18,183.77
2014-01-20,183.99
2014-01-21,181.14
2014-01-22,181.16
2014-01-23,183.62
2014-01-24,184.35
2014-01-27,183.05
2014-01-28,181.73
2014-01-29,183.19
2014-01-30,179.38
2014-01-31,179.3
2014-02-03,182.59
2014-02-04,181.27
2014-02-05,182.95
2014-02-06,183.02
2014-02-07,183.64
2014-02-08,183.02
2014-02-09,183.02
2014-02-10,185.4
2014-02-11,187.1
2014-02-12,187.7
2014-02-13,188.41
2014-02-14,192.85
2014-02-15,183.02
2014-02-16,183.02
2014-02-17,195.52
2014-02-18,194.41
2014-02-19,194.33
2014-02-20,193.37
2014-02-21,194.03
2014-02-22,183.02
2014-02-23,183.02
2014-02-24,197.02
2014-02-25,196.95
2014-02-26,193.32
2014-02-27,194.67
2014-02-28,193.43
2014-03-01,183.02
2014-03-02,183.02
2014-03-03,197.39
2014-03-04,194.75
2014-03-05,195.12
2014-03-06,196.57
2014-03-07,194.24
2014-03-10,194.42
2014-03-11,194.39
2014-03-12,198.17
2014-03-13,198.52
2014-03-14,199.25
2014-03-17,198.43
2014-03-18,196.27
2014-03-19,194.18
2014-03-20,194.1
2014-03-21,194.1
2014-03-24,194.1
2014-03-25,194.1
2014-03-26,194.1
2014-03-27,194.1
2014-03-28,194.095
2014-03-29,186.49
2014-03-31,185.81
2014-04-01,185.19
2014-04-02,187.15
2014-04-03,186.03
2014-04-04,188.49
2014-04-07,187.33
2014-04-08,188.9
