Date,Settle
2013-09-09,57.25
2013-09-10,57.61
2013-09-11,58.19
2013-09-12,57.95
2013-09-13,58.03
2013-09-16,57.74
2013-09-17,56.98
2013-09-18,57.05
2013-09-19,57.22
2013-09-20,57.22
2013-09-23,57.22
2013-09-24,57.22
2013-09-25,57.22
2013-09-26,57.22
2013-09-27,57.22
2013-09-30,58.43
2013-10-01,58.62
2013-10-02,58.98
2013-10-03,59.27
2013-10-04,59.07
2013-10-08,58.66
2013-10-10,58.91
2013-10-11,59.06
2013-10-14,59.48
2013-10-15,58.99
2013-10-16,59.29
2013-10-17,59.02
2013-10-18,59.67
2013-10-21,59.66
2013-10-22,59.37
2013-10-23,59.03
2013-10-24,57.95
2013-10-25,57.81
2013-10-28,57.31
2013-10-29,56.72
2013-10-30,56.32
2013-10-31,56.05
2013-11-01,55.86
2013-11-04,55.53
2013-11-05,55.35
2013-11-06,55.36
2013-11-07,55.11
2013-11-08,55.22
2013-11-11,55.47
2013-11-12,55.13
2013-11-13,54.99
2013-11-14,54.67
2013-11-15,54.57
2013-11-18,55.0
2013-11-19,54.89
2013-11-20,54.99
2013-11-21,54.89
2013-11-22,54.25
2013-11-25,54.33
2013-11-26,54.54
2013-11-27,54.19
2013-11-28,54.11
2013-11-29,54.48
2013-12-02,54.04
2013-12-03,53.78
2013-12-04,53.66
2013-12-05,53.03
2013-12-06,53.31
2013-12-09,53.29
2013-12-10,54.03
2013-12-11,54.09
2013-12-12,53.83
2013-12-13,54.31
2013-12-16,54.36
2013-12-17,54.36
2013-12-18,54.36
2013-12-19,54.36
2013-12-20,54.36
2013-12-23,54.36
2013-12-24,54.36
2013-12-27,54.356
2013-12-30,55.07
2014-01-02,54.33
2014-01-03,54.39
2014-01-06,54.52
2014-01-07,54.89
2014-01-08,54.36
2014-01-09,53.95
2014-01-13,53.74
2014-01-14,53.74
2014-01-15,52.82
2014-01-16,53.96
2014-01-17,53.33
2014-01-18,53.33
2014-01-20,53.41
2014-01-21,53.11
2014-01-22,52.86
2014-01-23,53.09
2014-01-24,52.74
2014-01-27,52.39
2014-01-28,52.3
2014-01-29,52.21
2014-01-30,53.22
2014-01-31,54.81
2014-02-03,56.13
2014-02-04,57.69
2014-02-05,58.02
2014-02-06,57.96
2014-02-07,57.44
2014-02-08,57.96
2014-02-09,57.96
2014-02-10,56.99
2014-02-11,56.7
2014-02-12,57.88
2014-02-13,57.76
2014-02-14,57.22
2014-02-15,57.96
2014-02-16,57.96
2014-02-17,57.57
2014-02-18,59.85
2014-02-19,61.92
2014-02-20,61.87
