Date,Settle
2013-09-09,1506.5
2013-09-10,1527.5
2013-09-11,1536.0
2013-09-12,1549.0
2013-09-13,1551.0
2013-09-16,1559.5
2013-09-17,1556.5
2013-09-18,1559.5
2013-09-19,1565.0
2013-09-20,1565.54
2013-09-23,1542.0
2013-09-24,1554.0
2013-09-25,1557.5
2013-09-26,1559.5
2013-09-27,1558.5
2013-09-30,1545.0
2013-10-01,1556.5
2013-10-02,1550.0
2013-10-03,1542.0
2013-10-04,1554.0
2013-10-08,1557.5
2013-10-10,1590.5
2013-10-11,1582.0
2013-10-14,1587.5
2013-10-15,1605.5
2013-10-16,1628.0
2013-10-17,1619.0
2013-10-18,1629.0
2013-10-21,1636.0
2013-10-22,1638.5
2013-10-23,1622.0
2013-10-24,1634.0
2013-10-25,1625.5
2013-10-28,1624.0
2013-10-29,1639.0
2013-10-30,1626.5
2013-10-31,1629.0
2013-11-01,1623.5
2013-11-04,1630.5
2013-11-05,1619.0
2013-11-06,1630.0
2013-11-07,1614.0
2013-11-08,1610.5
2013-11-11,1622.0
2013-11-12,1616.0
2013-11-13,1612.5
2013-11-14,1623.0
2013-11-15,1623.5
2013-11-18,1641.5
2013-11-19,1630.0
2013-11-20,1626.5
2013-11-21,1632.5
2013-11-22,1634.0
2013-11-25,1639.5
2013-11-26,1633.5
2013-11-27,1641.5
2013-11-28,1648.5
2013-11-29,1651.5
2013-12-02,1640.0
2013-12-03,1606.0
2013-12-04,1591.5
2013-12-05,1575.5
2013-12-06,1579.0
2013-12-09,1585.5
2013-12-10,1577.0
2013-12-11,1562.5
2013-12-12,1550.5
2013-12-13,1547.5
2013-12-16,1567.0
2013-12-17,1558.0
2013-12-18,1566.5
2013-12-19,1591.5
2013-12-20,1591.65
2013-12-23,1607.5
2013-12-24,1607.5
2013-12-27,1634.0
2013-12-30,1636.0
2014-01-02,1612.5
2014-01-03,1620.0
2014-01-06,1621.5
2014-01-07,1637.5
2014-01-08,1634.5
2014-01-09,1636.5
2014-01-13,1656.0
2014-01-14,1666.0
2014-01-15,1694.0
2014-01-16,1688.5
2014-01-17,1692.0
2014-01-18,1692.0
2014-01-20,1693.0
2014-01-21,1684.0
2014-01-22,1681.0
2014-01-23,1674.5
2014-01-24,1637.5
2014-01-27,1631.5
2014-01-28,1637.0
2014-01-29,1630.5
2014-01-30,1639.5
2014-01-31,1636.0
2014-02-03,1611.0
2014-02-04,1613.0
2014-02-05,1613.0
2014-02-06,1640.0
2014-02-07,1650.5
2014-02-08,1640.0
2014-02-09,1640.0
2014-02-10,1650.0
2014-02-11,1672.0
2014-02-12,1680.5
2014-02-13,1688.0
2014-02-14,1701.5
2014-02-15,1640.0
2014-02-16,1640.0
2014-02-17,1706.0
2014-02-18,1707.5
2014-02-19,1705.5
2014-02-20,1703.0
2014-02-21,1718.0
2014-02-22,1640.0
2014-02-23,1640.0
2014-02-24,1734.0
2014-02-25,1737.0
2014-02-26,1726.0
2014-02-27,1718.5
2014-02-28,1715.5
2014-03-01,1640.0
2014-03-02,1640.0
2014-03-03,1680.5
2014-03-04,1716.0
2014-03-05,1718.0
2014-03-06,1745.0
2014-03-07,1727.5
2014-03-10,1737.0
2014-03-11,1733.5
2014-03-12,1723.5
2014-03-13,1690.5
2014-03-14,1676.0
2014-03-17,1700.0
2014-03-18,1712.5
2014-03-19,1708.5
2014-03-20,1714.0
2014-03-21,1657.5
2014-03-24,1636.5
2014-03-25,1659.5
2014-03-26,1680.5
2014-03-27,1681.0
2014-03-28,1700.5
2014-03-29,1700.5
2014-03-31,1704.0
2014-04-01,1720.0
2014-04-02,1721.5
2014-04-03,1723.5
2014-04-04,1729.5
2014-04-07,1717.0
2014-04-08,1700.5
2014-04-09,1713.5
2014-04-10,1703.5
2014-04-11,1689.0
2014-04-14,1697.5
2014-04-15,1679.5
2014-04-16,1702.5
2014-04-17,1714.0
2014-04-22,1738.5
2014-04-23,1734.0
