Date,Settle
2013-09-09,16.1
2013-09-10,16.1
2013-09-11,16.5
2013-09-12,16.2
2013-09-13,16.4
2013-09-16,16.0
2013-09-17,16.0
2013-09-18,16.0
2013-09-19,15.5
2013-09-20,16.0
2013-09-23,16.0
2013-09-24,15.5
2013-09-25,15.5
2013-09-26,16.0
2013-09-27,16.0
2013-09-30,16.0
2013-10-01,16.0
2013-10-02,16.0
2013-10-03,16.0
2013-10-04,16.0
2013-10-08,16.0
2013-10-10,16.1
2013-10-11,16.7
2013-10-14,17.0
2013-10-15,16.8
2013-10-16,16.6
2013-10-17,16.6
2013-10-18,16.6
2013-10-21,16.6
2013-10-22,16.6
2013-10-23,16.6
2013-10-24,16.6
2013-10-25,16.5
2013-10-28,16.5
2013-10-29,16.5
2013-10-30,16.5
2013-10-31,16.5
2013-11-01,16.5
2013-11-04,16.0
2013-11-05,16.0
2013-11-06,16.0
2013-11-07,15.6
2013-11-08,15.1
2013-11-11,14.6
2013-11-12,14.6
2013-11-13,14.6
2013-11-14,14.5
2013-11-15,14.9
2013-11-18,14.6
2013-11-19,14.5
2013-11-20,14.3
2013-11-21,14.3
2013-11-22,14.4
2013-11-25,14.4
2013-11-26,14.4
2013-11-27,14.4
2013-11-28,14.5
2013-11-29,14.5
2013-12-02,18.0
2013-12-03,17.9
2013-12-04,17.6
2013-12-05,17.8
2013-12-06,18.0
2013-12-09,17.8
2013-12-10,17.7
2013-12-11,17.4
2013-12-12,17.7
2013-12-13,17.5
2013-12-16,17.8
2013-12-17,18.1
2013-12-18,18.1
2013-12-19,17.7
2013-12-20,17.6
2013-12-23,17.6
2013-12-24,17.6
2013-12-27,17.7
2013-12-30,17.6
2014-01-02,16.9
2014-01-03,16.7
2014-01-06,16.5
2014-01-07,16.2
2014-01-08,16.4
2014-01-09,17.1
2014-01-13,16.2
2014-01-14,16.3
2014-01-15,16.0
2014-01-16,15.5
2014-01-17,15.9
2014-01-18,15.9
2014-01-20,16.3
2014-01-21,15.8
2014-01-22,15.5
2014-01-23,15.1
2014-01-24,15.2
2014-01-27,15.0
2014-01-28,14.7
2014-01-29,14.5
2014-01-30,13.8
2014-01-31,13.3
2014-02-03,12.8
2014-02-04,12.8
2014-02-05,12.6
2014-02-06,12.6
2014-02-07,12.9
2014-02-08,12.6
2014-02-09,12.6
2014-02-10,12.5
2014-02-11,12.4
2014-02-12,12.3
