Date,Settle
2013-09-09,262.9
2013-09-10,269.9
2013-09-11,276.4
2013-09-12,271.3
2013-09-13,273.2
2013-09-16,279.9
2013-09-17,281.1
2013-09-18,278.9
2013-09-19,284.5
2013-09-20,277.1
2013-09-23,277.1
2013-09-24,276.0
2013-09-25,274.9
2013-09-26,275.7
2013-09-27,277.4
2013-09-30,278.1
2013-10-01,279.4
2013-10-02,279.4
2013-10-03,279.4
2013-10-04,273.1
2013-10-08,273.7
2013-10-10,274.5
2013-10-11,275.0
2013-10-14,271.4
2013-10-15,273.6
2013-10-16,269.8
2013-10-17,274.5
2013-10-18,277.7
2013-10-21,282.9
2013-10-22,284.1
2013-10-23,284.9
2013-10-24,286.8
2013-10-25,286.0
2013-10-28,282.0
2013-10-29,282.0
2013-10-30,284.8
2013-10-31,280.0
2013-11-01,275.6
2013-11-04,282.3
2013-11-05,280.8
2013-11-06,284.5
2013-11-07,274.0
2013-11-08,270.6
2013-11-11,267.0
2013-11-12,267.8
2013-11-13,262.6
2013-11-14,269.5
2013-11-15,270.4
2013-11-18,273.0
2013-11-19,268.2
2013-11-20,267.5
2013-11-21,263.8
2013-11-22,262.9
2013-11-25,262.6
2013-11-26,260.7
2013-11-27,260.4
2013-11-28,260.8
2013-11-29,264.1
2013-12-02,261.1
2013-12-03,261.8
2013-12-04,254.9
2013-12-05,260.2
2013-12-06,262.1
2013-12-09,254.3
2013-12-10,261.1
2013-12-11,258.3
2013-12-12,255.7
2013-12-13,258.7
2013-12-16,265.2
2013-12-17,263.1
2013-12-18,267.2
2013-12-19,260.8
2013-12-20,256.4
2013-12-23,256.0
2013-12-24,259.7
2013-12-27,261.1
2013-12-30,261.9
2014-01-02,262.5
2014-01-03,256.5
2014-01-06,255.9
2014-01-07,256.7
2014-01-08,257.7
2014-01-09,261.4
2014-01-13,270.9
2014-01-14,272.9
2014-01-15,269.7
2014-01-16,270.8
2014-01-17,267.0
2014-01-18,267.0
2014-01-20,264.1
2014-01-21,266.1
2014-01-22,268.8
2014-01-23,270.4
2014-01-24,264.1
2014-01-27,256.6
2014-01-28,256.0
2014-01-29,250.1
2014-01-30,250.0
2014-01-31,250.4
2014-02-03,245.3
2014-02-04,246.0
2014-02-05,245.9
2014-02-06,242.7
2014-02-07,243.3
2014-02-08,242.7
2014-02-09,242.7
2014-02-10,239.3
2014-02-11,242.1
2014-02-12,239.8
2014-02-13,237.7
2014-02-14,240.0
2014-02-15,242.7
2014-02-16,242.7
2014-02-17,243.1
2014-02-18,244.3
2014-02-19,237.7
2014-02-20,236.3
2014-02-21,239.9
2014-02-22,242.7
2014-02-23,242.7
2014-02-24,241.6
2014-02-25,237.6
2014-02-26,233.3
2014-02-27,226.4
2014-02-28,234.0
2014-03-01,242.7
2014-03-02,242.7
2014-03-03,222.1
2014-03-04,233.0
2014-03-05,229.3
2014-03-06,229.8
2014-03-07,223.0
2014-03-10,218.9
2014-03-11,215.2
2014-03-12,213.1
2014-03-13,210.2
2014-03-14,211.2
2014-03-17,221.4
2014-03-18,225.9
2014-03-19,227.7
2014-03-20,223.7
2014-03-21,219.6
2014-03-24,220.5
2014-03-25,224.1
2014-03-26,225.4
2014-03-27,225.9
2014-03-28,234.3
2014-03-31,237.9
2014-04-01,239.9
2014-04-02,242.7
2014-04-03,245.9
2014-04-04,243.9
2014-04-07,245.6
2014-04-08,248.0
2014-04-09,250.3
2014-04-10,250.6
2014-04-11,246.6
2014-04-14,241.7
2014-04-15,240.1
2014-04-16,236.2
2014-04-17,240.7
2014-04-22,243.9
2014-04-23,242.7
2014-04-24,241.7
2014-04-25,236.5
2014-04-28,240.7
2014-04-29,238.3
2014-04-30,237.7
2014-05-02,236.6
2014-05-05,235.1
2014-05-06,239.6
2014-05-07,243.3
2014-05-08,249.1
2014-05-09,248.0
2014-05-12,250.2
2014-05-13,247.1
2014-05-14,248.6
2014-05-15,248.9
2014-05-16,251.3
2014-05-19,254.9
2014-05-20,256.3
2014-05-21,260.3
2014-05-22,262.8
2014-05-23,263.8
2014-05-26,263.7
2014-05-27,258.7
2014-05-28,257.7
2014-05-29,259.0
2014-05-30,266.6
2014-06-02,267.3
2014-06-03,262.2
2014-06-04,258.2
2014-06-05,259.8
2014-06-06,260.2
2014-06-09,260.4
2014-06-10,257.9
2014-06-11,252.9
2014-06-12,252.2
2014-06-13,249.9
2014-06-16,251.1
2014-06-17,248.6
2014-06-18,252.9
2014-06-19,260.1
2014-06-20,255.7
2014-06-23,257.8
2014-06-24,256.2
2014-06-25,254.2
2014-06-26,246.8
2014-06-27,248.2
2014-06-30,247.5
2014-07-01,245.8
2014-07-02,242.2
2014-07-03,244.2
2014-07-04,244.2
2014-07-07,243.9
2014-07-08,243.5
2014-07-09,238.2
2014-07-10,233.5
2014-07-11,237.0
2014-07-14,238.2
2014-07-15,236.9
2014-07-16,236.8
2014-07-17,235.3
2014-07-18,231.7
2014-07-21,233.1
2014-07-22,238.7
2014-07-23,238.6
2014-07-24,233.5
2014-07-25,232.3
2014-07-28,235.5
2014-07-29,233.5
2014-07-30,228.4
2014-07-31,221.3
2014-08-01,223.5
2014-08-04,223.8
2014-08-05,221.2
2014-08-06,218.7
2014-08-07,214.2
2014-08-08,215.7
2014-08-11,218.8
2014-08-12,214.8
2014-08-13,219.6
2014-08-14,220.1
2014-08-15,221.0
2014-08-18,222.1
2014-08-19,225.5
2014-08-20,221.5
2014-08-21,224.4
2014-08-22,222.0
2014-08-25,224.0
2014-08-26,225.4
2014-08-27,226.8
