Date,Settle
2013-09-09,375.1
2013-09-10,397.6
2013-09-11,402.7
2013-09-12,395.8
2013-09-13,397.1
2013-09-16,398.7
2013-09-17,397.3
2013-09-18,399.5
2013-09-19,420.8
2013-09-20,412.0
2013-09-23,411.99
2013-09-24,403.9
2013-09-25,405.3
2013-09-26,407.3
2013-09-27,402.5
2013-09-30,395.6
2013-10-01,399.2
2013-10-02,399.2
2013-10-03,399.2
2013-10-04,412.6
2013-10-08,412.4
2013-10-10,420.8
2013-10-11,428.4
2013-10-14,427.9
2013-10-15,424.1
2013-10-16,424.1
2013-10-17,424.6
2013-10-18,433.7
2013-10-21,433.2
2013-10-22,432.0
2013-10-23,429.8
2013-10-24,429.4
2013-10-25,427.3
2013-10-28,425.3
2013-10-29,433.2
2013-10-30,435.8
2013-10-31,437.4
2013-11-01,435.2
2013-11-04,436.5
2013-11-05,431.4
2013-11-06,425.4
2013-11-07,422.6
2013-11-08,417.4
2013-11-11,411.7
2013-11-12,404.5
2013-11-13,407.0
2013-11-14,409.2
2013-11-15,422.3
2013-11-18,425.0
2013-11-19,424.4
2013-11-20,417.6
2013-11-21,406.2
2013-11-22,407.3
2013-11-25,420.9
2013-11-26,410.1
2013-11-27,418.6
2013-11-28,418.9
2013-11-29,424.9
2013-12-02,426.4
2013-12-03,422.7
2013-12-04,429.2
2013-12-05,433.0
2013-12-06,441.6
2013-12-09,441.6
2013-12-10,442.5
2013-12-11,436.7
2013-12-12,425.2
2013-12-13,423.7
2013-12-16,431.8
2013-12-17,426.3
2013-12-18,430.0
2013-12-19,423.2
2013-12-20,431.1
2013-12-23,433.064
2013-12-24,437.9
2013-12-27,437.2
2013-12-30,435.1
2014-01-02,426.3
2014-01-03,429.0
2014-01-06,427.8
2014-01-07,427.3
2014-01-08,426.4
2014-01-09,423.6
2014-01-13,441.4
2014-01-14,436.8
2014-01-15,443.5
2014-01-16,443.2
2014-01-17,436.8
2014-01-18,436.8
2014-01-20,437.3
2014-01-21,435.5
2014-01-22,439.7
2014-01-23,440.7
2014-01-24,427.2
2014-01-27,416.3
2014-01-28,419.3
2014-01-29,414.3
2014-01-30,418.1
2014-01-31,418.0
2014-02-03,411.8
2014-02-04,415.6
2014-02-05,413.2
2014-02-06,417.0
2014-02-07,419.8
2014-02-08,417.0
2014-02-09,417.0
2014-02-10,415.8
2014-02-11,416.9
2014-02-12,421.8
2014-02-13,412.6
2014-02-14,421.1
2014-02-15,417.0
2014-02-16,417.0
2014-02-17,421.5
2014-02-18,423.0
2014-02-19,425.0
2014-02-20,419.6
2014-02-21,427.9
2014-02-22,417.0
2014-02-23,417.0
2014-02-24,427.6
2014-02-25,429.7
2014-02-26,431.9
2014-02-27,431.9
2014-02-28,435.5
2014-03-01,417.0
2014-03-02,417.0
2014-03-03,426.7
2014-03-04,436.3
2014-03-05,436.8
2014-03-06,445.9
2014-03-07,450.2
2014-03-10,450.7
2014-03-11,451.3
2014-03-12,449.3
2014-03-13,446.9
2014-03-14,447.3
2014-03-17,447.7
2014-03-18,448.8
2014-03-19,449.4
2014-03-20,445.7
2014-03-21,447.9
2014-03-24,455.5
2014-03-25,461.4
2014-03-26,464.3
2014-03-27,465.4
2014-03-28,474.7
2014-03-29,474.7
2014-03-31,474.1
2014-04-01,476.4
2014-04-02,478.8
2014-04-03,471.7
2014-04-04,470.7
2014-04-07,473.3
2014-04-08,476.4
2014-04-09,478.7
2014-04-10,478.9
2014-04-11,473.8
2014-04-14,476.2
2014-04-15,474.0
2014-04-16,466.9
2014-04-17,478.0
2014-04-22,473.9
2014-04-23,470.0
2014-04-24,468.9
2014-04-25,469.4
2014-04-28,469.8
2014-04-29,468.5
2014-04-30,467.4
2014-05-02,468.5
2014-05-05,467.9
2014-05-06,469.4
2014-05-07,464.8
2014-05-08,463.4
2014-05-09,477.2
2014-05-12,499.8
2014-05-13,498.2
2014-05-14,498.2
2014-05-15,497.7
