Date,Settle
2013-09-09,410.5
2013-09-10,421.5
2013-09-11,431.0
2013-09-12,427.0
2013-09-13,424.0
2013-09-16,438.0
2013-09-17,443.0
2013-09-18,443.0
2013-09-19,460.0
2013-09-20,453.0
2013-09-23,453.0
2013-09-24,454.0
2013-09-25,451.5
2013-09-26,451.0
2013-09-27,447.0
2013-09-30,431.0
2013-10-01,432.5
2013-10-02,432.5
2013-10-03,432.5
2013-10-04,448.5
2013-10-08,453.5
2013-10-10,451.5
2013-10-11,457.0
2013-10-14,452.0
2013-10-15,452.0
2013-10-16,455.5
2013-10-17,463.0
2013-10-18,466.0
2013-10-21,463.5
2013-10-22,467.0
2013-10-23,470.0
2013-10-24,462.0
2013-10-25,460.0
2013-10-28,464.0
2013-10-29,463.5
2013-10-30,467.5
2013-10-31,465.5
2013-11-01,464.0
2013-11-04,462.0
2013-11-05,462.0
2013-11-06,458.5
2013-11-07,456.5
2013-11-08,450.5
2013-11-11,433.5
2013-11-12,439.5
2013-11-13,440.0
2013-11-14,443.0
2013-11-15,444.5
2013-11-18,446.5
2013-11-19,442.5
2013-11-20,431.0
2013-11-21,428.0
2013-11-22,423.0
2013-11-25,418.5
2013-11-26,421.5
2013-11-27,421.0
2013-11-28,436.0
2013-11-29,437.0
2013-12-02,436.5
2013-12-03,432.0
2013-12-04,425.5
2013-12-05,422.5
2013-12-06,427.5
2013-12-09,425.0
2013-12-10,413.0
2013-12-11,410.0
2013-12-12,400.5
2013-12-13,399.5
2013-12-16,405.5
2013-12-17,412.0
2013-12-18,413.0
2013-12-19,409.5
2013-12-20,402.5
2013-12-23,404.148
2013-12-24,405.0
2013-12-27,409.5
2013-12-30,409.5
2014-01-02,411.5
2014-01-03,405.5
2014-01-06,410.5
2014-01-07,407.0
2014-01-08,409.5
2014-01-09,405.5
2014-01-13,412.5
2014-01-14,410.0
2014-01-15,408.5
2014-01-16,407.5
2014-01-17,409.0
2014-01-18,409.0
2014-01-20,408.5
2014-01-21,406.0
2014-01-22,414.5
2014-01-23,417.0
2014-01-24,413.0
2014-01-27,409.5
2014-01-28,407.0
2014-01-29,403.0
2014-01-30,409.0
2014-01-31,402.0
2014-02-03,401.0
2014-02-04,396.0
2014-02-05,399.0
2014-02-06,402.5
2014-02-07,407.0
2014-02-08,402.5
2014-02-09,402.5
2014-02-10,412.0
2014-02-11,413.0
2014-02-12,418.5
2014-02-13,416.0
2014-02-14,419.5
2014-02-15,402.5
2014-02-16,402.5
2014-02-17,424.5
2014-02-18,424.5
2014-02-19,434.0
2014-02-20,436.5
2014-02-21,435.0
2014-02-22,402.5
2014-02-23,402.5
2014-02-24,439.0
2014-02-25,440.5
2014-02-26,442.5
2014-02-27,445.0
2014-02-28,452.0
2014-03-01,402.5
2014-03-02,402.5
2014-03-03,441.5
2014-03-04,442.0
2014-03-05,446.5
2014-03-06,452.5
