Date,Settle
2013-09-09,1646.0
2013-09-10,1657.5
2013-09-11,1663.0
2013-09-12,1668.0
2013-09-13,1661.0
2013-09-16,1709.0
2013-09-17,1713.0
2013-09-18,1702.0
2013-09-19,1758.0
2013-09-20,1742.37
2013-09-23,1727.5
2013-09-24,1717.5
2013-09-25,1723.0
2013-09-26,1720.5
2013-09-27,1698.0
2013-09-30,1680.5
2013-10-01,1703.5
2013-10-02,1684.5
2013-10-03,1691.5
2013-10-04,1708.5
2013-10-08,1748.5
2013-10-10,1764.5
2013-10-11,1753.5
2013-10-14,1746.5
2013-10-15,1772.0
2013-10-16,1774.5
2013-10-17,1762.5
2013-10-18,1787.5
2013-10-21,1789.5
2013-10-22,1793.5
2013-10-23,1766.0
2013-10-24,1761.5
2013-10-25,1752.5
2013-10-28,1760.0
2013-10-29,1763.5
2013-10-30,1756.0
2013-10-31,1754.0
2013-11-01,1741.5
2013-11-04,1753.5
2013-11-05,1726.5
2013-11-06,1732.0
2013-11-07,1725.0
2013-11-08,1700.5
2013-11-11,1687.5
2013-11-12,1697.0
2013-11-13,1664.0
2013-11-14,1694.0
2013-11-15,1706.5
2013-11-18,1734.0
2013-11-19,1720.5
2013-11-20,1708.5
2013-11-21,1695.0
2013-11-22,1711.5
2013-11-25,1701.0
2013-11-26,1685.5
2013-11-27,1675.0
2013-11-28,1668.5
2013-11-29,1671.0
2013-12-02,1663.5
2013-12-03,1635.0
2013-12-04,1630.5
2013-12-05,1613.5
2013-12-06,1636.0
2013-12-09,1669.0
2013-12-10,1665.5
2013-12-11,1652.5
2013-12-12,1640.0
2013-12-13,1634.0
2013-12-16,1650.5
2013-12-17,1657.5
2013-12-18,1667.5
2013-12-19,1682.0
2013-12-20,1683.97
2013-12-23,1688.0
2013-12-24,1688.0
2013-12-27,1685.0
2013-12-30,1696.0
2014-01-02,1695.0
2014-01-03,1671.5
2014-01-06,1641.0
2014-01-07,1641.5
2014-01-08,1637.5
2014-01-09,1624.5
2014-01-13,1634.5
2014-01-14,1636.0
2014-01-15,1638.0
2014-01-16,1635.5
2014-01-17,1640.0
2014-01-18,1640.0
2014-01-20,1635.5
2014-01-21,1638.5
2014-01-22,1639.0
2014-01-23,1613.0
2014-01-24,1580.5
2014-01-27,1567.5
2014-01-28,1563.5
2014-01-29,1533.0
2014-01-30,1544.0
2014-01-31,1529.0
2014-02-03,1502.5
2014-02-04,1517.5
2014-02-05,1534.0
2014-02-06,1572.5
2014-02-07,1567.5
2014-02-08,1572.5
2014-02-09,1572.5
2014-02-10,1564.5
2014-02-11,1578.0
2014-02-12,1590.0
2014-02-13,1558.0
2014-02-14,1581.5
2014-02-15,1572.5
2014-02-16,1572.5
2014-02-17,1588.0
2014-02-18,1576.5
2014-02-19,1549.0
2014-02-20,1536.0
2014-02-21,1557.0
2014-02-22,1572.5
2014-02-23,1572.5
2014-02-24,1561.0
2014-02-25,1541.0
2014-02-26,1519.5
2014-02-27,1484.0
2014-02-28,1499.0
2014-03-01,1572.5
2014-03-02,1572.5
2014-03-03,1339.0
2014-03-04,1412.5
2014-03-05,1406.0
2014-03-06,1388.5
2014-03-07,1385.0
2014-03-10,1367.5
2014-03-11,1352.0
2014-03-12,1318.0
2014-03-13,1297.5
2014-03-14,1294.5
2014-03-17,1337.5
2014-03-18,1406.5
2014-03-19,1392.5
2014-03-20,1373.5
2014-03-21,1348.0
2014-03-24,1335.5
2014-03-25,1377.5
2014-03-26,1413.5
2014-03-27,1391.0
2014-03-28,1402.5
2014-03-29,1402.5
2014-03-31,1448.0
2014-04-01,1460.0
2014-04-02,1438.0
2014-04-03,1429.5
2014-04-04,1467.0
2014-04-07,1420.5
2014-04-08,1420.0
2014-04-09,1405.5
2014-04-10,1427.5
2014-04-11,1412.5
2014-04-14,1387.0
2014-04-15,1349.0
2014-04-16,1362.5
2014-04-17,1378.5
2014-04-22,1387.0
2014-04-23,1378.0
2014-04-24,1343.5
2014-04-25,1315.5
2014-04-28,1334.5
2014-04-29,1354.5
2014-04-30,1354.0
2014-05-02,1350.0
2014-05-05,1350.0
2014-05-06,1374.0
2014-05-07,1434.0
2014-05-08,1454.5
2014-05-09,1449.0
2014-05-12,1452.0
2014-05-13,1470.0
2014-05-14,1480.0
2014-05-15,1472.5
2014-05-16,1476.5
2014-05-19,1514.5
2014-05-20,1525.5
2014-05-21,1543.0
2014-05-22,1538.5
2014-05-23,1554.0
2014-05-26,1554.0
2014-05-27,1530.5
2014-05-28,1528.0
2014-05-29,1545.0
2014-05-30,1529.5
2014-06-02,1543.0
2014-06-03,1545.5
2014-06-04,1550.0
2014-06-05,1555.0
2014-06-06,1581.0
2014-06-09,1586.5
2014-06-10,1595.5
2014-06-11,1603.5
2014-06-12,1602.5
2014-06-13,1590.5
2014-06-16,1594.0
2014-06-17,1579.5
2014-06-18,1596.5
2014-06-19,1614.5
2014-06-20,1569.0
2014-06-23,1575.5
2014-06-24,1624.0
2014-06-25,1587.5
2014-06-26,1577.5
2014-06-27,1584.0
2014-06-30,1568.0
2014-07-01,1570.5
2014-07-02,1599.5
2014-07-03,1601.5
2014-07-04,1576.0
2014-07-07,1607.0
2014-07-08,1617.5
2014-07-09,1617.0
2014-07-10,1598.5
2014-07-11,1602.0
2014-07-14,1585.5
2014-07-15,1577.5
2014-07-16,1585.0
2014-07-17,1528.0
2014-07-18,1500.5
2014-07-21,1463.0
2014-07-22,1489.5
2014-07-23,1498.5
2014-07-24,1490.5
2014-07-25,1472.0
2014-07-28,1434.5
2014-07-29,1431.0
2014-07-30,1437.5
2014-07-31,1427.0
2014-08-01,1417.0
2014-08-04,1415.0
2014-08-05,1394.0
2014-08-06,1363.5
2014-08-07,1351.0
2014-08-08,1370.0
2014-08-11,1407.0
2014-08-12,1404.0
2014-08-13,1429.5
2014-08-14,1441.0
2014-08-15,1458.0
2014-08-18,1457.5
2014-08-19,1475.5
2014-08-20,1481.5
2014-08-21,1495.0
2014-08-22,1483.0
2014-08-25,1483.0
2014-08-26,1481.5
2014-08-27,1488.5
2014-08-28,1435.5
2014-08-29,1405.5
2014-09-01,1391.5
2014-09-02,1389.5
2014-09-03,1472.0
2014-09-04,1470.0
2014-09-05,1489.0
2014-09-08,1466.0
2014-09-09,1469.0
2014-09-10,1459.0
2014-09-11,1436.0
2014-09-12,1432.5
2014-09-15,1416.0
2014-09-16,1426.5
2014-09-17,1416.0
2014-09-18,1405.5
2014-09-19,1380.0
2014-09-22,1354.0
2014-09-23,1374.5
2014-09-24,1396.0
2014-09-25,1386.0
2014-09-26,1368.5
2014-09-29,1331.0
2014-09-30,1331.0
2014-10-01,1322.5
2014-10-02,1298.0
2014-10-03,1309.5
2014-10-06,1343.0
2014-10-07,1329.0
2014-10-08,1302.0
2014-10-09,1307.5
2014-10-10,1279.0
2014-10-13,1294.5
2014-10-14,1290.0
2014-10-15,1285.5
2014-10-16,1259.0
2014-10-17,1289.5
2014-10-20,1269.5
2014-10-21,1286.0
2014-10-22,1244.0
2014-10-23,1244.0
2014-10-24,1248.5
2014-10-27,1260.0
2014-10-28,1274.5
2014-10-29,1288.0
2014-10-30,1324.0
2014-10-31,1327.0
2014-11-03,1313.5
2014-11-04,1294.5
2014-11-05,1277.0
2014-11-06,1231.0
2014-11-07,1223.0
2014-11-10,1263.5
2014-11-11,1237.5
2014-11-12,1257.5
2014-11-13,1222.0
2014-11-14,1205.0
2014-11-17,1210.5
2014-11-19,1225.0
2014-11-20,1246.5
2014-11-21,1273.0
2014-11-24,1285.0
2014-11-25,1265.5
2014-11-26,1238.5
2014-11-27,1212.0
2014-11-28,1172.5
2014-12-01,1150.0
2014-12-02,1122.0
2014-12-03,1145.5
2014-12-04,1120.0
2014-12-05,1096.5
2014-12-08,1051.5
2014-12-09,1041.5
2014-12-10,1045.0
2014-12-11,998.0
2014-12-12,973.5
2014-12-15,887.0
2014-12-16,764.5
2014-12-17,907.0
2014-12-18,964.5
2014-12-19,936.0
2014-12-22,992.0
2014-12-23,964.0
2014-12-24,964.0
2014-12-29,964.5
2014-12-30,964.5
2014-12-31,964.5
2015-01-02,910.5
2015-01-05,922.5
2015-01-06,901.0
2015-01-07,922.5
2015-01-08,1000.0
2015-01-09,965.5
2015-01-12,924.0
2015-01-13,918.0
2015-01-14,916.5
2015-01-15,943.5
2015-01-16,951.0
2015-01-19,943.5
2015-01-20,932.0
2015-01-21,964.5
2015-01-22,1016.0
2015-01-23,1010.5
2015-01-26,966.0
2015-01-27,959.0
2015-01-28,942.5
2015-01-29,925.5
2015-01-30,899.0
2015-02-02,904.5
2015-02-03,953.0
2015-02-04,950.0
2015-02-05,980.0
2015-02-06,1018.5
2015-02-09,1024.5
2015-02-10,1007.5
2015-02-11,1022.5
2015-02-12,1064.0
2015-02-13,1126.5
2015-02-16,1105.5
2015-02-17,1097.0
2015-02-18,1137.0
2015-02-19,1113.5
2015-02-20,1114.5
2015-02-23,1073.5
2015-02-24,1081.0
2015-02-25,1077.0
2015-02-26,1104.5
2015-02-27,1094.5
2015-03-02,1108.0
2015-03-03,1117.0
2015-03-04,1083.5
2015-03-05,1108.0
2015-03-06,1098.0
2015-03-09,1070.5
2015-03-10,1028.5
2015-03-11,1023.0
2015-03-12,1035.0
2015-03-13,995.0
2015-03-16,975.5
2015-03-17,988.0
2015-03-18,1005.0
2015-03-19,1021.5
2015-03-20,1031.5
2015-03-23,1026.0
2015-03-24,1052.0
2015-03-25,1049.5
2015-03-26,1036.0
2015-03-27,1028.5
2015-03-30,1050.0
2015-03-31,1048.5
2015-04-01,1076.0
2015-04-02,1116.5
2015-04-07,1156.0
2015-04-08,1181.5
2015-04-09,1203.0
2015-04-10,1195.0
2015-04-13,1201.0
2015-04-14,1202.0
2015-04-15,1237.0
2015-04-16,1257.0
2015-04-17,1212.5
2015-04-20,1200.0
2015-04-21,1208.5
2015-04-22,1193.5
2015-04-23,1229.5
2015-04-24,1237.0
2015-04-27,1250.0
2015-04-28,1225.0
2015-04-29,1224.0
2015-04-30,1231.0
2015-05-04,1231.0
2015-05-05,1272.0
2015-05-06,1293.5
2015-05-07,1255.0
2015-05-08,1263.5
2015-05-11,1268.5
2015-05-12,1265.0
2015-05-13,1296.0
2015-05-14,1275.5
2015-05-15,1276.5
2015-05-18,1293.5
2015-05-19,1256.5
2015-05-20,1231.0
2015-05-21,1238.0
2015-05-22,1258.5
2015-05-25,1258.5
2015-05-26,1233.0
2015-05-27,1215.0
2015-05-28,1190.5
2015-05-29,1185.0
2015-06-01,1148.0
2015-06-02,1160.5
2015-06-03,1149.5
