Date,Settle
2013-09-09,1214.7
2013-09-10,1234.2
2013-09-11,1234.4
2013-09-12,1230.2
2013-09-13,1232.0
2013-09-16,1235.5
2013-09-17,1234.1
2013-09-18,1236.3
2013-09-19,1242.8
2013-09-20,1245.99
2013-09-23,1233.0
2013-09-24,1232.6
2013-09-25,1232.7
2013-09-26,1230.0
2013-09-27,1229.0
2013-09-30,1221.9
2013-10-01,1229.6
2013-10-02,1215.7
2013-10-03,1211.8
2013-10-04,1214.7
2013-10-08,1199.1
2013-10-10,1204.2
2013-10-11,1215.7
2013-10-14,1212.7
2013-10-15,1221.3
2013-10-16,1220.5
2013-10-17,1223.2
2013-10-18,1233.9
2013-10-21,1244.2
2013-10-22,1253.3
2013-10-23,1253.8
2013-10-24,1255.5
2013-10-25,1256.3
2013-10-28,1261.7
2013-10-29,1249.8
2013-10-30,1249.9
2013-10-31,1257.3
2013-11-01,1251.6
2013-11-04,1247.8
2013-11-05,1239.3
2013-11-06,1250.8
2013-11-07,1253.9
2013-11-08,1255.0
2013-11-11,1264.7
2013-11-12,1260.7
2013-11-13,1255.2
2013-11-14,1265.6
2013-11-15,1269.5
2013-11-18,1272.7
2013-11-19,1265.4
2013-11-20,1260.1
2013-11-21,1255.6
2013-11-22,1252.7
2013-11-25,1261.2
2013-11-26,1256.2
2013-11-27,1259.7
2013-11-28,1260.9
2013-11-29,1262.0
2013-12-02,1259.8
2013-12-03,1233.1
2013-12-04,1223.9
2013-12-05,1223.1
2013-12-06,1227.9
2013-12-09,1227.6
2013-12-10,1218.3
2013-12-11,1213.1
2013-12-12,1198.7
2013-12-13,1200.4
2013-12-16,1205.2
2013-12-17,1203.0
2013-12-18,1211.0
2013-12-19,1227.1
2013-12-20,1237.76
2013-12-23,1235.7
2013-12-24,1235.7
2013-12-27,1254.9
2013-12-30,1248.7
2014-01-02,1248.7
2014-01-03,1259.0
2014-01-06,1255.7
2014-01-07,1265.9
2014-01-08,1268.0
2014-01-09,1262.2
2014-01-13,1282.7
2014-01-14,1279.8
2014-01-15,1286.5
2014-01-16,1288.1
2014-01-17,1292.4
2014-01-18,1292.4
2014-01-21,1292.0
2014-01-22,1291.5
2014-01-23,1279.6
2014-01-24,1247.5
2014-01-27,1239.6
2014-01-28,1249.4
2014-01-29,1241.1
2014-01-30,1245.8
2014-01-31,1243.6
2014-02-03,1228.6
2014-02-04,1232.8
2014-02-05,1234.3
2014-02-06,1251.4
2014-02-07,1262.6
2014-02-08,1251.4
2014-02-09,1251.4
2014-02-10,1263.4
2014-02-11,1273.5
2014-02-12,1280.8
2014-02-13,1279.0
2014-02-14,1283.1
2014-02-15,1251.4
2014-02-16,1251.4
2014-02-17,1284.2
2014-02-18,1282.8
2014-02-19,1284.0
2014-02-20,1279.2
2014-02-21,1282.6
2014-02-22,1251.4
2014-02-23,1251.4
2014-02-24,1289.7
2014-02-25,1292.3
2014-02-26,1296.1
2014-02-27,1293.3
2014-02-28,1295.7
2014-03-01,1251.4
2014-03-02,1251.4
2014-03-03,1267.9
2014-03-04,1291.5
2014-03-05,1294.7
2014-03-06,1305.8
2014-03-07,1291.4
2014-03-10,1287.9
2014-03-11,1287.6
2014-03-12,1279.8
2014-03-13,1266.6
2014-03-14,1248.5
2014-03-17,1258.5
2014-03-18,1270.6
2014-03-19,1267.8
2014-03-20,1270.4
2014-03-21,1252.1
2014-03-24,1236.6
2014-03-25,1248.6
2014-03-26,1256.7
2014-03-27,1254.2
2014-03-28,1260.9
2014-03-31,1271.7
2014-04-01,1276.2
2014-04-02,1284.1
2014-04-03,1286.1
2014-04-04,1289.3
