Date,Settle
2013-09-09,7932.0
2013-09-10,8046.0
2013-09-11,8050.0
2013-09-12,8028.0
2013-09-13,8036.0
2013-09-16,8032.0
2013-09-17,8014.0
2013-09-18,8048.0
2013-09-19,8103.0
2013-09-20,8130.59
2013-09-23,8065.0
2013-09-24,8055.0
2013-09-25,8063.0
2013-09-26,8060.0
2013-09-27,8050.0
2013-09-30,8020.0
2013-10-01,8060.0
2013-10-02,7954.0
2013-10-03,7930.0
2013-10-04,7948.0
2013-10-08,7822.0
2013-10-10,7843.0
2013-10-11,7941.0
2013-10-14,7923.0
2013-10-15,7991.0
2013-10-16,7983.0
2013-10-17,8016.0
2013-10-18,8073.0
2013-10-21,8123.0
2013-10-22,8209.0
2013-10-23,8207.0
2013-10-24,8234.0
2013-10-25,8233.0
2013-10-28,8281.0
2013-10-29,8231.0
2013-10-30,8223.0
2013-10-31,8250.0
2013-11-01,8210.0
2013-11-04,8191.0
2013-11-05,8145.0
2013-11-06,8232.0
2013-11-07,8221.0
2013-11-08,8229.0
2013-11-11,8271.0
2013-11-12,8263.0
2013-11-13,8233.0
2013-11-14,8309.0
2013-11-15,8329.0
2013-11-18,8346.0
2013-11-19,8303.0
2013-11-20,8283.0
2013-11-21,8274.0
2013-11-22,8259.0
2013-11-25,8307.0
2013-11-26,8257.0
2013-11-27,8260.0
2013-11-28,8254.0
2013-11-29,8277.0
2013-12-02,8263.0
2013-12-03,8099.0
2013-12-04,8036.0
2013-12-05,8024.0
2013-12-06,8078.0
2013-12-09,8068.0
2013-12-10,7978.0
2013-12-11,7984.0
2013-12-12,7846.0
2013-12-13,7835.0
2013-12-16,7859.0
2013-12-17,7848.0
2013-12-18,7892.0
2013-12-19,8021.0
2013-12-20,8091.31
2013-12-23,8030.0
2013-12-24,8030.0
2013-12-27,8159.0
2013-12-30,8112.0
2014-01-02,8112.0
2014-01-03,8206.0
2014-01-06,8187.0
2014-01-07,8255.0
2014-01-08,8261.0
2014-01-09,8213.0
2014-01-13,8344.0
2014-01-14,8313.0
2014-01-15,8354.0
2014-01-16,8381.0
2014-01-17,8400.0
2014-01-18,8400.0
2014-01-20,8400.0
2014-01-21,8386.0
2014-01-22,8385.0
2014-01-23,8338.0
2014-01-24,8108.0
2014-01-27,8049.0
2014-01-28,8102.0
2014-01-29,8049.0
2014-01-30,8119.0
2014-01-31,8088.0
2014-02-03,8022.0
2014-02-04,8019.0
2014-02-05,8034.0
2014-02-06,8139.0
2014-02-07,8235.0
2014-02-08,8139.0
2014-02-09,8139.0
2014-02-10,8238.0
2014-02-11,8277.0
2014-02-12,8326.0
2014-02-13,8306.0
2014-02-14,8346.0
2014-02-15,8139.0
2014-02-16,8139.0
2014-02-17,8340.0
2014-02-18,8335.0
2014-02-19,8322.0
2014-02-20,8308.0
2014-02-21,8350.0
2014-02-22,8139.0
2014-02-23,8139.0
2014-02-24,8393.0
2014-02-25,8424.0
