Date,Settle
2013-09-09,2734.0
2013-09-10,2764.0
2013-09-11,2770.0
2013-09-12,2770.0
2013-09-13,2780.0
2013-09-16,2793.0
2013-09-17,2783.0
2013-09-18,2793.0
2013-09-19,2806.0
2013-09-20,2816.03
2013-09-23,2779.0
2013-09-24,2786.0
2013-09-25,2788.0
2013-09-26,2786.0
2013-09-27,2782.0
2013-09-30,2763.0
2013-10-01,2775.0
2013-10-02,2758.0
2013-10-03,2749.0
2013-10-04,2753.0
2013-10-08,2724.0
2013-10-10,2748.0
2013-10-11,2768.0
2013-10-14,2769.0
2013-10-15,2797.0
2013-10-16,2802.0
2013-10-17,2808.0
2013-10-18,2824.0
2013-10-21,2833.0
2013-10-22,2849.0
2013-10-23,2833.0
2013-10-24,2848.0
2013-10-25,2846.0
2013-10-28,2846.0
2013-10-29,2857.0
2013-10-30,2852.0
2013-10-31,2871.0
2013-11-01,2863.0
2013-11-04,2872.0
2013-11-05,2865.0
2013-11-06,2878.0
2013-11-07,2881.0
2013-11-08,2874.0
2013-11-11,2886.0
2013-11-12,2871.0
2013-11-13,2855.0
2013-11-14,2882.0
2013-11-15,2890.0
2013-11-18,2904.0
2013-11-19,2886.0
2013-11-20,2894.0
2013-11-21,2891.0
2013-11-22,2890.0
2013-11-25,2901.0
2013-11-26,2880.0
2013-11-27,2891.0
2013-11-28,2898.0
2013-11-29,2903.0
2013-12-02,2895.0
2013-12-03,2855.0
2013-12-04,2831.0
2013-12-05,2805.0
2013-12-06,2830.0
2013-12-09,2832.0
2013-12-10,2811.0
2013-12-11,2791.0
2013-12-12,2762.0
2013-12-13,2757.0
2013-12-16,2792.0
2013-12-17,2773.0
2013-12-18,2794.0
2013-12-19,2841.0
2013-12-20,2849.58
2013-12-23,2857.0
2013-12-24,2857.0
2013-12-27,2899.0
2013-12-30,2893.0
2014-01-02,2870.0
2014-01-03,2883.0
2014-01-06,2877.0
2014-01-07,2905.0
2014-01-08,2902.0
2014-01-09,2890.0
2014-01-13,2903.0
2014-01-14,2910.0
2014-01-15,2942.0
2014-01-16,2939.0
2014-01-17,2955.0
2014-01-18,2955.0
2014-01-20,2954.0
2014-01-21,2959.0
2014-01-22,2960.0
2014-01-23,2927.0
2014-01-24,2853.0
2014-01-27,2832.0
2014-01-28,2840.0
2014-01-29,2828.0
2014-01-30,2836.0
2014-01-31,2831.0
2014-02-03,2789.0
2014-02-04,2783.0
2014-02-05,2782.0
2014-02-06,2817.0
2014-02-07,2840.0
2014-02-08,2817.0
2014-02-09,2817.0
2014-02-10,2838.0
2014-02-11,2870.0
2014-02-12,2899.0
2014-02-13,2898.0
2014-02-14,2911.0
2014-02-15,2817.0
2014-02-16,2817.0
2014-02-17,2922.0
2014-02-18,2929.0
2014-02-19,2932.0
2014-02-20,2932.0
2014-02-21,2949.0
2014-02-22,2817.0
2014-02-23,2817.0
2014-02-24,2960.0
2014-02-25,2965.0
2014-02-26,2963.0
2014-02-27,2959.0
2014-02-28,2950.0
2014-03-01,2817.0
2014-03-02,2817.0
2014-03-03,2894.0
2014-03-04,2946.0
2014-03-05,2942.0
2014-03-06,2940.0
2014-03-07,2898.0
2014-03-10,2884.0
