Date,Settle
2013-09-09,1046.5
2013-09-10,1065.0
2013-09-11,1056.5
2013-09-12,1062.0
2013-09-13,1063.5
2013-09-16,1076.5
2013-09-17,1072.5
2013-09-18,1071.5
2013-09-19,1075.5
2013-09-20,1071.51
2013-09-23,1066.5
2013-09-24,1071.5
2013-09-25,1079.0
2013-09-26,1077.5
2013-09-27,1086.5
2013-09-30,1079.0
2013-10-01,1090.0
2013-10-02,1093.5
2013-10-03,1091.0
2013-10-04,1092.5
2013-10-08,1079.0
2013-10-10,1085.5
2013-10-11,1086.0
2013-10-14,1086.0
2013-10-15,1097.5
2013-10-16,1097.0
2013-10-17,1094.5
2013-10-18,1103.5
2013-10-21,1118.0
2013-10-22,1123.0
2013-10-23,1119.0
2013-10-24,1120.0
2013-10-25,1119.5
2013-10-28,1122.0
2013-10-29,1124.0
2013-10-30,1126.5
2013-10-31,1129.5
2013-11-01,1135.0
2013-11-04,1139.0
2013-11-05,1131.0
2013-11-06,1142.5
2013-11-07,1142.5
2013-11-08,1133.0
2013-11-11,1142.0
2013-11-12,1127.5
2013-11-13,1122.5
2013-11-14,1146.0
2013-11-15,1154.0
2013-11-18,1159.0
2013-11-19,1146.0
2013-11-20,1138.5
2013-11-21,1135.0
2013-11-22,1136.5
2013-11-25,1146.0
2013-11-26,1148.0
2013-11-27,1151.5
2013-11-28,1152.0
2013-11-29,1155.0
2013-12-02,1157.5
2013-12-03,1134.5
2013-12-04,1122.0
2013-12-05,1120.0
2013-12-06,1130.5
2013-12-09,1141.5
2013-12-10,1138.5
2013-12-11,1131.5
2013-12-12,1116.5
2013-12-13,1113.0
2013-12-16,1122.5
2013-12-17,1127.0
2013-12-18,1142.5
2013-12-19,1156.5
2013-12-20,1152.85
2013-12-23,1166.0
2013-12-24,1166.0
2013-12-27,1162.5
2013-12-30,1169.5
2014-01-02,1167.0
2014-01-03,1183.0
2014-01-06,1182.5
2014-01-07,1195.5
2014-01-08,1195.0
2014-01-13,1228.0
2014-01-14,1225.0
2014-01-15,1244.5
2014-01-16,1243.5
2014-01-17,1253.5
2014-01-18,1253.5
2014-01-20,1251.5
2014-01-21,1252.0
2014-01-22,1264.0
2014-01-23,1249.0
2014-01-24,1220.0
