Date,Settle
2006-09-04,68.25
2006-09-05,67.35
2006-09-06,67.6
2006-09-07,67.35
2006-09-08,66.15
2006-09-11,65.25
2006-09-12,65.25
2006-09-13,65.25
2006-09-14,66.25
2006-09-15,66.25
2006-09-18,66.25
2006-09-19,66.15
2006-09-20,65.0
2006-09-21,65.5
2006-09-22,66.15
2006-09-25,65.7
2006-09-26,65.9
2006-09-27,66.75
2006-09-28,68.25
2006-09-29,68.75
2006-10-02,67.0
2006-10-03,66.4
2006-10-04,66.3
2006-10-05,66.3
2006-10-06,66.95
2006-10-09,67.8
2006-10-10,67.45
2006-10-11,67.15
2006-10-12,68.1
2006-10-13,68.5
2006-10-16,67.95
2006-10-17,67.25
2006-10-18,68.15
2006-10-19,67.75
2006-10-20,67.75
2006-10-23,68.55
2006-10-24,68.8
2006-10-25,67.5
2006-10-26,68.25
2006-10-27,69.2
2006-10-30,69.2
2006-10-31,68.0
2006-11-01,68.25
2006-11-02,68.25
2006-11-03,68.5
2006-11-06,69.0
2006-11-07,68.5
2006-11-08,68.7
2006-11-09,68.0
2006-11-10,67.25
2006-11-13,66.7
2006-11-14,66.7
2006-11-15,67.15
2006-11-16,67.1
2006-11-17,66.75
2006-11-20,66.4
2006-11-21,66.4
2006-11-22,66.1
2006-11-23,66.0
2006-11-24,66.0
2006-11-27,66.75
2006-11-28,67.75
2006-11-29,67.65
2006-11-30,68.7
2006-12-01,69.75
2006-12-04,69.75
2006-12-05,68.7
2006-12-06,68.0
2006-12-07,67.25
2006-12-08,67.25
2006-12-11,67.25
2006-12-12,67.5
2006-12-13,67.7
2006-12-14,68.2
2006-12-15,67.85
2006-12-18,67.95
2006-12-19,68.0
2006-12-20,68.0
2006-12-21,68.05
2006-12-22,68.0
2006-12-26,68.0
2006-12-27,67.95
2006-12-28,68.0
2006-12-29,68.0
2007-01-02,67.5
2007-01-03,67.0
2007-01-04,65.75
2007-01-05,66.25
2007-01-08,66.25
2007-01-09,66.35
2007-01-10,66.25
2007-01-11,66.6
2007-01-12,67.0
2007-01-15,66.8
2007-01-16,67.25
2007-01-17,67.75
2007-01-18,67.6
2007-01-19,67.75
2007-01-22,68.5
2007-01-23,68.7
2007-01-24,68.5
2007-01-25,68.5
2007-01-26,68.55
2007-01-29,68.25
2007-01-30,68.1
2007-01-31,67.5
2007-02-01,68.0
2007-02-02,69.0
2007-02-05,69.0
2007-02-06,69.0
2007-02-07,69.0
2007-02-08,69.0
2007-02-09,68.6
2007-02-12,68.8
2007-02-13,68.5
2007-02-14,68.5
2007-02-15,68.5
2007-02-16,68.4
2007-02-19,68.75
2007-02-20,68.75
2007-02-21,68.25
2007-02-22,68.9
2007-02-23,68.7
2007-02-26,69.3
2007-02-27,69.25
2007-02-28,69.25
2007-03-01,69.5
2007-03-02,69.95
2007-03-05,69.55
2007-03-06,69.8
2007-03-07,70.0
2007-03-08,70.6
2007-03-09,71.45
2007-03-12,70.8
2007-03-13,70.6
2007-03-14,70.6
2007-03-15,70.25
2007-03-16,70.5
2007-03-19,70.75
2007-03-20,70.75
2007-03-21,71.0
2007-03-22,72.0
2007-03-23,72.0
2007-03-26,72.0
2007-03-27,72.0
2007-03-28,72.0
2007-03-29,72.0
2007-03-30,72.0
2007-04-02,74.5
2007-04-03,73.55
2007-04-04,73.65
2007-04-05,73.2
2007-04-09,73.15
2007-04-10,72.4
2007-04-11,71.2
2007-04-12,70.0
2007-04-13,70.25
2007-04-16,70.3
2007-04-17,70.8
2007-04-18,71.5
2007-04-19,71.35
2007-04-20,72.0
2007-04-23,71.8
2007-04-24,71.6
2007-04-25,71.6
2007-04-26,71.8
2007-04-27,71.8
2007-04-30,71.5
2007-05-01,71.5
2007-05-02,71.5
2007-05-03,71.7
2007-05-04,72.25
2007-05-07,72.25
2007-05-08,72.5
2007-05-09,73.0
2007-05-10,72.5
2007-05-11,72.5
2007-05-14,72.95
2007-05-15,72.5
2007-05-16,72.6
2007-05-17,72.5
2007-05-18,72.25
2007-05-21,72.0
2007-05-22,72.0
2007-05-23,72.0
2007-05-24,72.0
2007-05-25,72.0
2007-05-28,72.6
2007-05-29,73.0
2007-05-30,72.75
2007-05-31,73.65
2007-06-01,74.4
2007-06-04,75.5
2007-06-05,75.5
2007-06-06,75.0
2007-06-07,74.85
2007-06-08,75.1
2007-06-11,75.5
2007-06-12,75.5
2007-06-13,75.5
2007-06-14,76.0
2007-06-15,76.0
2007-06-18,76.0
2007-06-19,76.0
2007-06-20,76.0
2007-06-21,76.75
2007-06-22,77.0
2007-06-25,78.3
2007-06-26,78.3
2007-06-27,78.3
2007-06-28,78.3
2007-06-29,78.3
2007-07-02,77.65
2007-07-03,76.7
2007-07-04,76.6
2007-07-05,75.1
2007-07-06,75.6
2007-07-09,75.95
2007-07-10,76.6
2007-07-11,76.8
2007-07-12,77.0
2007-07-13,77.5
2007-07-16,77.6
2007-07-17,77.7
2007-07-18,78.0
2007-07-19,77.8
2007-07-20,78.6
2007-07-23,78.6
2007-07-24,78.6
2007-07-25,78.6
2007-07-26,78.25
2007-07-27,78.25
2007-07-30,80.2
2007-07-31,81.4
2007-08-01,82.25
2007-08-02,82.8
2007-08-03,84.4
2007-08-06,85.25
2007-08-07,84.5
2007-08-08,85.15
2007-08-09,85.5
2007-08-10,86.2
2007-08-13,86.3
2007-08-14,86.0
2007-08-15,86.25
2007-08-16,86.5
2007-08-17,85.5
2007-08-20,85.5
2007-08-21,84.5
2007-08-22,86.0
2007-08-23,86.0
2007-08-24,86.0
2007-08-27,86.0
2007-08-28,86.0
2007-08-29,86.0
2007-08-30,86.0
2007-08-31,86.55
2007-09-03,89.6
2007-09-04,90.85
2007-09-05,91.0
2007-09-06,92.0
2007-09-07,92.5
2007-09-10,91.75
2007-09-11,91.5
2007-09-12,91.5
2007-09-13,91.5
2007-09-14,91.35
2007-09-17,92.5
2007-09-18,92.75
2007-09-19,92.75
2007-09-20,94.0
2007-09-21,96.0
2007-09-24,94.75
2007-09-25,94.75
2007-09-26,94.75
2007-09-27,95.5
2007-09-28,95.6
2007-10-01,102.7
2007-10-02,102.2
2007-10-03,101.5
2007-10-04,102.0
2007-10-08,105.75
2007-10-09,106.2
2007-10-10,108.2
2007-10-11,108.0
2007-10-12,107.75
2007-10-15,108.5
2007-10-16,110.5
2007-10-17,110.25
2007-10-18,111.0
2007-10-19,112.0
2007-10-22,110.0
2007-10-23,110.0
2007-10-24,110.0
2007-10-25,115.75
2007-10-26,115.15
2007-10-29,132.0
2007-10-30,126.25
2007-10-31,126.0
2007-11-01,127.5
2007-11-02,128.0
2007-11-05,128.5
2007-11-06,127.9
2007-11-07,128.75
2007-11-08,127.5
2007-11-09,127.4
2007-11-12,127.25
2007-11-13,127.5
2007-11-14,126.75
2007-11-15,126.75
2007-11-16,126.9
2007-11-19,127.25
2007-11-20,127.25
2007-11-21,127.25
2007-11-22,127.25
2007-11-23,127.25
2007-11-26,128.0
2007-11-27,128.0
2007-11-28,128.0
2007-11-29,128.0
2007-11-30,128.0
2007-12-03,123.0
2007-12-04,123.5
2007-12-05,123.88
2007-12-06,126.0
2007-12-07,127.0
2007-12-10,127.1
2007-12-11,128.0
2007-12-12,128.2
2007-12-13,128.5
2007-12-14,128.2
2007-12-17,128.1
2007-12-18,128.1
2007-12-19,127.5
2007-12-20,127.75
2007-12-21,127.75
2007-12-24,127.75
2007-12-26,127.75
2007-12-27,127.7
2007-12-28,127.75
2008-01-02,127.75
2008-01-03,127.55
2008-01-04,129.0
2008-01-07,131.75
2008-01-08,130.75
2008-01-09,131.0
2008-01-10,130.5
2008-01-11,130.0
2008-01-14,130.5
2008-01-15,130.5
2008-01-16,130.75
2008-01-17,129.0
2008-01-18,131.0
2008-01-21,131.0
2008-01-22,130.4
2008-01-23,119.75
2008-01-24,130.4
2008-01-25,131.4
2008-01-29,134.75
2008-01-30,139.0
2008-01-31,139.5
2008-02-01,140.0
2008-02-04,140.0
2008-02-05,138.5
2008-02-06,138.0
2008-02-07,138.0
2008-02-08,139.25
2008-02-11,139.0
2008-02-12,140.0
2008-02-13,142.0
2008-02-14,142.0
2008-02-15,145.0
2008-02-18,143.0
2008-02-19,143.0
2008-02-20,143.0
2008-02-21,142.5
2008-02-22,142.5
2008-02-25,143.0
2008-02-26,143.0
2008-02-27,143.0
2008-02-28,143.0
2008-02-29,143.1
2008-03-04,145.0
2008-03-05,144.7
2008-03-06,146.0
2008-03-07,145.5
2008-03-10,145.0
2008-03-11,142.0
2008-03-12,143.5
2008-03-13,143.5
2008-03-14,143.5
2008-03-17,140.65
2008-03-18,140.5
2008-03-19,140.5
2008-03-20,140.5
2008-03-25,138.0
2008-03-26,139.0
2008-03-27,139.3
2008-03-28,139.4
2008-04-01,125.5
2008-04-02,125.0
2008-04-03,125.25
2008-04-04,130.25
2008-04-07,131.0
2008-04-08,130.25
2008-04-09,130.0
2008-04-10,132.6
2008-04-11,135.5
2008-04-14,136.0
2008-04-15,137.25
2008-04-16,139.0
2008-04-17,138.0
2008-04-18,138.0
2008-04-21,138.75
2008-04-22,138.75
2008-04-23,138.75
2008-04-24,138.75
2008-04-25,138.75
2008-04-29,141.2
2008-04-30,142.0
2008-05-01,143.0
2008-05-02,147.0
2008-05-06,148.5
2008-05-07,149.0
2008-05-08,149.0
2008-05-09,149.0
2008-05-12,150.0
2008-05-13,150.0
2008-05-14,151.5
2008-05-15,151.5
2008-05-16,153.0
2008-05-19,155.25
2008-05-20,153.5
2008-05-21,153.5
2008-05-22,158.0
2008-05-23,158.0
2008-05-27,158.0
2008-05-28,158.0
2008-05-29,158.0
2008-05-30,158.0
2008-06-03,173.5
2008-06-04,172.0
2008-06-05,171.5
2008-06-06,173.0
2008-06-09,174.0
2008-06-10,176.0
2008-06-11,177.0
2008-06-12,179.0
2008-06-13,178.25
2008-06-16,179.0
2008-06-17,180.0
2008-06-18,182.0
2008-06-19,181.0
2008-06-20,184.65
2008-06-23,182.0
2008-06-24,183.0
2008-06-25,184.5
2008-06-26,184.5
2008-06-27,185.0
2008-07-01,224.0
2008-07-02,210.5
2008-07-03,210.5
2008-07-04,216.0
2008-07-07,218.0
2008-07-08,216.75
2008-07-09,214.0
2008-07-10,203.5
2008-07-11,215.0
2008-07-14,217.0
2008-07-15,217.0
2008-07-16,215.25
2008-07-17,215.0
2008-07-18,213.75
2008-07-21,215.5
2008-07-22,211.25
2008-07-23,210.25
2008-07-24,211.25
2008-07-25,211.2
2008-07-29,186.0
2008-07-30,186.0
2008-07-31,193.75
2008-08-01,191.0
2008-08-04,189.5
2008-08-05,183.2
2008-08-06,183.0
2008-08-07,185.25
2008-08-08,186.65
2008-08-11,186.4
2008-08-12,184.75
2008-08-13,188.75
2008-08-14,192.65
2008-08-15,190.75
2008-08-18,190.5
2008-08-19,193.0
2008-08-20,193.15
2008-08-21,196.4
2008-08-22,194.55
2008-08-25,194.55
2008-08-26,192.75
2008-08-27,194.4
2008-08-28,195.4
2008-08-29,192.5
2008-09-02,193.0
2008-09-03,186.5
2008-09-04,187.0
2008-09-05,185.0
2008-09-08,187.0
2008-09-09,182.0
2008-09-10,175.0
2008-09-11,180.0
2008-09-12,174.0
2008-09-15,170.0
2008-09-16,156.0
2008-09-17,161.0
2008-09-18,162.1
2008-09-19,171.0
2008-09-22,167.3
2008-09-23,166.8
2008-09-24,168.05
2008-09-25,166.55
2008-09-26,162.05
2008-09-30,148.0
2008-10-01,149.15
2008-10-02,150.15
2008-10-03,153.7
2008-10-06,140.0
2008-10-07,140.15
2008-10-08,134.0
2008-10-09,135.9
2008-10-10,124.45
2008-10-13,126.5
2008-10-14,129.4
2008-10-15,128.25
2008-10-16,122.25
2008-10-17,109.9
2008-10-20,107.85
2008-10-21,108.5
2008-10-22,121.0
2008-10-23,115.0
2008-10-24,117.5
2008-10-27,118.5
2008-10-28,118.75
2008-10-29,118.0
2008-10-30,100.0
2008-10-31,105.0
2008-11-04,110.0
2008-11-05,114.5
2008-11-06,109.75
