Date,Settle
2008-03-18,15.85
2008-03-19,15.9
2008-03-20,16.28
2008-03-24,16.28
2008-03-25,16.55
2008-03-26,16.42
2008-03-27,15.75
2008-03-28,15.36
2008-03-31,15.43
2008-04-01,15.4
2008-04-02,15.95
2008-04-03,15.9
2008-04-04,15.88
2008-04-07,15.9
2008-04-08,15.75
2008-04-09,15.84
2008-04-10,16.3
2008-04-11,16.16
2008-04-14,16.4
2008-04-15,16.4
2008-04-16,16.3
2008-04-17,16.25
2008-04-18,16.15
2008-04-21,16.3
2008-04-22,16.3
2008-04-23,16.08
2008-04-24,16.0
2008-04-25,16.0
2008-04-28,15.95
2008-05-05,16.4
2008-05-06,16.85
2008-05-07,16.59
2008-05-08,16.61
2008-05-09,16.89
2008-05-12,17.0
2008-05-13,17.15
2008-05-14,16.85
2008-05-15,16.9
2008-05-16,17.0
2008-05-19,17.05
2008-05-20,17.1
2008-05-21,17.33
2008-05-22,17.38
2008-05-23,17.35
2008-05-26,17.28
2008-05-27,17.6
2008-05-28,17.65
2008-05-29,17.83
2008-05-30,17.85
2008-06-02,17.93
2008-06-03,19.04
2008-06-04,19.15
2008-06-05,19.45
2008-06-06,20.38
2008-06-09,20.33
2008-06-10,20.15
2008-06-11,20.2
2008-06-12,20.1
2008-06-13,20.15
2008-06-16,20.2
2008-06-17,20.29
2008-06-18,20.43
2008-06-19,20.43
2008-06-20,20.21
2008-06-23,20.35
2008-06-24,20.41
2008-06-25,20.1
2008-06-26,20.32
2008-06-27,20.57
2008-06-30,20.9
2008-07-01,21.91
2008-07-02,22.34
2008-07-03,21.3
2008-07-04,21.9
2008-07-07,22.94
2008-07-08,21.54
2008-07-09,21.8
2008-07-10,22.05
2008-07-11,22.54
2008-07-14,22.45
2008-07-15,21.95
2008-07-16,21.25
2008-07-17,21.85
2008-07-18,21.11
2008-07-21,21.1
2008-07-22,20.8
2008-07-23,20.03
2008-07-24,20.27
2008-07-25,20.12
2008-07-28,19.52
2008-07-29,18.95
2008-07-30,18.25
2008-07-31,17.72
2008-08-04,18.14
2008-08-05,18.6
2008-08-06,18.59
2008-08-07,19.2
2008-08-08,19.27
2008-08-11,19.45
2008-08-12,19.96
2008-08-13,19.85
2008-08-14,19.71
2008-08-15,19.67
2008-08-18,20.14
