Date,Settle
2013-10-07,62.86
2013-10-08,62.55
2013-10-09,62.95
2013-10-10,62.65
2013-10-11,62.7
2013-10-14,62.29
2013-10-15,61.88
2013-10-16,62.08
2013-10-17,61.85
2013-10-18,61.38
2013-10-21,61.15
2013-10-22,61.18
2013-10-23,60.95
2013-10-24,60.6
2013-10-25,60.29
2013-10-28,59.58
2013-10-29,59.63
2013-10-30,59.63
2013-10-31,60.18
2013-11-01,60.2
2013-11-04,60.56
2013-11-05,60.9
2013-11-06,60.9
2013-11-07,60.7
2013-11-08,60.79
2013-11-11,61.21
2013-11-12,61.08
2013-11-13,61.15
2013-11-14,61.35
2013-11-15,61.88
2013-11-18,61.7
2013-11-19,61.53
2013-11-20,61.25
2013-11-21,60.69
2013-11-22,60.58
2013-11-25,60.51
2013-11-26,60.56
2013-11-27,60.75
2013-11-28,60.75
2013-11-29,63.96
2013-12-02,64.24
2013-12-03,64.99
2013-12-04,64.8
2013-12-05,65.11
2013-12-06,64.86
2013-12-09,64.16
2013-12-10,64.28
2013-12-11,63.97
2013-12-12,63.43
2013-12-13,63.52
2013-12-16,63.69
2013-12-17,63.89
2013-12-18,63.99
2013-12-19,64.19
2013-12-20,64.13
2013-12-23,64.11
2013-12-24,64.16
2013-12-26,64.16
2013-12-27,64.27
2013-12-30,64.02
2013-12-31,64.38
2014-01-02,64.03
2014-01-03,63.75
2014-01-06,64.1
2014-01-07,63.93
2014-01-08,64.23
2014-01-09,63.98
2014-01-10,63.4
2014-01-13,62.37
2014-01-14,61.6
2014-01-15,61.19
2014-01-16,61.8
2014-01-17,62.08
2014-01-20,61.65
2014-01-21,61.8
2014-01-22,61.2
2014-01-23,61.25
2014-01-24,61.55
2014-01-27,59.35
2014-01-28,58.05
2014-01-29,56.55
2014-01-30,56.2
2014-01-31,56.38
2014-02-03,55.53
2014-02-04,55.88
2014-02-05,54.55
2014-02-06,55.83
2014-02-07,56.0
2014-02-10,54.85
2014-02-11,55.25
2014-02-12,55.83
2014-02-13,55.05
2014-02-14,54.23
2014-02-17,53.83
2014-02-18,54.06
2014-02-19,52.95
2014-02-20,52.84
2014-02-21,52.63
2014-02-24,51.98
2014-02-25,51.58
2014-02-26,50.37
2014-02-27,51.76
2014-02-28,50.74
2014-03-03,53.9
2014-03-04,51.87
2014-03-05,51.23
2014-03-06,51.33
2014-03-07,51.82
2014-03-10,51.02
2014-03-11,50.73
2014-03-12,50.41
2014-03-13,50.52
2014-03-14,50.98
2014-03-17,50.25
2014-03-18,49.97
2014-03-19,49.14
2014-03-20,48.39
2014-03-21,48.16
2014-03-24,46.99
2014-03-25,46.89
2014-03-26,48.31
2014-03-27,48.16
2014-03-28,47.66
2014-03-31,46.56
2014-04-01,45.7
2014-04-02,43.92
2014-04-03,43.3
2014-04-04,42.78
2014-04-07,43.68
2014-04-08,43.7
2014-04-09,44.0
2014-04-10,43.82
2014-04-11,44.7
2014-04-14,45.7
2014-04-15,45.35
2014-04-16,45.76
2014-04-17,45.17
2014-04-21,45.17
2014-04-22,44.36
2014-04-23,44.1
2014-04-24,44.05
2014-04-25,43.44
2014-04-28,43.51
2014-04-29,44.75
2014-04-30,44.05
2014-05-01,43.68
2014-05-02,44.15
2014-05-05,44.0
2014-05-06,43.75
2014-05-07,43.38
2014-05-08,43.69
2014-05-09,43.93
2014-05-12,44.18
2014-05-13,44.19
2014-05-14,44.12
2014-05-15,43.85
2014-05-16,43.75
2014-05-19,43.75
2014-05-20,43.73
2014-05-21,43.82
2014-05-22,43.98
2014-05-23,43.85
2014-05-26,43.9
2014-05-27,43.6
2014-05-28,43.5
2014-05-29,42.92
2014-05-30,42.81
2014-06-02,42.39
2014-06-03,42.19
2014-06-04,41.75
2014-06-05,41.17
2014-06-06,40.56
2014-06-09,40.41
2014-06-10,40.68
2014-06-11,40.71
2014-06-12,41.2
2014-06-16,42.78
2014-06-17,41.71
2014-06-18,41.46
2014-06-19,41.51
2014-06-20,41.45
2014-06-23,41.61
2014-06-24,41.33
2014-06-25,41.4
2014-06-26,40.86
2014-06-27,41.05
2014-06-30,40.68
2014-07-01,40.13
2014-07-02,38.95
2014-07-03,38.85
2014-07-04,38.1
2014-07-07,37.23
2014-07-08,37.2
2014-07-09,37.11
2014-07-10,36.7
2014-07-11,36.9
2014-07-14,37.75
2014-07-15,37.95
2014-07-16,38.6
2014-07-17,39.65
2014-07-18,39.79
2014-07-21,38.86
2014-07-22,38.98
2014-07-23,39.25
2014-07-24,39.59
2014-07-25,40.95
2014-07-28,41.3
2014-07-29,41.29
2014-07-30,43.4
2014-07-31,42.8
2014-08-01,42.93
2014-08-04,41.9
2014-08-05,42.05
2014-08-06,43.23
2014-08-07,43.87
2014-08-08,43.95
2014-08-11,43.91
2014-08-12,43.81
2014-08-13,44.2
2014-08-14,45.22
2014-08-15,45.66
2014-08-18,45.58
2014-08-19,45.25
2014-08-20,44.59
2014-08-21,44.25
2014-08-22,44.85
2014-08-25,45.55
2014-08-26,46.06
2014-08-27,46.45
2014-08-28,53.59
2014-08-29,53.6
2014-09-01,54.96
2014-09-02,54.63
2014-09-03,53.35
2014-09-04,53.87
2014-09-05,53.96
2014-09-08,52.58
2014-09-09,50.91
2014-09-10,51.1
2014-09-11,51.44
2014-09-12,51.31
2014-09-15,59.6
2014-09-16,51.96
2014-09-17,51.81
2014-09-18,52.32
2014-09-19,52.2
2014-09-22,51.83
2014-09-23,51.12
2014-09-24,51.22
2014-09-25,51.95
2014-09-30,58.25
2014-10-01,58.25
2014-10-02,57.67
2014-10-03,56.5
2014-10-06,55.11
2014-10-07,54.66
2014-10-08,54.71
2014-10-09,55.0
2014-10-10,54.36
2014-10-13,53.1
2014-10-14,52.85
2014-10-15,52.93
2014-10-16,53.4
2014-10-17,2034.0
2014-10-18,52.73
2014-10-20,52.73
2014-10-21,52.58
2014-10-22,52.98
2014-10-23,52.35
2014-10-24,52.48
2014-10-27,52.05
2014-10-28,52.48
2014-10-29,53.2
2014-10-30,54.55
2014-10-31,53.88
2014-11-03,53.88
2014-11-04,53.08
2014-11-05,52.83
2014-11-06,52.9
2014-11-07,53.8
2014-11-10,54.0
2014-11-11,53.46
2014-11-12,53.29
2014-11-13,52.9
2014-11-14,52.75
2014-11-17,53.55
2014-11-18,53.74
2014-11-19,53.51
2014-11-20,53.74
2014-11-21,53.97
2014-11-24,55.09
2014-11-26,56.2
2014-11-27,57.92
2014-11-28,57.04
2014-12-01,56.57
2014-12-02,55.69
2014-12-03,56.06
2014-12-04,55.52
2014-12-05,55.45
2014-12-08,54.87
2014-12-09,54.71
2014-12-10,54.74
2014-12-11,53.89
2014-12-12,53.86
2014-12-15,53.47
2014-12-16,53.44
2014-12-17,53.71
2014-12-18,54.26
2014-12-19,53.95
2014-12-22,53.34
2014-12-23,53.36
2014-12-24,53.89
2014-12-26,53.89
2014-12-29,51.81
2014-12-30,51.55
2014-12-31,51.55
2015-01-02,50.35
2015-01-05,47.8
2015-01-06,46.8
2015-01-07,46.69
2015-01-08,47.51
2015-01-09,46.93
2015-01-12,47.26
2015-01-13,48.45
2015-01-14,49.11
2015-01-15,48.83
2015-01-16,47.93
2015-01-19,47.08
2015-01-20,46.45
2015-01-21,46.81
2015-01-22,46.73
2015-01-23,46.58
2015-01-26,46.73
2015-01-27,47.15
2015-01-28,48.0
2015-01-29,46.48
2015-01-30,45.9
2015-02-02,46.3
2015-02-03,45.8
2015-02-04,45.99
2015-02-05,47.47
2015-02-06,47.48
2015-02-09,47.2
2015-02-10,50.19
2015-02-11,50.88
2015-02-12,51.82
2015-02-13,52.75
2015-02-16,52.69
2015-02-17,51.3
2015-02-18,51.79
2015-02-19,50.13
2015-02-20,50.98
2015-02-23,50.53
2015-02-24,51.29
2015-02-25,51.73
2015-02-26,50.68
2015-02-27,50.92
2015-03-02,50.04
2015-03-03,49.48
2015-03-04,49.82
2015-03-05,48.89
2015-03-06,48.26
2015-03-09,48.13
2015-03-10,48.08
2015-03-11,48.79
2015-03-12,48.73
2015-03-13,48.17
2015-03-16,48.05
2015-03-17,47.69
2015-03-18,47.78
2015-03-19,47.73
2015-03-20,47.39
2015-03-23,47.0
2015-03-24,47.23
2015-03-25,47.3
2015-03-26,48.05
2015-03-27,48.89
2015-03-30,47.15
2015-03-31,46.53
2015-04-01,47.04
2015-04-02,46.96
2015-04-06,46.96
2015-04-07,46.45
2015-04-08,46.85
2015-04-09,47.03
2015-04-10,46.95
2015-04-13,47.44
2015-04-14,47.36
2015-04-15,47.3
2015-04-16,47.13
2015-04-17,46.69
2015-04-20,46.48
2015-04-21,46.56
2015-04-22,46.65
2015-04-23,46.4
2015-04-24,46.38
2015-04-27,46.25
2015-04-28,46.11
2015-04-29,45.45
2015-04-30,45.2
2015-05-01,45.2
2015-05-04,44.44
2015-05-05,44.48
2015-05-06,44.74
2015-05-07,44.6
2015-05-08,44.64
2015-05-11,45.27
2015-05-12,45.28
2015-05-13,45.51
2015-05-14,45.51
2015-05-15,45.35
2015-05-18,44.75
2015-05-19,44.03
2015-05-20,43.68
2015-05-21,43.31
2015-05-22,42.75
2015-05-25,42.75
2015-05-26,42.64
2015-05-27,42.55
2015-05-28,42.23
2015-05-29,42.04
2015-06-01,41.91
2015-06-02,42.34
2015-06-03,42.59
2015-06-04,42.43
2015-06-05,42.28
2015-06-08,42.62
2015-06-09,42.65
2015-06-10,42.78
2015-06-11,42.53
2015-06-12,42.58
2015-06-15,43.2
2015-06-16,43.55
2015-06-17,43.76
2015-06-18,43.92
2015-06-19,44.55
2015-06-22,45.13
2015-06-23,45.69
2015-06-24,45.41
2015-06-25,45.61
2015-06-26,46.23
2015-06-29,43.54
2015-06-30,44.43
2015-07-01,44.73
2015-07-02,44.75
2015-07-03,44.88
2015-07-06,44.79
2015-07-07,44.5
2015-07-08,44.63
2015-07-09,45.01
2015-07-10,45.13
2015-07-13,46.0
2015-07-14,45.98
2015-07-15,46.33
2015-07-16,46.45
2015-07-17,46.3
2015-07-20,46.25
2015-07-21,46.35
2015-07-22,46.04
2015-07-23,45.94
2015-07-24,46.2
2015-07-27,45.93
2015-07-28,46.06
2015-07-29,46.01
2015-07-30,48.0
2015-07-31,48.0
2015-08-03,47.2
2015-08-04,47.43
