Date,Settle
2013-01-21,26.35
2013-01-22,25.95
2013-01-23,25.9
2013-01-24,25.62
2013-01-25,25.75
2013-01-28,25.74
2013-01-29,25.64
2013-01-30,25.61
2013-01-31,25.57
2013-02-01,25.71
2013-02-04,25.91
2013-02-05,25.87
2013-02-06,25.65
2013-02-07,25.96
2013-02-08,26.12
2013-02-11,25.81
2013-02-12,25.8
2013-02-13,25.8
2013-02-14,25.88
2013-02-15,25.7
2013-02-18,25.6
2013-02-19,25.52
2013-02-20,25.35
2013-02-21,25.62
2013-02-22,25.71
2013-02-25,25.82
2013-02-26,25.86
2013-02-27,25.98
2013-02-28,26.23
2013-03-01,26.15
2013-03-04,26.28
2013-03-05,26.43
2013-03-06,26.3
2013-03-07,26.22
2013-03-08,26.32
2013-03-11,26.38
2013-03-12,26.33
2013-03-13,26.32
2013-03-14,26.27
2013-03-15,26.05
2013-03-18,26.27
2013-03-19,26.44
2013-03-20,26.59
2013-03-21,26.64
2013-03-22,26.69
2013-03-25,27.29
2013-03-26,27.32
2013-03-27,27.16
2013-03-28,27.44
2013-04-01,27.44
2013-04-02,27.05
2013-04-03,27.3
2013-04-04,27.32
2013-04-05,27.33
2013-04-08,27.0
2013-04-09,27.0
2013-04-10,27.0
2013-04-11,27.18
2013-04-12,27.1
2013-04-15,27.11
2013-04-16,27.01
2013-04-17,26.87
2013-04-18,26.7
2013-04-19,26.65
2013-04-22,26.35
2013-04-23,26.44
2013-04-24,26.62
2013-04-25,26.72
2013-04-26,26.42
2013-04-29,26.57
2013-04-30,26.58
2013-05-01,26.48
2013-05-02,26.4
2013-05-03,26.65
2013-05-06,26.65
2013-05-07,26.8
2013-05-08,26.8
2013-05-09,26.6
2013-05-10,26.4
2013-05-13,26.53
2013-05-14,26.61
2013-05-15,26.72
2013-05-16,26.88
2013-05-17,26.87
2013-05-20,27.11
2013-05-21,27.11
2013-05-22,27.04
2013-05-23,27.04
2013-05-24,26.75
2013-05-27,26.75
2013-05-28,26.74
2013-05-29,26.75
2013-05-30,26.74
2013-05-31,26.57
2013-06-03,26.36
2013-06-04,26.29
2013-06-05,26.35
2013-06-06,26.22
2013-06-07,26.15
2013-06-10,26.13
2013-06-11,26.08
2013-06-12,26.26
2013-06-13,26.3
2013-06-14,26.58
2013-06-17,26.53
2013-06-18,26.14
2013-06-19,26.25
2013-06-20,26.17
2013-06-21,26.08
2013-06-24,26.09
2013-06-25,26.25
2013-06-26,26.2
2013-06-27,26.2
2013-06-28,26.42
2013-07-01,26.45
2013-07-02,26.45
2013-07-03,26.59
2013-07-04,26.4
2013-07-05,26.35
2013-07-08,26.36
2013-07-09,26.41
2013-07-10,26.5
2013-07-11,26.46
2013-07-12,26.36
2013-07-15,26.26
2013-07-16,26.23
2013-07-17,26.31
2013-07-18,26.39
2013-07-19,26.36
2013-07-22,26.38
2013-07-23,26.44
2013-07-24,26.36
2013-07-25,26.38
2013-07-26,26.35
2013-07-29,26.38
2013-07-30,26.27
2013-07-31,26.39
2013-08-01,26.13
2013-08-02,25.99
2013-08-05,26.02
2013-08-06,26.1
2013-08-07,26.27
2013-08-08,26.2
2013-08-09,26.22
2013-08-12,25.89
2013-08-13,25.91
2013-08-14,26.085
2013-08-15,26.06
2013-08-16,25.95
2013-08-19,25.93
2013-08-20,25.93
2013-08-21,25.84
2013-08-22,25.93
2013-08-23,25.68
2013-08-26,25.68
2013-08-27,25.7
2013-08-28,25.78
2013-08-29,25.8
2013-08-30,26.39
2013-09-02,26.52
2013-09-03,26.58
2013-09-04,26.58
2013-09-05,26.63
2013-09-06,26.73
2013-09-09,26.86
2013-09-10,26.81
2013-09-11,26.94
2013-09-12,27.17
2013-09-13,26.95
2013-09-16,26.98
2013-09-17,26.675
2013-09-18,26.725
2013-09-19,26.72
2013-09-20,26.78
2013-09-23,26.63
2013-09-24,26.47
2013-09-25,26.55
2013-09-26,26.59
2013-09-27,26.71
2013-09-30,27.37
2013-10-01,27.38
2013-10-02,27.3
2013-10-03,27.19
2013-10-04,27.22
2013-10-07,27.563
2013-10-08,27.563
2013-10-09,27.601
2013-10-10,27.463
2013-10-11,27.413
2013-10-14,27.464
2013-10-15,27.455
2013-10-16,27.313
2013-10-17,27.288
2013-10-18,27.296
2013-10-21,27.263
2013-10-22,27.152
2013-10-23,27.226
2013-10-24,27.238
2013-10-25,27.151
2013-10-28,27.051
2013-10-29,26.812
2013-10-30,26.782
2013-10-31,27.405
2013-11-01,27.311
2013-11-04,27.511
2013-11-05,27.818
2013-11-06,28.037
2013-11-07,27.904
2013-11-08,28.014
2013-11-11,28.243
2013-11-12,28.287
2013-11-13,27.801
2013-11-14,27.951
2013-11-15,28.259
2013-11-18,28.184
2013-11-19,28.029
2013-11-20,27.736
2013-11-21,27.757
2013-11-22,27.751
2013-11-25,27.788
2013-11-26,27.813
2013-11-27,27.994
2013-11-28,28.299
2013-11-29,28.279
2013-12-02,28.572
2013-12-03,29.291
2013-12-04,28.849
2013-12-05,28.547
2013-12-06,28.244
2013-12-09,27.989
2013-12-10,27.908
2013-12-11,27.825
2013-12-12,27.674
2013-12-13,27.696
2013-12-16,27.784
2013-12-17,27.792
2013-12-18,27.793
2013-12-19,27.805
2013-12-20,27.883
2013-12-23,27.762
2013-12-24,27.829
2013-12-26,27.829
2013-12-27,27.75
2013-12-30,27.414
2013-12-31,27.6
2014-01-02,27.352
2014-01-03,27.263
2014-01-06,27.422
2014-01-07,27.262
2014-01-08,27.543
2014-01-09,27.481
2014-01-10,27.018
2014-01-13,26.501
2014-01-14,26.506
2014-01-15,26.61
2014-01-16,26.766
2014-01-17,26.559
2014-01-20,26.625
2014-01-21,26.738
2014-01-22,26.6
2014-01-23,26.588
2014-01-24,26.75
2014-01-27,26.018
2014-01-28,26.043
2014-01-29,25.721
2014-01-30,25.514
2014-01-31,25.196
2014-02-03,24.838
2014-02-04,24.86
2014-02-05,24.65
2014-02-06,25.095
2014-02-07,25.0
2014-02-10,24.91
2014-02-11,24.887
2014-02-12,25.132
2014-02-13,24.664
2014-02-14,24.337
2014-02-17,24.194
2014-02-18,24.314
2014-02-19,23.993
2014-02-20,23.974
2014-02-21,23.757
2014-02-24,23.141
2014-02-25,23.121
2014-02-26,22.987
2014-02-27,23.416
2014-02-28,23.334
2014-03-03,25.481
2014-03-04,24.075
2014-03-05,24.01
2014-03-06,24.264
2014-03-07,24.434
2014-03-10,23.833
2014-03-11,23.666
2014-03-12,23.773
2014-03-13,23.894
2014-03-14,24.06
2014-03-17,23.672
2014-03-18,23.512
2014-03-19,23.075
2014-03-20,22.888
2014-03-21,22.694
2014-03-24,22.463
2014-03-25,22.33
2014-03-26,22.485
2014-03-27,22.223
2014-03-28,22.21
2014-03-31,21.426
2014-04-01,21.089
2014-04-02,20.259
2014-04-03,20.269
2014-04-04,20.28
2014-04-07,21.392
2014-04-08,21.092
2014-04-09,21.447
2014-04-10,21.487
2014-04-11,21.744
2014-04-14,22.202
2014-04-15,22.068
2014-04-16,22.145
