Date,Settle
2012-05-11,597.0
2012-05-14,598.25
2012-05-15,608.5
2012-05-16,638.75
2012-05-17,657.75
2012-05-18,695.25
2012-05-21,704.0
2012-05-22,685.5
2012-05-23,665.5
2012-05-24,663.0
2012-05-25,680.0
2012-05-29,656.75
2012-05-30,653.75
2012-05-31,643.75
2012-06-01,612.25
2012-06-04,627.75
2012-06-05,613.25
2012-06-06,624.25
2012-06-07,641.75
2012-06-08,630.25
2012-06-11,630.5
2012-06-12,616.0
2012-06-13,616.0
2012-06-14,623.5
2012-06-15,609.5
2012-06-18,630.25
2012-06-19,649.5
2012-06-20,664.0
2012-06-21,661.75
2012-06-22,673.25
2012-06-25,724.25
2012-06-26,729.0
2012-06-27,732.0
2012-06-28,726.0
2012-06-29,757.25
2012-07-02,772.5
2012-07-03,799.25
2012-07-05,838.0
2012-07-06,806.25
2012-07-09,828.25
2012-07-10,821.25
2012-07-11,826.25
2012-07-12,846.75
2012-07-13,847.75
2012-07-16,884.5
2012-07-17,885.0
2012-07-18,903.25
2012-07-19,935.0
2012-07-20,943.25
2012-07-23,912.75
2012-07-24,878.75
2012-07-25,903.25
2012-07-26,884.0
2012-07-27,898.0
2012-07-30,914.5
2012-07-31,888.25
2012-08-01,879.5
2012-08-02,865.0
2012-08-03,891.25
2012-08-06,893.25
2012-08-07,889.0
2012-08-08,899.25
2012-08-09,913.0
2012-08-10,885.25
2012-08-13,856.75
2012-08-14,839.75
2012-08-15,846.75
2012-08-16,861.75
2012-08-17,874.5
2012-08-20,879.5
2012-08-21,900.5
2012-08-22,896.5
2012-08-23,874.5
2012-08-24,867.5
2012-08-27,862.0
2012-08-28,854.75
2012-08-29,885.5
2012-08-30,883.5
2012-08-31,889.5
2012-09-04,888.75
2012-09-05,867.75
2012-09-06,891.75
2012-09-07,905.0
2012-09-10,889.75
2012-09-11,883.75
2012-09-12,890.0
2012-09-13,902.0
2012-09-14,924.25
2012-09-17,878.0
2012-09-18,863.5
2012-09-19,881.5
2012-09-20,879.5
2012-09-21,897.25
2012-09-24,892.0
2012-09-25,886.5
2012-09-26,869.25
2012-09-27,855.5
2012-09-28,902.5
2012-10-01,884.25
2012-10-02,871.5
2012-10-03,873.0
2012-10-04,869.25
2012-10-05,857.5
2012-10-08,861.0
2012-10-09,864.25
2012-10-10,869.75
2012-10-11,886.0
2012-10-12,856.75
2012-10-15,848.25
2012-10-16,847.75
2012-10-17,856.25
2012-10-18,868.5
2012-10-19,872.5
2012-10-22,878.25
2012-10-23,868.75
2012-10-24,884.0
2012-10-25,872.75
2012-10-26,863.75
2012-10-29,858.0
2012-10-30,856.75
2012-10-31,864.5
2012-11-01,868.5
2012-11-02,864.5
2012-11-05,866.0
2012-11-06,877.0
2012-11-07,894.0
2012-11-08,902.5
2012-11-09,886.5
2012-11-12,857.75
2012-11-13,851.0
2012-11-14,848.75
2012-11-15,845.5
2012-11-16,838.0
2012-11-19,841.75
2012-11-20,845.0
2012-11-21,845.25
2012-11-23,847.75
2012-11-26,849.0
2012-11-27,873.0
2012-11-28,876.0
2012-11-29,869.25
2012-11-30,863.5
2012-12-03,860.75
2012-12-04,856.5
2012-12-05,860.0
2012-12-06,862.0
2012-12-07,861.0
2012-12-10,848.75
2012-12-11,821.5
2012-12-12,812.0
2012-12-13,808.5
2012-12-14,814.0
2012-12-17,808.0
2012-12-18,811.25
2012-12-19,805.75
2012-12-20,790.5
2012-12-21,792.0
2012-12-24,793.75
2012-12-26,774.5
2012-12-27,772.25
2012-12-28,778.75
