Date,Settle
1988-01-04,126.3
1988-01-05,127.95
1988-01-06,128.6
1988-01-07,128.45
1988-01-08,127.85
1988-01-11,126.5
1988-01-12,127.0
1988-01-13,127.4
1988-01-14,127.35
1988-01-15,127.65
1988-01-18,129.5
1988-01-19,129.15
1988-01-20,129.45
1988-01-21,130.6
1988-01-22,130.4
1988-01-25,129.05
1988-01-26,130.05
1988-01-27,130.3
1988-01-28,130.55
1988-01-29,131.55
1988-02-01,133.4
1988-02-02,133.0
1988-02-03,134.0
1988-02-04,134.7
1988-02-05,136.7
1988-02-08,136.7
1988-02-09,136.55
1988-02-10,136.9
1988-02-11,138.0
1988-02-12,138.15
1988-02-16,136.0
1988-02-17,137.7
1988-02-18,137.25
1988-02-19,140.75
1988-02-22,142.25
1988-02-23,141.0
1988-02-24,141.15
1988-02-25,138.3
1988-02-26,137.15
1988-02-29,133.5
1988-03-01,133.45
1988-03-02,134.95
1988-03-03,134.0
1988-03-04,133.55
1988-03-07,132.05
1988-03-08,134.0
1988-03-09,134.4
1988-03-10,133.55
1988-03-11,135.55
1988-03-14,135.25
1988-03-15,134.8
1988-03-16,133.1
1988-03-17,130.75
1988-03-18,132.5
1988-03-21,131.5
1988-03-22,132.6
1988-03-23,133.95
1988-03-24,133.4
1988-03-25,134.4
1988-03-28,135.55
1988-03-29,135.4
1988-03-30,133.5
1988-03-31,134.5
1988-04-04,134.75
1988-04-05,133.4
1988-04-06,133.9
1988-04-07,133.3
1988-04-08,133.3
1988-04-11,133.3
1988-04-12,133.4
1988-04-13,134.6
1988-04-14,135.35
1988-04-15,135.9
1988-04-18,135.15
1988-04-19,134.75
1988-04-20,134.25
1988-04-21,134.4
1988-04-22,134.95
1988-04-25,134.8
1988-04-26,134.5
1988-04-27,132.8
1988-04-28,131.7
1988-04-29,130.6
1988-05-02,131.25
1988-05-03,133.15
1988-05-04,132.35
1988-05-05,133.3
1988-05-06,134.35
1988-05-09,133.75
1988-05-10,134.7
1988-05-11,134.6
1988-05-12,133.6
1988-05-13,132.6
1988-05-16,130.15
1988-05-17,131.0
1988-05-18,131.1
1988-05-19,133.2
1988-05-20,133.4
1988-05-23,132.05
1988-05-24,131.5
1988-05-25,131.6
1988-05-26,130.9
1988-05-27,131.4
1988-05-31,133.75
1988-06-01,133.45
1988-06-02,134.9
1988-06-03,135.3
1988-06-06,137.45
1988-06-07,138.3
1988-06-08,137.65
1988-06-09,140.7
1988-06-10,138.55
1988-06-13,136.3
1988-06-14,135.05
1988-06-15,136.0
1988-06-16,137.85
1988-06-17,138.5
1988-06-20,136.35
1988-06-21,136.15
1988-06-22,135.5
1988-06-23,133.25
1988-06-24,132.3
1988-06-27,132.55
1988-06-28,132.3
1988-06-29,130.9
1988-06-30,131.4
1988-07-01,133.0
1988-07-05,132.1
1988-07-06,133.55
1988-07-07,134.15
1988-07-08,134.7
1988-07-11,135.35
1988-07-12,135.45
1988-07-13,136.4
1988-07-14,136.4
1988-07-15,135.5
1988-07-18,135.0
1988-07-19,133.75
1988-07-20,137.5
1988-07-21,137.1
1988-07-22,137.7
1988-07-25,137.8
1988-07-26,132.95
1988-07-27,124.05
1988-07-28,123.8
1988-07-29,124.7
1988-08-01,116.65
1988-08-02,108.85
1988-08-03,118.2
1988-08-04,116.55
1988-08-05,115.8
1988-08-08,114.55
1988-08-09,118.35
1988-08-10,119.45
1988-08-11,117.45
1988-08-12,117.95
1988-08-15,117.0
1988-08-16,118.4
1988-08-17,118.15
1988-08-18,122.1
1988-08-19,124.7
1988-08-22,125.25
1988-08-23,121.2
1988-08-24,126.7
1988-08-25,126.6
1988-08-26,124.5
1988-08-29,121.0
1988-08-30,120.9
1988-08-31,123.25
1988-09-01,122.2
1988-09-02,122.35
1988-09-06,126.2
1988-09-07,129.5
1988-09-08,128.7
1988-09-09,129.95
1988-09-12,128.0
1988-09-13,127.9
1988-09-14,124.5
1988-09-15,124.0
1988-09-16,124.15
1988-09-19,121.75
1988-09-20,123.0
1988-09-21,127.05
1988-09-22,125.85
1988-09-23,127.2
1988-09-26,126.85
1988-09-27,129.25
1988-09-28,130.25
1988-09-29,131.85
1988-09-30,131.95
1988-10-03,126.3
1988-10-04,124.4
1988-10-05,123.25
1988-10-06,124.4
1988-10-07,123.4
1988-10-10,124.75
1988-10-11,124.65
1988-10-12,122.7
1988-10-13,123.0
1988-10-14,123.2
1988-10-17,124.7
1988-10-18,123.5
1988-10-19,125.1
1988-10-20,125.15
1988-10-21,126.65
1988-10-24,125.1
1988-10-25,126.7
1988-10-26,126.45
1988-10-27,125.65
1988-10-28,123.9
1988-10-31,123.6
1988-11-01,124.6
1988-11-02,125.75
1988-11-03,125.3
1988-11-04,125.0
1988-11-07,127.25
1988-11-08,126.1
1988-11-09,127.0
1988-11-10,127.85
1988-11-11,128.8
1988-11-14,127.25
1988-11-15,126.95
1988-11-16,127.25
1988-11-17,125.55
1988-11-18,125.7
1988-11-21,126.2
1988-11-22,126.0
1988-11-23,125.3
1988-11-28,123.2
1988-11-29,123.6
1988-11-30,124.9
1988-12-01,124.95
1988-12-02,124.6
1988-12-05,125.4
1988-12-06,125.25
1988-12-07,125.3
1988-12-08,127.0
1988-12-09,128.25
