Date,Settle
2008-12-05,72.3
2008-12-08,73.6
2008-12-09,74.15
2008-12-10,73.75
2008-12-11,76.9
2008-12-12,76.0
2008-12-15,77.4
2008-12-16,77.4
2008-12-17,78.0
2008-12-18,77.5
2008-12-19,77.45
2008-12-22,77.85
2008-12-23,77.9
2008-12-24,77.95
2008-12-26,77.95
2008-12-29,75.2
2008-12-30,75.1
2008-12-31,75.65
2009-01-02,74.35
2009-01-05,77.65
2009-01-06,81.25
2009-01-07,78.65
2009-01-08,79.15
2009-01-09,76.9
2009-01-12,78.8
2009-01-13,80.1
2009-01-14,80.15
2009-01-15,80.9
2009-01-16,83.5
2009-01-19,81.05
2009-01-20,81.25
2009-01-21,81.35
2009-01-22,81.75
2009-01-23,82.0
2009-01-26,82.25
2009-01-27,83.05
2009-01-28,82.65
2009-01-29,82.9
2009-01-30,82.6
2009-02-03,76.0
2009-02-04,76.75
2009-02-05,77.65
2009-02-06,77.9
2009-02-09,80.0
2009-02-10,78.6
2009-02-11,78.0
2009-02-12,77.0
2009-02-13,77.75
2009-02-16,77.35
2009-02-17,77.35
2009-02-18,77.0
2009-02-19,77.6
2009-02-20,77.6
2009-02-23,76.7
2009-02-24,76.0
2009-02-25,75.85
2009-02-26,75.85
2009-02-27,72.35
2009-03-03,61.35
2009-03-04,62.4
2009-03-05,61.6
2009-03-06,61.35
2009-03-09,61.75
2009-03-10,62.1
2009-03-11,62.75
2009-03-12,61.85
2009-03-13,62.05
2009-03-16,61.6
2009-03-17,61.85
2009-03-18,61.75
2009-03-19,62.9
2009-03-20,62.25
2009-03-23,62.15
2009-03-24,62.25
2009-03-25,61.85
2009-03-26,62.0
2009-03-27,61.5
2009-03-31,61.1
2009-04-01,62.0
2009-04-02,64.15
2009-04-03,63.75
2009-04-06,62.35
2009-04-07,62.65
2009-04-08,62.1
2009-04-09,62.9
2009-04-13,62.9
2009-04-14,62.6
2009-04-15,62.85
2009-04-16,62.9
2009-04-17,62.9
2009-04-20,62.9
2009-04-21,62.75
2009-04-22,62.75
2009-04-23,62.25
2009-04-24,62.35
2009-04-28,61.95
2009-04-29,61.75
2009-04-30,62.45
2009-05-01,62.4
2009-05-04,62.4
2009-05-05,63.5
2009-05-06,62.13
2009-05-07,63.42
2009-05-08,63.5
2009-05-11,62.63
2009-05-12,63.5
2009-05-13,63.0
2009-05-14,63.5
2009-05-15,63.35
2009-05-18,63.75
2009-05-19,64.25
2009-05-20,65.5
2009-05-21,65.3
2009-05-22,65.55
2009-05-25,65.55
2009-05-26,64.83
2009-05-27,64.63
2009-05-28,64.13
2009-05-29,64.12
2009-06-02,72.1
2009-06-03,70.25
2009-06-04,72.75
2009-06-05,73.6
2009-06-08,73.6
2009-06-09,74.1
2009-06-10,74.1
2009-06-11,74.75
2009-06-12,74.9
2009-06-15,73.0
2009-06-16,73.25
2009-06-17,71.65
2009-06-18,72.35
2009-06-19,73.5
2009-06-22,71.15
2009-06-23,72.2
2009-06-24,72.35
2009-06-25,72.5
2009-06-26,71.95
2009-06-30,69.3
2009-07-01,69.4
2009-07-02,68.8
2009-07-03,69.15
2009-07-06,70.95
2009-07-07,70.75
2009-07-08,71.0
2009-07-09,71.6
2009-07-10,72.5
2009-07-13,72.15
2009-07-14,72.7
2009-07-15,73.0
2009-07-16,74.0
2009-07-17,74.5
2009-07-20,73.6
2009-07-21,74.6
2009-07-22,73.75
2009-07-23,74.25
2009-07-24,74.4
2009-07-27,74.4
2009-07-28,73.85
2009-07-29,73.5
2009-07-30,73.3
2009-07-31,73.7
2009-08-04,73.75
2009-08-05,73.65
2009-08-06,74.25
2009-08-07,74.05
2009-08-10,73.85
2009-08-11,73.95
2009-08-12,73.95
2009-08-13,74.35
2009-08-14,73.65
2009-08-17,73.5
2009-08-18,73.3
2009-08-19,73.2
2009-08-20,73.4
2009-08-21,72.9
2009-08-24,72.7
2009-08-25,72.7
2009-08-26,72.75
2009-08-27,72.7
2009-08-28,72.35
2009-08-31,72.35
2009-09-01,67.75
2009-09-02,66.7
2009-09-03,66.9
2009-09-04,66.35
2009-09-07,66.2
2009-09-08,66.5
2009-09-09,66.9
2009-09-10,67.5
2009-09-11,67.0
2009-09-14,67.1
2009-09-15,67.7
2009-09-16,68.4
2009-09-17,68.85
2009-09-18,68.4
2009-09-21,68.25
2009-09-22,68.55
2009-09-23,68.35
2009-09-24,67.95
2009-09-25,67.95
2009-09-28,69.7
2009-09-29,69.55
2009-09-30,71.1
2009-10-01,71.05
2009-10-02,70.45
2009-10-05,70.55
2009-10-06,71.55
2009-10-07,71.95
2009-10-08,71.95
2009-10-09,71.5
2009-10-12,72.0
2009-10-13,72.1
2009-10-14,71.9
2009-10-15,71.7
2009-10-16,71.4
2009-10-19,71.4
2009-10-20,70.9
2009-10-21,71.7
2009-10-22,71.95
2009-10-23,72.4
2009-10-26,71.7
2009-10-27,72.05
2009-10-28,72.05
2009-10-29,72.45
2009-10-30,72.3
2009-11-03,75.0
2009-11-04,75.25
2009-11-05,75.75
2009-11-06,76.65
2009-11-09,77.0
2009-11-10,76.85
2009-11-11,78.1
2009-11-12,77.8
2009-11-13,78.55
2009-11-16,79.7
2009-11-17,80.15
2009-11-18,80.2
2009-11-19,80.1
2009-11-20,80.4
2009-11-23,80.35
2009-11-24,79.7
2009-11-25,80.25
2009-11-26,80.3
2009-11-27,80.1
2009-11-30,81.8
2009-12-01,81.35
2009-12-02,81.2
2009-12-03,81.0
2009-12-04,80.7
2009-12-07,80.5
2009-12-08,80.4
2009-12-09,80.75
2009-12-10,80.5
2009-12-11,80.4
2009-12-14,80.45
2009-12-15,80.9
2009-12-16,81.55
2009-12-17,81.55
2009-12-18,81.45
2009-12-21,81.5
