Date,Settle
2014-03-24,1.6484
2014-03-25,1.6521
2014-03-26,1.6565
2014-03-27,1.6606
2014-03-28,1.0805
2014-03-31,1.079
2014-04-01,1.076
2014-04-02,88.28
2014-04-03,1.088
2014-04-04,1.0905
2014-04-05,1.0875
2014-04-07,1.0875
2014-04-08,1.0855
2014-04-09,1.0905
2014-04-10,1.102
2014-04-11,1.0985
2014-04-14,1.0975
2014-04-15,1.6712
2014-04-16,1.1025
2014-04-17,1.1015
2014-04-21,1.1005
2014-04-22,1.097
2014-04-23,1.096
2014-04-24,1.0945
2014-04-25,1.0935
2014-04-28,1.0885
2014-04-29,1.0905
2014-04-30,1.093
2014-05-01,1.0935
2014-05-02,1.0955
2014-05-05,1.0995
2014-05-06,1.097
2014-05-07,1.0985
2014-05-08,1.1045
2014-05-09,1.1105
2014-05-12,1.109
2014-05-13,1.1045
2014-05-14,1.1065
2014-05-15,1.103
2014-05-16,1.1045
2014-05-19,1.1095
2014-05-20,1.106
2014-05-21,1.105
2014-05-22,1.1075
2014-05-23,1.1145
2014-05-26,87.05
2014-05-27,1.113
2014-05-28,1.1125
2014-05-29,1.1135
2014-05-30,1.119
2014-06-02,1.1155
2014-06-03,1.114
2014-06-04,1.108
2014-06-05,1.1125
2014-06-06,1.116
2014-06-09,1.12
2014-06-10,1.12
2014-06-11,1.116
2014-06-12,1.1175
2014-06-16,1.1045
2014-06-17,1.104
2014-06-18,1.1035
2014-06-19,1.092
2014-06-20,1.0955
2014-06-23,1.0935
2014-06-24,1.098
2014-06-25,1.095
2014-06-26,1.096
2014-06-27,1.0975
2014-06-30,1.0875
2014-07-01,1.0835
2014-07-02,1.084
2014-07-03,1.098
2014-07-04,1.098
2014-07-07,1.107
2014-07-08,1.101
2014-07-09,1.102
2014-07-10,1.097
2014-07-11,1.097
2014-07-14,1.097
2014-07-15,1.0945
2014-07-16,1.1
2014-07-17,1.099
2014-07-18,1.102
2014-07-21,1.104
2014-07-22,1.105
2014-07-23,1.102
2014-07-24,1.098
2014-07-25,1.0925
2014-07-28,1.0945
2014-07-29,1.0955
2014-07-30,1.0955
2014-07-31,1.097
2014-08-01,1.0935
2014-08-04,1.099
2014-08-05,1.095
2014-08-06,1.098
2014-08-07,1.105
2014-08-08,1.1045
2014-08-11,1.1115
2014-08-12,1.114
2014-08-13,1.1135
2014-08-14,1.111
2014-08-15,1.1155
2014-08-18,1.1125
2014-08-19,1.114
2014-08-20,1.1145
2014-08-21,1.122
2014-08-22,1.121
2014-08-25,1.1225
2014-08-26,1.1255
2014-08-27,1.1235
2014-08-28,1.126
2014-08-29,1.1255
2014-09-01,1.1255
2014-09-02,1.1325
2014-09-03,1.1245
2014-09-04,1.128
2014-09-05,1.1285
2014-09-08,1.1219
2014-09-09,1.1195
2014-09-10,1.1185
2014-09-11,1.1175
2014-09-12,1.1165
2014-09-15,1.11
2014-09-16,1.108
2014-09-17,1.1115
2014-09-18,1.118
2014-09-19,1.122
2014-09-22,1.124
2014-09-23,1.1215
2014-09-24,1.121
2014-09-25,1.124
2014-09-29,1.1215
2014-09-30,1.12
2014-10-01,1.1165
2014-10-02,1.1115
2014-10-03,1.1115
2014-10-06,1.107
2014-10-07,1.11
2014-10-08,1.1135
2014-10-09,1.114
2014-10-10,1.108
2014-10-13,1.099
2014-10-14,1.102
2014-10-15,1.091
2014-10-16,1.0885
2014-10-17,1.096
2014-10-18,1.093
2014-10-20,1.093
2014-10-21,1.0995
2014-10-22,1.097
2014-10-23,1.1015
2014-10-24,1.097
2014-10-27,1.105
2014-10-28,1.1075
2014-10-29,1.098
2014-10-30,1.093
2014-10-31,1.093
2014-11-03,1.088
2014-11-04,1.077
2014-11-05,1.0775
2014-11-06,1.081
2014-11-07,1.086
2014-11-10,1.09
2014-11-11,1.0865
2014-11-12,1.0905
2014-11-13,1.093
2014-11-14,1.0935
2014-11-17,1.095
2014-11-18,1.095
2014-11-19,1.088
2014-11-20,1.0935
2014-11-21,1.098
2014-11-24,1.0965
2014-11-26,1.083
2014-11-27,1.083
2014-11-28,1.0635
2014-12-03,1.0655
2014-12-04,1.0605
2014-12-05,1.0595
2014-12-08,1.0535
2014-12-09,1.057
2014-12-10,1.0495
2014-12-11,1.036
2014-12-12,1.0255
2014-12-15,1.0225
2014-12-16,1.018
2014-12-17,1.028
2014-12-18,1.0375
2014-12-19,1.0485
2014-12-22,1.0475
2014-12-23,1.045
2014-12-24,1.0445
2014-12-26,1.047
2014-12-29,1.048
2014-12-30,1.041
2014-12-31,1.039
2015-01-02,1.0575
2015-01-05,1.034
2015-01-06,1.022
2015-01-07,1.033
2015-01-08,1.0515
2015-01-09,1.0495
2015-01-12,1.044
2015-01-13,1.0385
2015-01-14,1.053
2015-01-15,1.0605
2015-01-16,1.07
2015-01-19,1.07
2015-01-20,1.0625
2015-01-21,1.076
2015-01-22,1.072
2015-01-23,1.0675
2015-01-26,1.0635
2015-01-27,1.056
2015-01-28,1.055
2015-01-29,1.0555
2015-01-30,1.0695
2015-02-02,1.0825
2015-02-03,1.09
2015-02-04,1.088
2015-02-05,1.095
2015-02-06,1.101
2015-02-09,1.0975
2015-02-10,1.095
2015-02-11,1.0945
2015-02-12,1.1015
2015-02-13,1.1085
2015-02-16,1.1085
2015-02-17,1.106
2015-02-18,1.1115
2015-02-19,1.1085
2015-02-20,1.1095
2015-02-23,1.104
2015-02-24,1.1055
2015-02-25,1.098
2015-02-26,1.0965
2015-02-27,1.088
2015-03-02,1.0825
2015-03-03,1.073
2015-03-04,1.069
2015-03-05,1.081
2015-03-06,1.0715
2015-03-09,1.0675
2015-03-10,1.0555
2015-03-11,1.0535
2015-03-12,1.0605
2015-03-13,1.062
2015-03-16,1.0425
2015-03-17,1.0435
2015-03-18,1.0485
2015-03-19,1.0685
2015-03-20,1.068
2015-03-23,1.0745
2015-03-24,1.078
2015-03-25,1.08
2015-03-26,1.082
2015-03-27,1.0735
2015-03-30,1.0675
2015-03-31,1.0655
2015-04-01,1.075
2015-04-02,1.077
2015-04-06,1.073
2015-04-07,1.0705
2015-04-08,1.071
2015-04-09,1.0775
2015-04-10,1.087
