Date,Settle
2006-02-03,65.37
2006-02-06,65.11
2006-02-07,63.09
2006-02-08,62.55
2006-02-09,62.62
2006-02-10,61.84
2006-02-13,61.24
2006-02-14,59.57
2006-02-15,57.65
2006-02-16,58.46
2006-02-17,59.88
2006-02-20,62.77
2006-02-21,62.74
2006-02-22,61.01
2006-02-23,60.54
2006-02-24,62.91
2006-02-27,61.0
2006-02-28,61.41
2006-03-01,61.97
2006-03-02,63.36
2006-03-03,63.67
2006-03-06,62.41
2006-03-07,61.58
2006-03-08,60.02
2006-03-09,60.47
2006-03-10,59.96
2006-03-13,61.77
2006-03-14,63.1
2006-03-15,62.17
2006-03-16,63.58
2006-03-17,62.77
2006-03-20,60.42
2006-03-21,62.34
2006-03-22,61.77
2006-03-23,63.91
2006-03-24,64.26
2006-03-27,64.16
2006-03-28,66.07
2006-03-29,66.45
2006-03-30,67.15
2006-03-31,66.63
2006-04-03,66.74
2006-04-04,66.23
2006-04-05,67.07
2006-04-06,67.94
2006-04-07,67.39
2006-04-10,68.74
2006-04-11,68.98
2006-04-12,68.62
2006-04-13,69.32
2006-04-17,70.4
2006-04-18,71.35
2006-04-19,72.17
2006-04-20,73.69
2006-04-21,75.17
2006-04-24,73.33
2006-04-25,72.88
2006-04-26,71.93
2006-04-27,70.97
2006-04-28,71.88
2006-05-01,73.7
2006-05-02,74.61
2006-05-03,72.28
2006-05-04,69.94
2006-05-05,70.19
2006-05-08,69.77
2006-05-09,70.69
2006-05-10,72.13
2006-05-11,73.32
2006-05-12,72.04
2006-05-15,69.41
2006-05-16,69.53
2006-05-17,68.69
2006-05-18,69.45
2006-05-19,68.53
2006-05-22,69.96
2006-05-23,71.76
2006-05-24,69.86
2006-05-25,71.32
2006-05-26,71.37
2006-05-30,72.03
2006-05-31,71.29
2006-06-01,70.34
2006-06-02,72.33
2006-06-05,72.6
2006-06-06,72.5
2006-06-07,70.82
2006-06-08,70.35
2006-06-09,71.63
2006-06-12,70.36
2006-06-13,68.56
2006-06-14,69.14
2006-06-15,69.5
2006-06-16,69.88
2006-06-19,68.98
2006-06-20,69.34
2006-06-21,70.33
2006-06-22,70.84
2006-06-23,70.87
2006-06-26,71.8
2006-06-27,71.92
2006-06-28,72.19
2006-06-29,73.52
2006-06-30,73.93
2006-07-03,74.04
2006-07-04,73.36
2006-07-05,75.19
2006-07-06,75.14
2006-07-07,74.09
2006-07-10,73.61
2006-07-11,74.16
2006-07-12,74.95
2006-07-13,76.7
2006-07-14,77.03
2006-07-17,75.3
2006-07-18,73.54
2006-07-19,72.66
2006-07-20,74.27
2006-07-21,74.43
2006-07-24,75.05
2006-07-25,73.75
2006-07-26,73.94
2006-07-27,74.54
2006-07-28,73.24
2006-07-31,74.4
2006-08-01,74.91
2006-08-02,75.81
2006-08-03,75.46
2006-08-04,74.76
2006-08-07,76.98
2006-08-08,76.31
2006-08-09,76.35
2006-08-10,74.0
2006-08-11,74.35
2006-08-14,73.53
2006-08-15,73.05
2006-08-16,71.89
2006-08-17,70.06
2006-08-18,71.14
2006-08-21,72.45
2006-08-22,73.1
2006-08-23,71.76
2006-08-24,72.36
2006-08-25,72.51
2006-08-28,70.61
2006-08-29,69.71
2006-08-30,70.03
2006-08-31,70.26
2006-09-01,69.19
2006-09-04,68.02
2006-09-05,68.6
2006-09-06,67.5
2006-09-07,67.32
2006-09-08,66.25
2006-09-11,65.61
2006-09-12,63.76
2006-09-13,63.97
2006-09-14,63.22
2006-09-15,63.33
2006-09-18,63.8
2006-09-19,61.66
2006-09-20,60.74
2006-09-21,61.59
2006-09-22,60.55
2006-09-25,61.45
2006-09-26,61.01
2006-09-27,62.96
2006-09-28,62.76
2006-09-29,62.91
2006-10-02,61.03
2006-10-03,58.68
2006-10-04,59.41
2006-10-05,60.03
2006-10-06,59.76
2006-10-09,59.96
2006-10-10,58.52
2006-10-11,57.59
2006-10-12,57.86
2006-10-13,58.57
2006-10-16,59.94
2006-10-17,58.93
2006-10-18,57.65
2006-10-19,58.5
2006-10-23,58.81
2006-10-24,59.35
2006-10-25,61.4
2006-10-26,60.36
2006-10-27,60.75
2006-10-30,58.36
2006-10-31,58.73
2006-11-01,58.71
2006-11-02,57.88
2006-11-03,59.14
2006-11-06,60.02
2006-11-07,58.93
2006-11-08,59.83
2006-11-09,61.16
2006-11-10,59.59
2006-11-13,58.58
2006-11-14,58.28
2006-11-15,58.76
2006-11-16,56.26
2006-11-20,58.8
2006-11-21,60.17
2006-11-22,59.24
2006-11-23,59.12
2006-11-24,59.83
2006-11-27,60.32
2006-11-28,60.99
2006-11-29,62.46
2006-11-30,63.13
2006-12-01,63.43
2006-12-04,62.44
2006-12-05,62.43
2006-12-06,62.19
2006-12-07,62.49
2006-12-08,62.03
2006-12-11,61.22
2006-12-12,61.02
2006-12-13,61.37
2006-12-14,62.51
2006-12-15,63.43
2006-12-18,62.21
2006-12-19,63.46
2006-12-20,63.72
2006-12-21,62.66
2006-12-22,62.41
2006-12-26,61.1
2006-12-27,60.34
2006-12-28,60.53
2006-12-29,61.05
2007-01-02,60.74
2007-01-03,58.32
2007-01-04,55.59
2007-01-05,56.31
2007-01-08,56.09
2007-01-09,55.64
2007-01-10,54.02
2007-01-11,51.88
2007-01-12,52.99
2007-01-15,52.94
2007-01-16,51.21
2007-01-17,52.24
2007-01-18,50.48
2007-01-19,51.99
2007-01-22,52.58
2007-01-23,55.04
2007-01-24,55.37
2007-01-25,54.23
2007-01-26,55.42
2007-01-29,54.01
2007-01-30,56.97
2007-01-31,58.14
2007-02-01,57.3
2007-02-02,59.02
2007-02-05,58.74
2007-02-06,58.88
2007-02-07,57.71
2007-02-08,59.71
2007-02-09,59.89
2007-02-12,57.81
2007-02-13,59.06
2007-02-14,58.0
2007-02-15,57.99
2007-02-16,59.39
2007-02-19,59.09
2007-02-20,58.85
2007-02-21,60.07
2007-02-22,60.95
2007-02-23,61.14
2007-02-26,61.39
2007-02-27,61.46
2007-02-28,61.79
2007-03-01,62.0
2007-03-02,61.64
2007-03-05,60.07
2007-03-06,60.69
2007-03-07,61.82
2007-03-08,61.64
2007-03-09,60.05
2007-03-12,58.91
2007-03-13,57.93
2007-03-14,58.16
2007-03-15,57.55
2007-03-16,57.11
2007-03-19,56.59
2007-03-20,59.25
2007-03-21,59.61
2007-03-22,61.69
2007-03-23,62.28
2007-03-26,62.91
2007-03-27,62.93
2007-03-28,64.08
2007-03-29,66.03
2007-03-30,65.87
2007-04-02,65.94
2007-04-03,64.64
2007-04-04,64.38
2007-04-05,64.28
2007-04-09,61.51
2007-04-10,61.89
2007-04-11,62.01
2007-04-12,63.85
2007-04-13,63.63
2007-04-16,63.61
2007-04-17,63.1
2007-04-18,63.13
2007-04-19,61.83
2007-04-20,64.11
2007-04-23,65.89
2007-04-24,64.58
2007-04-25,65.84
2007-04-26,65.06
2007-04-27,66.46
2007-04-30,65.71
2007-05-01,64.4
2007-05-02,63.68
2007-05-03,63.19
2007-05-04,61.93
2007-05-07,61.47
2007-05-08,62.26
2007-05-09,61.55
2007-05-10,61.81
2007-05-11,62.37
2007-05-14,62.46
2007-05-15,63.17
2007-05-16,62.55
2007-05-17,64.86
2007-05-18,64.94
2007-05-21,66.27
2007-05-22,65.51
2007-05-23,65.77
2007-05-24,64.18
2007-05-25,65.2
2007-05-28,64.46
2007-05-29,63.15
2007-05-30,63.49
2007-05-31,64.01
2007-06-01,65.08
2007-06-04,66.21
2007-06-05,65.61
2007-06-06,65.96
2007-06-07,66.93
2007-06-08,64.76
2007-06-11,65.97
2007-06-12,65.35
2007-06-13,66.26
2007-06-14,67.65
2007-06-15,68.0
2007-06-18,69.09
2007-06-19,69.1
2007-06-20,68.86
2007-06-21,68.65
2007-06-22,69.14
2007-06-25,69.18
2007-06-26,67.77
2007-06-27,68.97
2007-06-28,69.57
2007-06-29,70.68
2007-07-02,71.09
2007-07-03,71.41
2007-07-04,71.38
2007-07-05,71.81
2007-07-06,72.81
2007-07-09,72.19
2007-07-10,72.81
2007-07-11,72.56
2007-07-12,72.5
2007-07-13,73.93
2007-07-16,74.15
2007-07-17,74.02
2007-07-18,75.05
2007-07-19,75.92
2007-07-20,75.79
2007-07-23,74.89
2007-07-24,73.56
2007-07-25,75.88
2007-07-26,74.95
2007-07-27,77.02
2007-07-30,76.83
2007-07-31,78.21
2007-08-01,76.53
2007-08-02,76.86
2007-08-03,75.48
2007-08-06,72.06
2007-08-07,72.42
2007-08-08,72.15
2007-08-09,71.59
2007-08-10,71.47
2007-08-13,71.62
2007-08-14,72.38
2007-08-15,73.33
2007-08-16,71.0
2007-08-17,71.98
2007-08-20,71.12
2007-08-21,69.57
2007-08-22,69.26
2007-08-23,69.83
2007-08-24,71.09
2007-08-27,71.97
2007-08-28,71.73
2007-08-29,73.51
2007-08-30,73.36
2007-08-31,74.04
2007-09-03,74.41
2007-09-04,75.08
2007-09-05,75.73
2007-09-06,76.3
2007-09-07,76.7
2007-09-10,77.49
2007-09-11,78.23
2007-09-12,79.91
2007-09-13,80.09
2007-09-14,79.1
2007-09-17,80.57
2007-09-18,81.51
2007-09-19,81.93
2007-09-20,81.78
2007-09-21,81.62
2007-09-24,80.95
2007-09-25,79.53
2007-09-26,80.3
2007-09-27,82.88
2007-09-28,81.66
2007-10-01,80.24
2007-10-02,80.05
2007-10-03,79.94
2007-10-04,81.44
2007-10-05,81.22
2007-10-08,79.02
2007-10-09,80.26
2007-10-10,81.3
2007-10-11,83.08
2007-10-12,83.69
2007-10-15,86.13
2007-10-16,87.61
2007-10-17,87.4
2007-10-18,89.47
2007-10-19,88.6
2007-10-22,86.02
2007-10-23,85.27
2007-10-24,87.1
2007-10-25,90.46
2007-10-26,91.86
2007-10-29,93.53
2007-10-30,90.38
2007-10-31,94.53
2007-11-01,93.49
2007-11-02,95.93
2007-11-05,93.98
2007-11-06,96.7
2007-11-07,96.37
2007-11-08,95.46
2007-11-09,96.32
2007-11-12,94.62
2007-11-13,91.17
2007-11-14,94.09
2007-11-15,93.43
2007-11-19,94.64
2007-11-20,98.03
2007-11-21,97.29
2007-11-22,96.78
2007-11-23,98.18
2007-11-26,97.7
2007-11-27,94.42
2007-11-28,90.62
2007-11-29,91.01
2007-11-30,88.71
2007-12-03,89.31
2007-12-04,88.32
2007-12-05,87.49
2007-12-06,90.23
2007-12-07,88.28
2007-12-10,87.86
2007-12-11,90.02
2007-12-12,94.39
2007-12-13,92.25
2007-12-14,91.27
2007-12-17,90.63
2007-12-19,91.24
2007-12-20,91.06
2007-12-21,93.31
2007-12-24,94.13
2007-12-26,95.97
2007-12-27,96.62
2007-12-28,96.0
2007-12-31,95.98
2008-01-02,99.62
2008-01-03,99.18
2008-01-04,97.91
2008-01-07,95.09
2008-01-08,96.33
2008-01-09,95.67
2008-01-10,93.71
2008-01-11,92.69
2008-01-14,94.2
2008-01-15,91.9
2008-01-16,90.84
2008-01-17,90.13
2008-01-18,90.57
2008-01-22,89.21
2008-01-23,86.99
2008-01-24,89.41
2008-01-25,90.71
2008-01-28,90.99
2008-01-29,91.64
2008-01-30,92.33
2008-01-31,91.75
2008-02-01,88.96
2008-02-04,90.02
2008-02-05,88.41
2008-02-06,87.14
2008-02-07,88.11
2008-02-08,91.77
2008-02-11,93.59
2008-02-12,92.78
2008-02-13,93.27
2008-02-14,95.46
2008-02-15,95.5
2008-02-18,96.03
2008-02-19,100.01
2008-02-21,98.23
2008-02-22,98.81
2008-02-25,99.23
2008-02-26,100.88
2008-02-27,99.64
2008-02-28,102.59
2008-02-29,101.84
2008-03-03,102.45
2008-03-04,99.52
2008-03-05,104.52
2008-03-06,105.47
2008-03-07,105.15
2008-03-10,107.9
2008-03-11,108.75
2008-03-12,109.92
2008-03-13,110.33
2008-03-14,110.21
2008-03-17,105.68
2008-03-18,109.42
2008-03-20,101.84
2008-03-24,100.86
2008-03-25,101.22
2008-03-26,105.9
2008-03-27,107.58
2008-03-28,105.62
2008-03-31,101.58
2008-04-01,100.98
2008-04-02,104.83
2008-04-03,103.83
2008-04-04,106.23
2008-04-07,109.09
2008-04-08,108.5
2008-04-09,110.87
2008-04-10,110.11
2008-04-11,110.14
2008-04-14,111.76
2008-04-15,113.79
2008-04-16,114.93
2008-04-17,114.86
2008-04-18,116.69
2008-04-21,117.48
2008-04-23,118.3
2008-04-24,116.06
2008-04-25,118.52
2008-04-28,118.75
2008-04-29,115.63
2008-04-30,113.46
2008-05-01,112.52
2008-05-02,116.32
2008-05-05,119.97
2008-05-06,121.84
2008-05-07,123.53
2008-05-08,123.69
2008-05-09,125.96
2008-05-12,124.23
2008-05-13,125.8
2008-05-14,124.22
2008-05-15,124.12
2008-05-16,126.29
2008-05-19,127.05
2008-05-21,133.17
2008-05-22,130.81
2008-05-23,132.19
2008-05-26,132.91
2008-05-27,128.85
2008-05-28,131.03
2008-05-29,126.62
2008-05-30,127.35
2008-06-02,127.76
2008-06-03,124.31
2008-06-04,122.3
2008-06-05,127.79
2008-06-06,138.54
2008-06-09,134.35
2008-06-10,131.31
2008-06-11,136.38
2008-06-12,136.74
2008-06-13,134.86
2008-06-16,134.61
2008-06-17,134.01
2008-06-18,136.68
2008-06-19,131.93
2008-06-23,136.74
2008-06-24,137.0
2008-06-25,134.55
2008-06-26,139.64
2008-06-27,140.21
2008-06-30,140.0
2008-07-01,140.97
2008-07-02,143.57
2008-07-03,145.29
2008-07-04,143.85
2008-07-07,141.37
2008-07-08,136.04
2008-07-09,136.05
2008-07-10,141.65
2008-07-11,145.08
2008-07-14,145.18
2008-07-15,138.74
2008-07-16,134.6
2008-07-17,129.29
2008-07-18,128.88
2008-07-21,131.04
2008-07-23,124.44
2008-07-24,125.49
2008-07-25,123.26
2008-07-28,124.73
2008-07-29,122.19
2008-07-30,126.77
2008-07-31,124.08
2008-08-01,125.1
2008-08-04,121.41
2008-08-05,119.17
2008-08-06,118.58
2008-08-07,120.02
2008-08-08,115.2
2008-08-11,114.45
2008-08-12,113.01
2008-08-13,116.0
2008-08-14,115.01
2008-08-15,113.77
2008-08-18,112.87
2008-08-19,114.53
2008-08-21,121.18
2008-08-22,114.59
2008-08-25,115.11
2008-08-26,116.27
2008-08-27,118.15
2008-08-28,115.59
2008-08-29,115.46
2008-09-01,110.9
2008-09-02,109.71
2008-09-03,109.35
