Date,Settle
2013-10-08,172.5
2013-10-09,173.5
2013-10-10,173.75
2013-10-11,173.0
2013-10-12,173.0
2013-10-14,174.5
2013-10-15,174.25
2013-10-16,174.25
2013-10-17,174.5
2013-10-18,177.0
2013-10-19,177.0
2013-10-20,177.0
2013-10-21,176.0
2013-10-22,176.0
2013-10-23,178.0
2013-10-24,177.25
2013-10-25,177.25
2013-10-26,177.25
2013-10-27,177.25
2013-10-28,175.75
2013-10-29,172.5
2013-10-30,168.25
2013-10-31,165.0
2013-11-01,163.25
2013-11-03,163.25
2013-11-04,163.25
2013-11-05,162.0
2013-11-06,171.5
2013-11-07,174.25
2013-11-08,173.5
2013-11-09,173.5
2013-11-10,173.5
2013-11-11,176.5
2013-11-12,175.75
2013-11-13,173.5
2013-11-14,174.5
2013-11-15,174.0
2013-11-16,174.0
2013-11-17,174.0
2013-11-18,172.75
2013-11-19,172.75
2013-11-20,174.0
2013-11-21,177.5
2013-11-22,176.5
2013-11-23,176.5
2013-11-24,176.5
2013-11-25,176.25
2013-11-26,175.75
2013-11-27,176.25
2013-11-28,176.5
2013-11-29,177.75
2013-11-30,177.75
2013-12-01,177.75
2013-12-02,178.75
2013-12-03,181.5
2013-12-04,182.0
2013-12-05,180.5
2013-12-06,180.25
2013-12-07,180.25
2013-12-08,180.25
2013-12-09,179.5
2013-12-10,177.0
2013-12-11,177.0
2013-12-12,176.0
2013-12-16,172.5
2013-12-17,173.5
2013-12-18,173.0
2013-12-19,173.75
2013-12-20,173.25
2013-12-23,173.5
2013-12-24,172.5
2013-12-25,172.5
2013-12-27,172.25
2013-12-30,171.75
2013-12-31,171.75
2014-01-01,171.75
2014-01-06,173.25
2014-01-07,175.0
2014-01-08,172.75
2014-01-09,171.0
2014-01-12,171.5
2014-01-13,173.75
2014-01-14,172.5
2014-01-15,172.5
2014-01-16,172.75
2014-01-17,172.5
2014-01-18,172.5
2014-01-19,172.5
2014-01-20,172.25
2014-01-21,173.5
2014-01-22,172.5
2014-01-23,173.75
2014-01-24,172.75
2014-01-25,172.75
2014-01-26,172.75
2014-01-27,173.5
2014-01-28,173.25
2014-01-29,171.75
2014-01-30,172.25
2014-01-31,173.5
2014-02-01,173.5
2014-02-02,173.5
2014-02-03,173.0
2014-02-04,174.0
2014-02-05,174.25
2014-02-06,174.25
2014-02-07,174.25
2014-02-08,174.25
2014-02-09,174.25
2014-02-10,174.75
2014-02-11,173.5
2014-02-12,173.25
2014-02-13,172.5
2014-02-14,172.25
2014-02-15,172.25
2014-02-16,172.25
2014-02-17,173.25
2014-02-18,173.0
2014-02-19,173.25
2014-02-20,174.25
2014-02-21,174.0
2014-02-22,174.0
2014-02-23,174.0
2014-02-24,173.25
2014-02-25,172.25
2014-02-26,172.5
2014-02-27,172.5
2014-02-28,169.25
2014-03-01,169.25
2014-03-02,169.25
2014-03-03,172.75
2014-03-04,170.75
2014-03-05,170.0
2014-03-06,182.75
2014-03-07,184.0
2014-03-10,182.5
2014-03-11,183.25
2014-03-12,185.75
2014-03-13,186.25
2014-03-14,186.75
2014-03-17,184.25
2014-03-18,184.5
2014-03-19,186.5
2014-03-20,185.75
2014-03-21,185.5
2014-03-24,186.0
2014-03-25,185.75
2014-03-26,185.75
2014-03-27,185.75
2014-03-28,185.25
2014-03-31,186.0
2014-04-01,187.0
2014-04-02,184.75
2014-04-03,185.75
2014-04-04,184.25
2014-04-07,184.5
2014-04-08,186.25
2014-04-09,188.75
2014-04-10,188.25
2014-04-11,187.0
2014-04-14,189.0
2014-04-15,189.25
2014-04-16,189.5
2014-04-17,188.0
2014-04-22,184.75
2014-04-23,185.75
2014-04-24,188.0
2014-04-25,187.25
2014-04-28,185.0
2014-04-29,185.0
2014-04-30,184.5
2014-05-01,184.5
2014-05-02,183.75
2014-05-05,186.0
2014-05-06,185.75
2014-05-07,184.5
2014-05-08,184.5
2014-05-09,184.25
2014-05-12,183.0
2014-05-13,183.25
2014-05-14,180.5
2014-05-15,178.0
2014-05-16,177.5
2014-05-19,176.0
2014-05-21,175.5
2014-05-22,176.0
2014-05-23,175.75
2014-05-26,174.5
2014-05-27,173.25
2014-05-28,171.0
2014-05-29,171.5
2014-05-30,173.5
2014-06-02,171.75
2014-06-03,171.75
2014-06-04,168.25
2014-06-05,168.0
2014-06-06,178.5
2014-06-09,177.5
2014-06-10,177.75
2014-06-11,177.25
2014-06-12,176.25
2014-06-13,176.5
2014-06-16,176.75
2014-06-17,176.5
2014-06-18,176.5
2014-06-19,176.0
2014-06-20,176.0
2014-06-23,175.5
2014-06-24,174.5
2014-06-25,173.25
2014-06-26,173.5
2014-06-27,172.5
2014-06-30,170.0
2014-07-01,170.0
2014-07-02,169.75
2014-07-03,171.25
2014-07-04,171.0
2014-07-07,170.25
2014-07-08,171.5
2014-07-09,169.75
2014-07-10,170.25
2014-07-11,169.0
2014-07-14,167.5
2014-07-15,167.5
2014-07-16,168.0
2014-07-17,169.0
2014-07-18,166.75
2014-07-21,165.5
2014-07-22,160.25
2014-07-23,157.75
2014-07-24,158.75
2014-07-25,156.25
2014-07-28,159.75
2014-07-29,162.0
2014-07-30,163.0
2014-08-04,160.0
2014-08-05,158.5
2014-08-06,155.25
2014-08-08,154.5
2014-08-11,154.5
2014-08-12,154.0
2014-08-13,154.0
2014-08-14,153.5
2014-08-15,154.5
2014-08-18,153.0
2014-08-19,153.75
2014-08-20,152.75
2014-08-21,153.25
2014-08-22,152.75
2014-08-25,152.0
2014-08-26,151.0
2014-08-27,151.5
2014-08-28,152.25
2014-08-29,151.75
2014-09-01,151.75
2014-09-02,151.25
2014-09-03,150.0
2014-09-04,148.5
2014-09-05,149.0
2014-09-08,147.75
2014-09-09,144.75
2014-09-10,142.75
2014-09-11,138.75
2014-09-12,140.25
2014-09-15,138.5
2014-09-16,139.0
2014-09-17,140.25
2014-09-18,139.75
2014-09-19,137.0
2014-09-22,134.25
2014-09-23,131.25
2014-09-24,134.5
2014-09-25,136.0
2014-09-26,137.25
2014-09-29,138.5
2014-09-30,138.0
2014-10-01,140.75
2014-10-02,142.25
2014-10-03,141.5
2014-10-06,144.0
2014-10-07,143.75
2014-10-08,140.75
2014-10-09,139.25
2014-10-10,140.75
2014-10-13,141.0
2014-10-14,142.0
2014-10-15,143.25
2014-10-16,143.0
2014-10-20,141.0
2014-10-21,142.5
2014-10-22,143.0
2014-10-23,145.75
2014-10-24,144.5
2014-10-28,143.75
2014-10-29,145.0
2014-10-30,145.5
2014-10-31,143.75
2014-11-03,141.75
2014-11-04,140.0
2014-11-05,145.75
2014-11-06,146.25
2014-11-07,147.0
2014-11-10,148.5
2014-11-11,149.5
2014-11-12,151.25
2014-11-13,152.0
2014-11-14,153.0
2014-11-17,152.0
2014-11-18,150.0
2014-11-19,149.0
2014-11-20,151.75
2014-11-21,152.25
2014-11-24,153.25
2014-11-25,153.25
2014-11-26,152.75
2014-11-27,151.0
2014-11-28,152.25
2014-12-01,156.0
2014-12-02,157.5
2014-12-03,155.5
2014-12-04,154.5
2014-12-05,155.75
2014-12-08,156.5
2014-12-09,156.75
2014-12-10,155.5
2014-12-11,155.0
2014-12-12,157.25
2014-12-15,158.75
2014-12-16,158.5
2014-12-17,155.75
2014-12-18,158.0
2014-12-19,156.5
2014-12-22,159.0
2014-12-23,158.0
2014-12-24,161.5
2014-12-29,158.75
2014-12-30,157.75
2014-12-31,162.5
2015-01-02,161.25
2015-01-03,181.0
2015-01-05,166.75
2015-01-06,179.5
2015-01-07,164.5
2015-01-08,163.25
2015-01-09,162.75
2015-01-12,162.25
2015-01-13,159.5
2015-01-14,157.0
2015-01-15,158.25
2015-01-16,159.5
2015-01-20,156.75
2015-01-21,157.0
2015-01-22,158.25
2015-01-23,159.25
2015-01-26,157.5
2015-01-27,155.0
2015-01-28,152.5
2015-01-29,153.0
2015-01-30,153.75
2015-02-02,151.75
2015-02-03,154.0
2015-02-04,154.5
2015-02-05,155.5
2015-02-06,155.75
2015-02-09,155.5
2015-02-10,154.5
2015-02-11,153.25
2015-02-12,152.25
2015-02-13,153.0
2015-02-16,152.75
2015-02-17,153.0
2015-02-18,152.75
2015-02-19,153.0
2015-02-20,151.25
2015-02-23,149.5
2015-02-24,149.25
2015-02-25,148.75
2015-02-26,148.5
2015-02-27,149.5
2015-03-02,148.25
2015-03-03,147.75
