Date,Settle
2013-10-08,1700.5
2013-10-09,1699.5
2013-10-10,1726.0
2013-10-11,1731.0
2013-10-12,1731.0
2013-10-14,1738.0
2013-10-15,1745.0
2013-10-16,1758.0
2013-10-17,1766.0
2013-10-18,1779.0
2013-10-19,1779.0
2013-10-20,1779.0
2013-10-21,1772.0
2013-10-22,1782.0
2013-10-23,1781.0
2013-10-24,1789.0
2013-10-25,1795.0
2013-10-26,1795.0
2013-10-27,1795.0
2013-10-28,1796.0
2013-10-29,1796.0
2013-10-30,1773.0
2013-10-31,1773.0
2013-11-01,1773.0
2013-11-03,1773.0
2013-11-04,1773.0
2013-11-05,1791.5
2013-11-06,1791.0
2013-11-07,1790.0
2013-11-08,1785.5
2013-11-09,1785.5
2013-11-10,1785.5
2013-11-11,1792.5
2013-11-12,1792.5
2013-11-13,1785.5
2013-11-14,1791.5
2013-11-15,1795.5
2013-11-16,1795.5
2013-11-17,1795.5
2013-11-18,1795.5
2013-11-19,1766.0
2013-11-20,1786.0
2013-11-21,1780.5
2013-11-22,1781.0
2013-11-23,1781.0
2013-11-24,1781.0
2013-11-25,1791.5
2013-11-26,1781.0
2013-11-27,1785.0
2013-11-28,1783.5
2013-11-29,1794.0
2013-11-30,1794.0
2013-12-01,1794.0
2013-12-02,1788.5
2013-12-03,1751.5
2013-12-04,1744.5
2013-12-05,1744.5
2013-12-06,1738.0
2013-12-07,1738.0
2013-12-08,1738.0
2013-12-09,1749.5
2013-12-10,1741.0
2013-12-11,1715.0
2013-12-12,1699.0
2013-12-16,1695.0
2013-12-17,1679.5
2013-12-18,1682.0
2013-12-19,1704.0
2013-12-20,1719.3
2013-12-23,1725.5
2013-12-24,1725.5
2013-12-25,1725.5
2013-12-27,1734.0
2013-12-30,1736.0
2013-12-31,1736.0
2014-01-01,1736.0
2014-01-02,1746.5
2014-01-03,1746.5
2014-01-06,1738.5
2014-01-07,1746.5
2014-01-08,1744.0
2014-01-09,1750.0
2014-01-12,1755.0
2014-01-13,1764.5
2014-01-14,1761.0
2014-01-15,1763.5
2014-01-16,1766.0
2014-01-17,1784.0
2014-01-18,1784.0
2014-01-19,1784.0
2014-01-21,1767.0
2014-01-22,1767.0
2014-01-23,1769.0
2014-01-24,1728.5
2014-01-25,1728.5
2014-01-26,1728.5
2014-01-27,1730.0
2014-01-28,1732.0
2014-01-29,1719.0
2014-01-30,1720.5
2014-01-31,1717.0
2014-02-01,1717.0
2014-02-02,1717.0
2014-02-03,1716.0
2014-02-04,1708.0
2014-02-05,1700.0
2014-02-06,1715.0
2014-02-07,1737.0
2014-02-08,1737.0
2014-02-09,1737.0
2014-02-10,1744.0
2014-02-11,1767.5
2014-02-12,1767.0
2014-02-13,1769.0
2014-02-14,1787.5
2014-02-15,1787.5
2014-02-16,1787.5
2014-02-17,1797.5
2014-02-18,1797.0
2014-02-19,1801.0
2014-02-20,1808.0
2014-02-21,1815.5
2014-02-22,1815.5
2014-02-23,1815.5
2014-02-24,1812.0
2014-02-25,1826.0
2014-02-26,1830.5
2014-02-27,1825.5
2014-02-28,1823.5
2014-03-01,1823.5
2014-03-02,1823.5
2014-03-03,1805.0
2014-03-04,1842.0
2014-03-05,1834.0
2014-03-06,1846.0
2014-03-07,1833.0
2014-03-10,1813.5
2014-03-11,1808.0
2014-03-12,1786.0
2014-03-14,1761.5
2014-03-17,1784.5
2014-03-18,1794.5
2014-03-19,1792.0
2014-03-20,1757.0
2014-03-21,1781.3
2014-03-24,1709.5
2014-03-25,1738.5
2014-03-26,1733.5
2014-03-27,1736.0
2014-03-28,1754.0
2014-03-31,1747.0
2014-04-01,1746.0
2014-04-02,1759.0
2014-04-03,1758.5
2014-04-04,1770.5
2014-04-07,1771.5
2014-04-08,1771.0
2014-04-09,1776.5
2014-04-10,1783.0
2014-04-11,1761.0
2014-04-14,1752.5
2014-04-15,1751.0
2014-04-16,1766.0
2014-04-17,1775.0
2014-04-22,1790.5
2014-04-23,1795.0
2014-04-24,1803.0
2014-04-25,1790.0
2014-04-28,1804.5
2014-04-29,1821.0
2014-04-30,1812.0
2014-05-01,1812.0
2014-05-02,1809.0
2014-05-05,1818.0
2014-05-06,1824.0
2014-05-07,1832.5
2014-05-08,1862.0
2014-05-09,1864.5
2014-05-12,1865.5
