Date,Settle
2013-10-08,3812.0
2013-10-09,3798.5
2013-10-10,3880.0
2013-10-11,3891.0
2013-10-12,3891.0
2013-10-13,3891.0
2013-10-14,3894.5
2013-10-15,3933.5
2013-10-16,3950.0
2013-10-17,3948.0
2013-10-18,3975.0
2013-10-19,3975.0
2013-10-20,3975.0
2013-10-21,3980.0
2013-10-22,3995.0
2013-10-23,3959.0
2013-10-24,3986.0
2013-10-25,3978.0
2013-10-26,3978.0
2013-10-27,3978.0
2013-10-28,3964.0
2013-10-29,3964.0
2013-10-30,3989.0
2013-10-31,4015.0
2013-11-01,4015.0
2013-11-03,4015.0
2013-11-04,4028.0
2013-11-05,3982.0
2013-11-06,4009.0
2013-11-07,4005.0
2013-11-08,3992.5
2013-11-09,3992.5
2013-11-10,3992.5
2013-11-11,4018.5
2013-11-12,3997.5
2013-11-13,3977.0
2013-11-14,4017.5
2013-11-15,4022.0
2013-11-16,4022.0
2013-11-17,4022.0
2013-11-18,4058.5
2013-11-19,4019.5
2013-11-20,4016.5
2013-11-21,4016.0
2013-11-22,4027.0
2013-11-23,4027.0
2013-11-24,4027.0
2013-11-25,4051.0
2013-11-26,4041.5
2013-11-27,4061.0
2013-11-28,4074.5
2013-11-29,4071.0
2013-11-30,4068.5
2013-12-01,4068.5
2013-12-02,4058.0
2013-12-03,3981.0
2013-12-04,3952.5
2013-12-05,3907.0
2013-12-06,3937.5
2013-12-07,3937.5
2013-12-08,3937.5
2013-12-09,3950.0
2013-12-10,3919.0
2013-12-11,3894.5
2013-12-12,3866.0
2013-12-16,3924.5
2013-12-17,3888.5
2013-12-18,3923.0
2013-12-19,3988.0
2013-12-20,4018.4
2013-12-23,4044.5
2013-12-24,4044.5
2013-12-25,4044.5
2013-12-27,4090.0
2013-12-30,4091.5
2013-12-31,4089.5
2014-01-01,4089.5
2014-01-02,4092.0
2014-01-03,4092.0
2014-01-06,4041.5
2014-01-07,4092.0
2014-01-08,4086.0
2014-01-09,4065.5
2014-01-12,4084.5
2014-01-13,4096.0
2014-01-14,4103.0
2014-01-15,4167.0
2014-01-16,4154.5
2014-01-17,4160.0
2014-01-18,4160.0
2014-01-19,4160.0
2014-01-20,4154.0
2014-01-21,4155.5
2014-01-22,4155.0
2014-01-23,4113.5
2014-01-24,3995.0
