Date,Settle
2013-12-23,385.65
2013-12-24,386.7
2013-12-25,386.7
2013-12-27,393.5
2013-12-30,389.8
2013-12-31,391.7
2014-01-01,391.7
2014-01-02,395.45
2014-01-03,395.45
2014-01-06,392.45
2014-01-07,395.45
2014-01-08,396.2
2014-01-09,394.7
2014-01-12,396.25
2014-01-13,396.25
2014-01-14,398.6
2014-01-15,400.6
2014-01-16,399.25
2014-01-17,399.95
2014-01-18,399.95
2014-01-19,399.95
2014-01-20,399.1
2014-01-21,396.25
2014-01-22,398.7
2014-01-23,395.4
2014-01-24,385.4
2014-01-25,385.4
2014-01-26,385.4
2014-01-27,382.05
2014-01-28,383.55
2014-01-29,380.6
2014-01-30,380.25
2014-01-31,377.8
2014-02-01,377.8
2014-02-02,377.8
2014-02-03,375.0
2014-02-04,374.05
2014-02-05,374.2
2014-02-06,379.8
2014-02-07,380.9
2014-02-08,380.9
2014-02-09,380.9
2014-02-10,381.0
2014-02-11,386.15
2014-02-12,389.5
2014-02-13,389.1
2014-02-14,391.05
2014-02-15,391.05
2014-02-16,391.05
2014-02-17,393.35
2014-02-18,393.25
2014-02-19,393.3
2014-02-20,390.45
2014-02-21,392.1
2014-02-22,392.1
2014-02-23,392.1
2014-02-24,393.4
2014-02-25,392.7
2014-02-26,390.4
2014-02-27,390.25
2014-02-28,390.05
2014-03-01,390.05
2014-03-02,390.05
2014-03-03,379.9
2014-03-04,390.2
2014-03-05,390.15
2014-03-06,391.25
2014-03-07,387.75
2014-03-10,384.8
2014-03-11,385.6
2014-03-12,382.85
2014-03-13,377.5
2014-03-14,373.95
2014-03-15,373.95
2014-03-17,378.45
2014-03-18,380.55
2014-03-19,380.4
2014-03-20,382.35
2014-03-21,382.95
2014-03-22,382.95
2014-03-23,382.95
2014-03-24,379.9
2014-03-25,384.55
2014-03-26,388.45
2014-03-27,390.1
2014-03-28,393.5
2014-03-29,393.5
2014-03-30,393.5
2014-03-31,395.05
2014-04-01,397.25
2014-04-02,397.6
2014-04-03,397.15
2014-04-04,398.95
2014-04-05,398.95
2014-04-06,398.95
2014-04-07,395.9
2014-04-08,394.3
2014-04-09,395.0
2014-04-10,393.4
2014-04-11,387.25
2014-04-12,387.25
2014-04-13,387.25
2014-04-14,387.1
2014-04-15,384.45
2014-04-16,387.4
2014-04-17,388.15
2014-04-18,388.15
2014-04-19,388.15
2014-04-20,388.15
2014-04-21,388.15
2014-04-22,390.35
2014-04-23,389.4
2014-04-24,388.95
2014-04-25,385.25
2014-04-26,385.25
2014-04-27,385.25
2014-04-28,386.4
2014-04-29,391.5
2014-04-30,393.8
2014-05-01,393.8
2014-05-02,392.8
2014-05-03,392.8
2014-05-04,392.8
2014-05-05,391.9
2014-05-06,391.0
2014-05-07,393.25
2014-05-08,397.9
2014-05-09,397.1
2014-05-11,397.1
2014-05-12,400.05
2014-05-13,401.0
2014-05-14,400.4
2014-05-15,397.25
2014-05-16,396.5
2014-05-17,396.5
2014-05-18,396.5
2014-05-19,398.35
2014-05-20,398.1
2014-05-21,400.15
2014-05-22,401.15
2014-05-23,402.55
