Date,Settle
1991-02-07,92.14
1991-02-08,92.11
1991-02-11,92.08
1991-02-12,92.02
1991-02-13,92.11
1991-02-14,92.24
1991-02-15,92.18
1991-02-18,92.16
1991-02-19,92.12
1991-02-20,92.09
1991-02-21,92.07
1991-02-22,92.02
1991-02-25,91.95
1991-02-26,91.9
1991-02-27,91.84
1991-02-28,91.77
1991-03-01,91.8
1991-03-04,91.8
1991-03-05,91.84
1991-03-06,91.84
1991-03-07,91.74
1991-03-08,91.62
1991-03-11,91.7
1991-03-12,91.74
1991-03-13,91.71
1991-03-14,91.63
1991-03-15,91.38
1991-03-18,91.25
1991-03-19,92.13
1991-03-20,92.18
1991-03-21,92.16
1991-03-22,92.16
1991-03-25,92.07
1991-03-26,92.05
1991-03-27,92.06
1991-03-28,92.02
1991-04-02,91.96
1991-04-03,92.07
1991-04-04,92.14
1991-04-05,92.17
1991-04-08,92.11
1991-04-09,91.98
1991-04-10,91.96
1991-04-11,92.02
1991-04-12,91.96
1991-04-15,91.92
1991-04-16,91.88
1991-04-17,91.96
1991-04-18,91.91
1991-04-19,91.78
1991-04-22,91.78
1991-04-23,91.81
1991-04-24,91.78
1991-04-25,91.73
1991-04-26,91.63
1991-04-29,91.6
1991-04-30,91.69
1991-05-01,91.76
1991-05-02,91.65
1991-05-03,91.61
1991-05-07,91.58
1991-05-08,91.64
1991-05-09,91.67
1991-05-10,91.69
1991-05-13,91.77
1991-05-14,91.71
1991-05-15,91.72
1991-05-16,91.68
1991-05-17,91.73
1991-05-20,91.76
1991-05-21,91.83
1991-05-22,91.83
1991-05-23,91.79
1991-05-24,91.81
1991-05-28,91.84
1991-05-29,91.84
1991-05-30,91.91
1991-05-31,91.94
1991-06-03,91.89
1991-06-04,91.86
1991-06-05,91.84
1991-06-06,91.88
1991-06-07,91.88
1991-06-10,91.87
1991-06-11,91.89
1991-06-12,91.87
1991-06-13,91.88
1991-06-14,91.92
1991-06-17,91.94
1991-06-18,92.08
1991-06-19,92.08
1991-06-20,92.13
1991-06-21,92.15
1991-06-24,92.12
1991-06-25,92.08
1991-06-26,92.09
1991-06-27,92.18
1991-06-28,92.25
1991-07-01,92.27
1991-07-02,92.29
1991-07-03,92.31
1991-07-04,92.28
1991-07-05,92.2
1991-07-08,92.27
1991-07-09,92.27
1991-07-10,92.25
1991-07-11,92.26
1991-07-12,92.28
1991-07-15,92.28
1991-07-16,92.26
1991-07-17,92.22
1991-07-18,92.21
1991-07-19,92.19
1991-07-22,92.17
1991-07-23,92.17
1991-07-24,92.14
1991-07-25,92.17
1991-07-26,92.1
1991-07-29,92.12
1991-07-30,92.11
1991-07-31,92.13
1991-08-01,92.13
1991-08-02,92.15
1991-08-05,92.13
1991-08-06,92.08
1991-08-07,92.1
1991-08-08,92.12
1991-08-09,92.12
1991-08-12,92.11
1991-08-13,92.1
1991-08-14,92.11
1991-08-15,92.09
1991-08-16,91.93
1991-08-19,92.18
1991-08-20,92.18
1991-08-21,92.03
1991-08-22,92.04
1991-08-23,92.01
1991-08-27,92.02
1991-08-28,92.04
1991-08-29,92.03
1991-08-30,91.99
1991-09-02,91.97
1991-09-03,91.93
1991-09-04,91.94
1991-09-05,91.95
1991-09-06,91.95
1991-09-09,91.93
1991-09-10,91.93
1991-09-11,91.93
1991-09-12,91.91
1991-09-13,91.89
1991-09-16,91.88
1991-09-24,92.01
1991-09-25,92.07
1991-09-26,92.06
1991-09-27,92.05
1991-09-30,91.97
1991-10-01,91.96
1991-10-02,91.92
1991-10-03,91.9
1991-10-04,91.93
1991-10-07,91.91
1991-10-08,91.88
1991-10-09,91.86
1991-10-10,91.82
1991-10-11,91.83
1991-10-14,91.8
1991-10-15,91.76
1991-10-16,91.68
1991-10-17,91.77
1991-10-18,91.75
1991-10-21,91.64
1991-10-22,91.62
1991-10-23,91.54
1991-10-24,91.56
1991-10-25,91.5
1991-10-28,91.48
1991-10-29,91.54
1991-10-30,91.61
1991-10-31,91.59
1991-11-01,91.57
1991-11-04,91.59
1991-11-05,91.62
1991-11-06,91.66
1991-11-07,91.81
1991-11-08,91.98
1991-11-11,91.88
1991-11-12,91.77
1991-11-13,91.9
1991-11-14,91.94
1991-11-15,91.99
1991-11-18,91.95
1991-11-19,91.93
1991-11-20,91.92
1991-11-21,91.9
1991-11-22,91.76
1991-11-25,91.72
1991-11-26,91.83
1991-11-27,91.82
1991-11-29,91.85
1991-12-02,91.77
1991-12-03,91.72
1991-12-04,91.71
1991-12-05,91.74
1991-12-06,91.82
1991-12-09,91.85
1991-12-10,91.82
1991-12-11,91.8
1991-12-12,91.82
1991-12-13,91.79
1991-12-16,91.81
1991-12-17,92.19
1991-12-18,92.19
1991-12-19,92.07
1991-12-20,92.0
1991-12-23,91.92
1991-12-24,92.0
1991-12-27,92.05
1991-12-30,92.07
1991-12-31,92.05
1992-01-02,92.04
1992-01-03,92.05
1992-01-06,92.03
1992-01-07,92.09
1992-01-08,92.19
1992-01-09,92.32
1992-01-10,92.19
1992-01-13,92.2
1992-01-14,92.3
1992-01-15,92.46
1992-01-16,92.42
1992-01-17,92.41
1992-01-20,92.39
1992-01-21,92.42
1992-01-22,92.47
1992-01-23,92.47
1992-01-24,92.53
1992-01-27,92.56
1992-01-28,92.57
1992-01-29,92.47
1992-01-30,92.45
1992-01-31,92.49
1992-02-03,92.48
1992-02-04,92.45
1992-02-05,92.51
1992-02-06,92.59
1992-02-07,92.63
1992-02-10,92.68
1992-02-11,92.67
1992-02-12,92.64
1992-02-13,92.61
1992-02-14,92.49
1992-02-18,92.55
1992-02-19,92.52
1992-02-20,92.46
1992-02-21,92.5
1992-02-24,92.38
1992-02-25,92.41
1992-02-26,92.33
1992-02-27,92.29
1992-02-28,92.25
1992-03-02,92.19
1992-03-03,92.2
1992-03-04,92.09
1992-03-05,91.97
1992-03-06,91.91
1992-03-09,91.76
1992-03-10,91.77
1992-03-11,91.63
1992-03-12,91.46
1992-03-13,91.51
1992-03-16,91.53
