Date,Settle
2013-10-08,237.6
2013-10-09,237.6
2013-10-10,237.6
2013-10-11,237.6
2013-10-12,237.6
2013-10-13,237.6
2013-10-14,237.6
2013-10-15,237.6
2013-10-16,237.6
2013-10-17,237.6
2013-10-18,237.6
2013-10-19,237.6
2013-10-20,237.6
2013-10-21,237.6
2013-10-22,237.6
2013-10-23,237.6
2013-10-24,237.6
2013-10-25,237.6
2013-10-26,237.6
2013-10-27,237.6
2013-10-28,237.6
2013-10-29,237.6
2013-10-30,237.6
2013-10-31,237.6
2013-11-01,237.6
2013-11-03,237.6
2013-11-04,237.6
2013-11-05,237.6
2013-11-06,237.6
2013-11-07,237.6
2013-11-08,237.5
2013-11-09,237.5
2013-11-10,237.5
2013-11-11,237.5
2013-11-12,237.5
2013-11-13,237.5
2013-11-14,237.5
2013-11-15,237.5
2013-11-16,237.5
2013-11-17,237.5
2013-11-18,237.5
2013-11-19,237.5
2013-11-20,237.5
2013-11-21,237.5
2013-11-22,237.5
2013-11-23,237.5
2013-11-24,237.5
2013-11-25,237.5
2013-11-26,237.5
2013-11-27,237.5
2013-11-28,237.5
2013-11-29,237.5
2013-11-30,237.5
2013-12-01,237.5
2013-12-02,237.5
2013-12-03,237.5
2013-12-04,237.5
2013-12-05,237.5
2013-12-06,237.5
2013-12-07,237.5
2013-12-08,237.5
2013-12-09,237.5
2013-12-10,237.5
2013-12-11,237.5
2013-12-12,237.5
2013-12-16,237.5
2013-12-17,237.5
2013-12-18,237.5
2013-12-19,237.5
2013-12-20,237.91
2013-12-23,242.0
2013-12-24,242.1
2013-12-25,242.1
2013-12-27,242.2
2013-12-30,240.8
2013-12-31,240.8
2014-01-01,240.8
2014-01-02,240.8
2014-01-03,240.8
2014-01-06,240.7
2014-01-07,240.8
2014-01-08,240.7
2014-01-09,240.7
2014-01-12,240.7
2014-01-13,240.8
2014-01-14,240.8
2014-01-15,240.9
2014-01-16,240.9
2014-01-17,240.9
2014-01-18,240.9
2014-01-19,240.9
2014-01-20,240.9
2014-01-21,240.9
2014-01-22,240.9
2014-01-23,240.9
2014-01-24,240.6
2014-01-25,240.6
2014-01-26,240.6
2014-01-27,240.5
2014-01-28,240.5
2014-01-29,240.5
2014-01-30,240.5
2014-01-31,240.4
2014-02-01,240.4
2014-02-02,240.4
2014-02-03,240.3
2014-02-04,240.3
2014-02-05,240.3
2014-02-06,240.5
2014-02-07,240.5
2014-02-08,240.5
2014-02-09,240.5
2014-02-10,240.5
2014-02-11,240.8
2014-02-12,240.8
2014-02-13,240.8
2014-02-14,240.7
2014-02-15,240.7
2014-02-16,240.7
2014-02-17,240.8
2014-02-18,240.9
2014-02-19,240.9
2014-02-20,240.9
2014-02-21,240.9
2014-02-22,240.9
2014-02-23,240.9
2014-02-24,241.0
2014-02-25,240.9
2014-02-26,240.9
2014-02-27,240.9
2014-02-28,240.9
2014-03-01,240.9
2014-03-02,240.9
2014-03-03,235.7
2014-03-04,235.9
2014-03-05,235.8
2014-03-06,235.9
2014-03-07,235.8
2014-03-10,235.7
2014-03-11,235.7
2014-03-12,235.7
2014-03-13,235.7
2014-03-14,235.5
2014-03-15,235.5
2014-03-18,235.6
2014-03-19,235.6
2014-03-20,235.5
2014-03-21,235.5
2014-03-22,235.5
2014-03-23,235.5
2014-03-24,235.4
2014-03-25,235.5
2014-03-26,235.5
2014-03-27,235.5
2014-03-28,235.6
2014-03-29,235.6
2014-03-30,235.6
2014-03-31,235.5
2014-04-01,235.6
2014-04-02,235.6
2014-04-03,235.6
2014-04-04,235.7
2014-04-05,235.7
2014-04-06,235.7
2014-04-07,235.6
2014-04-08,235.6
2014-04-09,235.6
2014-04-10,235.6
2014-04-11,234.4
2014-04-12,234.4
2014-04-13,234.4
2014-04-14,235.5
2014-04-15,235.5
2014-04-16,235.5
