Date,Settle
2013-10-01,609.75
2013-10-02,610.25
2013-10-03,620.25
2013-10-04,613.25
2013-10-07,606.25
2013-10-08,604.5
2013-10-10,610.0
2013-10-11,616.5
2013-10-14,616.25
2013-10-16,612.0
2013-10-17,615.25
2013-10-18,614.0
2013-10-21,616.0
2013-10-22,614.5
2013-10-23,611.75
2013-10-24,608.75
2013-10-25,604.0
2013-10-28,606.5
2013-10-29,610.75
2013-11-01,607.0
2013-11-04,598.0
2013-11-05,598.0
2013-11-06,597.75
2013-11-07,592.75
2013-11-08,591.75
2013-11-11,598.0
2013-11-12,596.5
2013-11-13,594.59
2013-11-15,599.25
2013-11-18,600.5
2013-11-19,602.75
2013-11-21,603.5
2013-11-22,606.75
2013-11-25,602.5
2013-11-26,605.5
2013-11-27,609.25
2013-11-28,607.0
2013-12-02,601.0
2013-12-03,604.25
2013-12-04,603.0
2013-12-05,607.25
2013-12-06,606.0
2013-12-09,608.25
2013-12-10,607.25
2013-12-11,606.75
2013-12-12,607.75
2014-01-07,598.25
2014-01-08,598.5
2014-01-09,600.5
2014-01-10,600.25
2014-01-13,603.0
2014-01-14,602.0
2014-01-15,599.25
2014-01-16,604.5
2014-01-17,607.0
2014-01-21,605.25
2014-01-22,605.75
2014-01-23,610.0
2014-01-24,604.5
2014-01-27,609.0
2014-01-28,613.5
2014-01-29,609.25
2014-02-03,603.0
2014-02-04,601.25
2014-02-05,600.51
2014-02-06,597.0
2014-02-07,602.0
2014-02-10,604.75
2014-02-11,602.75
2014-02-12,607.5
2014-02-13,606.75
2014-02-14,607.5
2014-02-17,609.25
2014-02-18,608.5
2014-02-19,613.25
2014-02-20,613.75
2014-02-21,614.75
2014-02-24,612.75
2014-02-25,612.0
2014-02-26,608.25
2014-02-27,604.75
2014-02-28,606.92
2014-03-03,611.7
2014-03-04,602.75
2014-03-05,597.75
2014-03-06,595.75
2014-03-07,596.1
2014-03-10,596.0
2014-03-11,597.0
2014-03-12,595.75
2014-03-13,597.5
2014-03-14,596.0
2014-03-17,597.5
2014-03-18,595.75
2014-03-19,595.25
2014-03-20,591.25
2014-03-21,594.0
2014-03-24,592.25
2014-03-25,593.0
2014-03-26,593.5
2014-03-27,594.0
2014-03-28,595.5
2014-04-01,589.5
2014-04-02,585.75
2014-04-03,581.25
2014-04-04,588.25
2014-04-07,583.5
2014-04-08,584.25
2014-04-09,588.5
2014-04-10,590.5
2014-04-11,590.0
2014-04-14,594.5
2014-04-15,595.0
2014-04-16,595.75
2014-04-17,590.75
2014-04-21,589.5
2014-04-22,593.75
2014-04-23,594.5
2014-04-24,594.25
2014-04-25,592.5
2014-04-28,593.25
2014-04-29,588.0
2014-04-30,587.28
2014-05-02,585.75
2014-05-05,588.5
2014-05-06,587.0
2014-05-07,587.5
2014-05-08,589.75
2014-05-09,592.5
2014-05-12,588.25
2014-05-14,593.75
2014-05-15,593.0
2014-05-16,591.4
2014-05-19,598.0
2014-05-20,598.0
2014-05-21,600.0
2014-05-22,598.25
2014-05-23,598.5
2014-05-26,598.5
2014-05-27,598.5
2014-05-28,596.0
2014-05-29,596.75
2014-06-02,600.8
2014-06-03,597.25
2014-06-04,598.5
2014-06-05,593.25
2014-06-06,596.87
2014-06-09,594.75
2014-06-10,598.25
2014-06-11,600.5
2014-06-12,607.0
2014-06-13,613.0
2014-06-16,611.25
2014-06-17,610.0
2014-06-18,615.87
2014-06-19,618.37
2014-06-20,621.37
2014-06-23,624.25
2014-06-24,618.88
2014-06-25,617.13
2014-06-26,617.0
2014-06-27,613.88
2014-07-01,610.38
2014-07-02,607.63
2014-07-03,602.13
2014-07-07,599.25
2014-07-08,595.0
2014-07-09,593.0
2014-07-10,593.0
2014-07-11,596.37
2014-07-14,592.5
2014-07-15,592.87
2014-07-16,593.87
2014-07-17,595.25
2014-07-21,593.25
2014-07-22,595.87
2014-07-23,592.13
2014-07-24,595.87
2014-07-25,596.75
2014-07-29,599.5
2014-07-30,599.75
2014-08-01,594.75
2014-08-04,592.88
2014-08-05,590.25
2014-08-06,589.25
2014-08-07,587.88
2014-08-08,595.12
2014-08-11,586.25
2014-08-12,584.5
2014-08-13,580.75
2014-08-14,588.5
2014-08-15,582.38
2014-08-18,583.37
2014-08-19,583.13
2014-08-20,585.5
2014-08-21,583.5
2014-08-22,585.75
2014-08-25,584.0
2014-08-26,586.75
2014-08-27,588.5
2014-08-28,591.37
2014-08-29,587.91
2014-09-01,586.62
2014-09-02,580.0
2014-09-03,577.25
2014-09-04,581.75
2014-09-05,580.5
2014-09-08,574.38
2014-09-09,575.87
2014-09-10,574.63
2014-09-11,572.5
2014-09-12,573.87
2014-09-15,565.38
2014-09-16,562.88
2014-09-17,567.25
2014-09-18,567.87
2014-09-19,562.63
2014-09-22,563.75
2014-09-23,563.5
2014-09-24,561.63
2014-09-25,563.37
2014-09-26,561.13
2014-09-29,559.0
2014-10-01,549.38
2014-10-02,545.38
2014-10-03,543.88
2014-10-07,532.13
2014-10-08,519.75
2014-10-09,520.25
2014-10-10,502.88
2014-10-13,497.75
2014-10-14,496.25
2014-10-15,468.25
2014-10-16,460.75
2014-10-17,478.37
2014-10-20,477.25
2014-10-21,474.38
2014-10-23,468.5
2014-10-27,474.75
2014-10-28,476.25
2014-10-29,480.75
2014-10-30,481.5
2014-10-31,495.41
2014-11-03,472.75
2014-11-04,461.88
2014-11-05,456.88
2014-11-06,459.62
2014-11-07,459.75
2014-11-10,470.87
2014-11-11,463.88
2014-11-12,462.88
2014-11-13,459.0
2014-11-14,435.75
2014-11-17,437.75
2014-11-18,443.62
2014-11-19,439.0
