Date,Settle
2013-10-08,7465.0
2013-10-09,7485.0
2013-10-10,7400.0
2013-10-11,7490.0
2013-10-14,7475.0
2013-10-15,7440.0
2013-10-16,7355.0
2013-10-17,7295.0
2013-10-18,7320.0
2013-10-21,7390.0
2013-10-22,7335.0
2013-10-23,7260.0
2013-10-24,7255.0
2013-10-25,7195.0
2013-10-28,7190.0
2013-10-29,7325.0
2013-10-30,7415.0
2013-10-31,7380.0
2013-11-01,7480.0
2013-11-04,7425.0
2013-11-05,7375.0
2013-11-06,7300.0
2013-11-07,7275.0
2013-11-08,7200.0
2013-11-11,7280.0
2013-11-12,7270.0
2013-11-13,7100.0
2013-11-15,7285.0
2013-11-18,7645.0
2013-11-19,7595.0
2013-11-21,7475.0
2013-11-22,7495.0
2013-11-25,7440.0
2013-11-26,7440.0
2013-11-27,7480.0
2013-11-28,7555.0
2013-11-29,7575.0
2013-12-02,7635.0
2013-12-03,7640.0
2013-12-04,7700.0
2013-12-05,7685.0
2013-12-06,7610.0
2013-12-09,7620.0
2013-12-10,7595.0
2013-12-11,7435.0
2013-12-12,7385.0
2013-12-27,7020.0
2014-01-07,6785.0
2014-01-08,6800.0
2014-01-09,6795.0
2014-01-10,6785.0
2014-01-13,6775.0
2014-01-14,6765.0
2014-01-15,6765.0
2014-01-16,6790.0
2014-01-17,6675.0
2014-01-20,6630.0
2014-01-21,6690.0
2014-01-22,6845.0
2014-01-23,6790.0
2014-01-24,6790.0
2014-01-27,6715.0
2014-01-28,6735.0
2014-01-29,6770.0
2014-01-30,6625.0
2014-02-07,6655.0
2014-02-10,6750.0
2014-02-11,6860.0
2014-02-12,6895.0
2014-02-13,6885.0
2014-02-14,6930.0
2014-02-17,6930.0
2014-02-18,6810.0
2014-02-19,6920.0
2014-02-20,6860.0
2014-02-21,6820.0
2014-02-24,6610.0
2014-02-25,6475.0
2014-02-26,6480.0
2014-02-27,6525.0
2014-02-28,6565.0
2014-03-03,6500.0
2014-03-04,6500.0
2014-03-05,6460.0
2014-03-06,6535.0
2014-03-07,6520.0
2014-03-10,6340.0
2014-03-11,6380.0
2014-03-12,6375.0
2014-03-13,6440.0
2014-03-14,6420.0
2014-03-17,6455.0
2014-03-18,6405.0
2014-03-19,6375.0
2014-03-20,6280.0
2014-03-21,6590.0
2014-03-24,6640.0
2014-03-25,6600.0
2014-03-26,6590.0
2014-03-27,6560.0
2014-03-28,6615.0
2014-03-31,6535.0
2014-04-01,6565.0
2014-04-02,6655.0
2014-04-03,6640.0
2014-04-04,6675.0
2014-04-08,6830.0
2014-04-09,6850.0
2014-04-10,6990.0
2014-04-11,7010.0
2014-04-14,7095.0
2014-04-15,6845.0
2014-04-16,6850.0
2014-04-17,6805.0
2014-04-18,6770.0
2014-04-21,6685.0
2014-04-22,6735.0
2014-04-23,6740.0
2014-04-24,6760.0
2014-04-25,6700.0
2014-04-28,6655.0
2014-04-29,6680.0
2014-04-30,6605.0
2014-05-05,6590.0
2014-05-06,6595.0
2014-05-07,6525.0
2014-05-08,6560.0
2014-05-09,6540.0
2014-05-12,6650.0
2014-05-13,6650.0
2014-05-14,6675.0
2014-05-15,6640.0
2014-05-16,6630.0
2014-05-19,6525.0
2014-05-20,6525.0
2014-05-21,6555.0
2014-05-22,6580.0
2014-05-23,6610.0
2014-05-26,6645.0
2014-05-27,6625.0
2014-05-28,6710.0
2014-05-29,6655.0
2014-05-30,6665.0
2014-06-03,6665.0
2014-06-04,6585.0
2014-06-05,6685.0
2014-06-06,6600.0
2014-06-09,6650.0
2014-06-10,6750.0
2014-06-11,6720.0
2014-06-12,6720.0
2014-06-13,6820.0
2014-06-16,6890.0
2014-06-17,6800.0
2014-06-18,6735.0
2014-06-19,6670.0
2014-06-20,6685.0
2014-06-23,6630.0
2014-06-24,6690.0
2014-06-25,6660.0
2014-06-26,6700.0
2014-06-27,6685.0
2014-06-30,6630.0
2014-07-01,6615.0
2014-07-02,6665.0
2014-07-03,6695.0
2014-07-07,6665.0
2014-07-08,6670.0
2014-07-09,6570.0
2014-07-10,6570.0
2014-07-11,6580.0
2014-07-14,6680.0
2014-07-15,6660.0
2014-07-16,6675.0
2014-07-17,6655.0
2014-07-21,6715.0
2014-07-22,6805.0
2014-07-23,6870.0
2014-07-24,7030.0
2014-07-25,7145.0
2014-07-28,7295.0
2014-07-29,7360.0
2014-07-30,7325.0
2014-07-31,7465.0
2014-08-01,7385.0
2014-08-04,7535.0
2014-08-05,7455.0
2014-08-06,7380.0
2014-08-07,7250.0
2014-08-08,7290.0
2014-08-11,7405.0
2014-08-12,7380.0
2014-08-13,7385.0
2014-08-14,7280.0
2014-08-15,7355.0
2014-08-18,7360.0
2014-08-19,7350.0
2014-08-20,7280.0
2014-08-21,7195.0
2014-08-22,7275.0
2014-08-25,7180.0
2014-08-26,7170.0
2014-08-27,7135.0
2014-08-28,7080.0
2014-08-29,7165.0
2014-09-01,7165.0
2014-09-02,7275.0
2014-09-03,7430.0
2014-09-04,7445.0
2014-09-05,7525.0
2014-09-09,7495.0
2014-09-10,7360.0
2014-09-11,7320.0
2014-09-12,7370.0
2014-09-15,7270.0
2014-09-16,7155.0
2014-09-17,7220.0
2014-09-18,7235.0
2014-09-19,7295.0
2014-09-22,7075.0
2014-09-23,7130.0
2014-09-24,7310.0
