Date,Settle
2013-10-01,606.0
2013-10-02,604.0
2013-10-03,610.0
2013-10-04,607.0
2013-10-07,598.0
2013-10-08,601.0
2013-10-10,601.0
2013-10-11,608.0
2013-10-14,607.0
2013-10-16,606.0
2013-10-17,608.0
2013-10-18,606.0
2013-10-21,607.0
2013-10-22,612.0
2013-10-23,605.0
2013-10-24,598.0
2013-10-25,597.0
2013-10-28,595.0
2013-10-29,601.0
2013-10-31,602.0
2013-11-01,597.0
2013-11-04,598.0
2013-11-05,592.0
2013-11-06,590.0
2013-11-07,584.0
2013-11-08,581.0
2013-11-11,589.0
2013-11-12,595.0
2013-11-13,590.0
2013-11-15,593.0
2013-11-18,587.0
2013-11-19,601.0
2013-11-21,601.0
2013-11-22,605.0
2013-11-25,600.0
2013-11-26,603.0
2013-11-27,603.0
2013-11-28,601.0
2013-11-29,607.0
2013-12-02,596.0
2013-12-03,606.0
2013-12-04,607.0
2013-12-05,605.0
2013-12-06,607.0
2013-12-09,606.0
2013-12-10,604.0
2013-12-11,607.0
2013-12-12,605.0
2013-12-23,613.0
2014-01-07,594.0
2014-01-08,595.0
2014-01-09,595.0
2014-01-10,593.0
2014-01-13,597.0
2014-01-14,595.0
2014-01-15,599.0
2014-01-16,590.0
2014-01-17,597.0
2014-01-20,597.0
2014-01-21,602.0
2014-01-22,601.0
2014-01-23,605.0
2014-01-24,601.0
2014-01-27,598.0
2014-01-28,600.0
2014-01-29,598.0
2014-01-30,605.0
2014-02-03,589.0
2014-02-04,589.0
2014-02-05,591.0
2014-02-06,592.0
2014-02-07,596.0
2014-02-10,604.0
2014-02-11,600.0
2014-02-12,602.0
2014-02-13,597.0
2014-02-14,603.0
2014-02-17,606.0
2014-02-18,605.0
2014-02-19,609.0
2014-02-20,609.0
2014-02-21,611.0
2014-02-24,610.0
2014-02-25,607.0
2014-02-26,605.0
2014-02-27,598.0
2014-02-28,598.0
2014-03-03,614.0
2014-03-04,603.0
2014-03-05,596.0
2014-03-06,595.0
2014-03-07,596.0
2014-03-10,596.0
2014-03-11,596.0
2014-03-12,594.0
2014-03-13,593.0
2014-03-14,596.0
2014-03-17,597.0
2014-03-18,592.0
2014-03-19,591.0
2014-03-20,591.0
2014-03-21,598.0
2014-03-24,596.0
2014-03-25,595.0
2014-03-26,594.0
2014-03-27,594.0
2014-03-28,595.0
2014-03-31,597.0
2014-04-01,597.0
2014-04-02,587.0
2014-04-03,584.0
2014-04-04,591.0
2014-04-07,586.0
2014-04-08,587.0
2014-04-09,592.0
2014-04-10,594.0
2014-04-11,591.0
2014-04-14,592.0
2014-04-15,598.0
2014-04-16,600.0
2014-04-17,590.0
2014-04-21,590.0
2014-04-22,593.0
2014-04-23,596.0
2014-04-24,593.0
2014-04-25,595.0
2014-04-28,597.0
2014-04-29,592.0
2014-04-30,590.0
2014-05-02,591.0
2014-05-05,590.0
2014-05-06,587.0
2014-05-07,585.0
2014-05-08,589.0
2014-05-09,593.0
2014-05-12,601.0
2014-05-14,604.0
2014-05-15,605.0
2014-05-16,603.0
2014-05-19,592.0
2014-05-20,595.0
2014-05-21,598.0
2014-05-22,599.0
2014-05-23,599.0
2014-05-26,600.0
2014-05-27,596.0
2014-05-28,598.0
2014-05-29,598.0
2014-05-30,596.0
2014-06-02,596.0
2014-06-03,592.0
2014-06-04,596.0
2014-06-05,592.0
2014-06-06,596.0
2014-06-09,594.0
2014-06-10,596.0
2014-06-11,598.0
2014-06-12,607.0
2014-06-13,608.0
2014-06-16,610.0
2014-06-17,611.0
2014-06-18,613.0
2014-06-19,620.0
2014-06-20,621.0
2014-06-23,622.0
2014-06-24,620.0
2014-06-25,615.0
2014-06-26,616.0
2014-06-27,613.0
2014-06-30,610.0
2014-07-01,609.0
2014-07-02,604.0
2014-07-03,600.0
2014-07-07,600.0
2014-07-08,594.0
2014-07-09,593.0
2014-07-10,592.0
2014-07-11,595.0
2014-07-14,591.0
2014-07-15,590.0
2014-07-16,592.0
2014-07-17,595.0
2014-07-21,590.0
2014-07-22,599.0
2014-07-23,594.0
2014-07-24,597.0
2014-07-25,591.0
2014-07-29,595.0
2014-07-30,593.0
2014-07-31,587.0
2014-08-01,591.0
2014-08-04,587.0
2014-08-05,590.0
2014-08-06,585.0
2014-08-07,585.0
2014-08-08,595.0
2014-08-11,587.0
2014-08-12,584.0
2014-08-13,578.0
2014-08-14,581.0
2014-08-15,581.0
2014-08-18,578.0
2014-08-19,581.0
2014-08-20,584.0
2014-08-21,580.0
2014-08-22,574.0
2014-08-25,579.0
2014-08-26,579.0
2014-08-27,581.0
2014-08-28,583.0
2014-08-29,583.0
2014-09-01,583.0
2014-09-02,577.0
2014-09-03,575.0
2014-09-04,579.0
2014-09-05,578.0
2014-09-08,555.0
2014-09-09,571.0
2014-09-10,568.0
2014-09-11,564.0
2014-09-12,568.0
2014-09-15,564.0
2014-09-16,561.0
2014-09-18,564.0
2014-09-19,565.0
2014-09-22,560.0
2014-09-23,558.0
2014-09-24,556.0
2014-09-25,556.0
2014-09-26,554.0
2014-09-29,555.0
2014-09-30,554.0
2014-10-01,544.0
2014-10-02,520.0
2014-10-03,540.0
2014-10-07,530.0
2014-10-08,525.0
2014-10-09,515.0
2014-10-10,506.0
2014-10-13,506.0
2014-10-14,503.0
2014-10-15,478.0
2014-10-16,467.0
2014-10-17,479.0
2014-10-20,486.0
2014-10-21,481.0
2014-10-23,467.0
2014-10-27,475.0
2014-10-28,485.0
2014-10-29,478.0
2014-10-30,479.0
2014-10-31,477.0
2014-11-03,479.0
2014-11-04,460.0
2014-11-05,452.0
2014-11-06,455.0
2014-11-07,456.0
2014-11-10,466.0
2014-11-11,457.0
2014-11-12,455.0
2014-11-13,445.0
2014-11-14,440.0
2014-11-17,438.0
2014-11-18,436.0
2014-11-19,438.0
2014-11-20,434.0
2014-11-21,442.0
2014-11-24,450.0
2014-11-25,441.0
2014-11-26,432.0
2014-11-27,424.0
2014-11-28,402.0
2014-12-01,387.0
2014-12-02,399.0
2014-12-03,391.0
2014-12-04,383.0
2014-12-05,375.0
2014-12-08,368.0
2014-12-09,360.0
2014-12-10,358.0
2014-12-11,351.0
2014-12-12,339.0
2014-12-15,342.0
2014-12-16,311.0
2014-12-17,312.0
2014-12-18,327.0
2014-12-19,313.0
2014-12-22,325.0
2014-12-23,327.0
2014-12-24,321.0
2014-12-26,319.0
2014-12-29,314.0
2014-12-30,299.0
2014-12-31,294.0
2015-01-02,301.0
2015-01-05,288.0
2015-01-06,266.0
2015-01-07,265.0
2015-01-08,272.0
2015-01-09,277.0
2015-01-12,265.0
2015-01-13,257.0
2015-01-14,265.0
2015-01-15,260.0
2015-01-16,272.0
2015-01-19,268.0
2015-01-20,266.0
2015-01-21,269.0
