Date,Settle
2013-10-01,2335.0
2013-10-02,2331.0
2013-10-03,2354.0
2013-10-04,2343.0
2013-10-07,2330.0
2013-10-08,2369.0
2013-10-10,2342.0
2013-10-11,2359.0
2013-10-14,2421.0
2013-10-16,2425.0
2013-10-17,2391.0
2013-10-18,2388.0
2013-10-21,2354.0
2013-10-22,2341.0
2013-10-23,2335.0
2013-10-24,2341.0
2013-10-25,2314.0
2013-10-28,2293.0
2013-10-29,2300.0
2013-10-31,2281.0
2013-11-01,2304.0
2013-11-04,2310.0
2013-11-05,2293.0
2013-11-06,2290.0
2013-11-07,2307.0
2013-11-08,2322.0
2013-11-11,2307.0
2013-11-12,2290.0
2013-11-13,2295.0
2013-11-15,2305.0
2013-11-18,2295.0
2013-11-19,2296.0
2013-11-22,2300.0
2013-11-25,2285.0
2013-11-26,2274.0
2013-11-27,2285.0
2013-11-28,2299.0
2013-11-29,2320.0
2013-12-02,2338.0
2013-12-03,2324.0
2013-12-04,2317.0
2013-12-05,2315.0
2013-12-06,2353.0
2013-12-09,2323.0
2013-12-10,2310.0
2013-12-11,2308.0
2013-12-12,2330.0
2014-01-07,2185.0
2014-01-08,2187.0
2014-01-09,2192.0
2014-01-10,2200.0
2014-01-13,2169.0
2014-01-14,2207.0
2014-01-15,2181.0
2014-01-16,2180.0
2014-01-17,2180.0
2014-01-20,2163.0
2014-01-21,2142.0
2014-01-22,2146.0
2014-01-23,2119.0
2014-01-24,2073.0
2014-01-27,1971.0
2014-01-28,1935.0
2014-01-29,1949.0
2014-01-30,1886.0
2014-02-03,1893.0
2014-02-04,1869.0
2014-02-05,1848.0
2014-02-06,1812.0
2014-02-07,1831.0
2014-02-10,1907.0
2014-02-11,1930.0
2014-02-12,1939.0
2014-02-13,1895.0
2014-02-14,1896.0
2014-02-17,1965.0
2014-02-18,1962.0
2014-02-19,1954.0
2014-02-20,1898.0
2014-02-21,1895.0
2014-02-24,1829.0
2014-02-25,1785.0
2014-02-26,1786.0
2014-02-27,1831.0
2014-02-28,1825.0
2014-03-03,1856.0
2014-03-04,1859.0
2014-03-05,1895.0
2014-03-06,1893.0
2014-03-07,1890.0
2014-03-10,1820.0
2014-03-11,1865.0
2014-03-12,1902.0
2014-03-13,1923.0
2014-03-14,1946.0
2014-03-17,1883.0
2014-03-18,1864.0
2014-03-19,1867.0
2014-03-20,1859.0
2014-03-21,1849.0
2014-03-24,1848.0
2014-03-25,1857.0
2014-03-26,1839.0
2014-03-27,1808.0
2014-03-28,1833.0
2014-03-31,1860.0
2014-04-01,1852.0
2014-04-02,1809.0
2014-04-03,1813.0
2014-04-04,1795.0
2014-04-07,1797.0
2014-04-08,1815.0
2014-04-09,1806.0
2014-04-10,1784.0
2014-04-11,1773.0
2014-04-14,1784.0
2014-04-15,1794.0
2014-04-16,1797.0
2014-04-17,1768.0
2014-04-21,1656.0
2014-04-22,1690.0
2014-04-23,1699.0
2014-04-24,1707.0
2014-04-25,1693.0
2014-04-28,1706.0
2014-04-29,1750.0
2014-04-30,1725.0
2014-05-02,1703.0
2014-05-05,1695.0
2014-05-06,1668.0
2014-05-07,1671.0
2014-05-08,1671.0
2014-05-09,1684.0
2014-05-12,1676.0
2014-05-14,1685.0
2014-05-15,1682.0
2014-05-16,1671.0
2014-05-19,1677.0
2014-05-20,1667.0
2014-05-21,1673.0
2014-05-22,1663.0
2014-05-23,1662.0
2014-05-26,1688.0
2014-05-27,1691.0
2014-05-28,1697.0
2014-05-29,1687.0
2014-05-30,1639.0
2014-06-02,1645.0
2014-06-03,1646.0
2014-06-04,1642.0
2014-06-05,1639.0
2014-06-06,1647.0
2014-06-09,1601.0
2014-06-10,1604.0
2014-06-11,1613.0
2014-06-12,1604.0
2014-06-13,1610.0
2014-06-16,1648.0
2014-06-17,1654.0
2014-06-18,1670.0
2014-06-19,1691.0
2014-06-20,1709.0
