Date,Settle,Volume
2014-11-01,0.079314,4008.0
2014-11-02,0.079299,4895.0
2014-11-03,0.0763064,3895.0
2014-11-04,0.079347,2609.0
2014-11-05,0.0850784,34801.0
2014-11-06,0.0876698,93768.0
2014-11-07,0.0856831,29513.0
2014-11-08,0.0852396,19445.0
2014-11-09,0.0876824,22944.0
2014-11-10,0.0869864,6406.0
2014-11-11,0.072258,14884.0
2014-11-12,0.0746896,5441.0
2014-11-13,0.0666777,5144.0
2014-11-14,0.0556874,7982.0
2014-11-15,0.0492731,1626.0
2014-11-16,0.0478951,1910.0
2014-11-17,0.0500318,2167.0
2014-11-18,0.0507013,1014.0
2014-11-19,0.0492975,373.0
2014-11-20,0.0468887,233.0
2014-11-21,0.0467445,1409.0
2014-11-22,0.0480872,432.0
2014-11-23,0.048688,794.0
2014-11-24,0.052111,998.0
2014-11-25,0.0595173,968.0
2014-11-26,0.0520425,454.0
2014-11-27,0.0513522,510.0
2014-11-28,0.0543746,2360.0
2014-11-29,0.0504009,414.0
2014-11-30,0.0528611,720.0
2014-12-01,0.0483624,1696.0
2014-12-02,0.0468876,705.0
2014-12-03,0.0465064,1287.0
2014-12-04,0.0479877,595.0
2014-12-05,0.0511851,176.0
2014-12-06,0.046106,339.0
2014-12-07,0.0465405,257.0
2014-12-08,0.041785,665.0
2014-12-09,0.0396709,442.0
2014-12-10,0.0440268,389.0
2014-12-13,0.0396567,773.0
2014-12-14,0.0408417,140.0
2014-12-15,0.0408671,342.0
2014-12-16,0.0379869,988.0
2014-12-17,0.0408324,309.0
2014-12-18,0.036247,298.0
2014-12-19,0.0391156,176.0
2014-12-20,0.0379441,464.0
2014-12-21,0.0404308,357.0
2014-12-22,0.0372586,594.0
2014-12-23,0.0366668,205.0
2014-12-24,0.0375151,913.0
2014-12-25,0.0408903,714.0
2014-12-26,0.0470709,1579.0
2014-12-27,0.0406656,176.0
2014-12-28,0.0487905,389.0
2014-12-29,0.0403496,490.0
2014-12-30,0.0391974,591.0
2014-12-31,0.0467186,370.0
2015-01-01,0.0378698,795.0
2015-01-02,0.0392709,538.0
2015-01-03,0.0357412,309.0
2015-01-04,0.0312119,338.0
2015-01-05,0.0415925,526.0
2015-01-06,0.0352323,827.0
2015-01-07,0.0364495,683.0
2015-01-08,0.0367752,349.0
2015-01-10,0.0355395,334.0
2015-01-11,0.0344012,88.0
2015-01-12,0.0337004,90.0
2015-01-13,0.0298261,266.0
2015-01-14,0.0398729,95.0
2015-01-15,0.0243582,275.0
2015-01-16,0.0264695,304.0
2015-01-17,0.0248497,112.0
2015-01-18,0.0246361,154.0
2015-01-19,0.0259316,145.0
2015-01-20,0.0262388,346.0
2015-01-21,0.0251423,127.0
2015-01-22,0.0286683,36.0
2015-01-23,0.0264108,124.0
2015-01-24,0.029997,43.0
2015-01-25,0.0308967,114.0
2015-01-26,0.0382639,445.0
2015-01-27,0.0354043,215.0
2015-01-28,0.0351643,568.0
2015-01-29,0.0308225,185.0
2015-01-30,0.0287563,223.0
2015-01-31,0.0291801,100.0
2015-02-01,0.0280554,50.0
2015-02-02,0.027349,173.0
2015-02-03,0.0275489,377.0
2015-02-04,0.0277912,97.0
2015-02-05,0.026747,375.0
2015-02-06,0.0259283,112.0
2015-02-07,0.0268349,84.0
2015-02-08,0.0277684,371.0
2015-02-09,0.0266027,463.0
2015-02-10,0.0244088,463.0
2015-02-11,0.0214094,102.0
2015-02-12,0.0260058,22.0
2015-02-13,0.0246774,18.0
2015-02-14,0.0260235,988.0
2015-02-15,0.0265131,188.0
2015-02-16,0.0319479,264.0
2015-02-17,0.0283066,19.0
2015-02-18,0.0322421,145.0
2015-02-19,0.0288701,92.0
2015-02-20,0.0290428,178.0
2015-02-21,0.0305544,66.0
2015-02-22,0.0280634,118.0
2015-02-23,0.0304773,69.0
2015-02-24,0.0312981,212.0
2015-02-25,0.0308612,62.0
2015-02-26,0.0277109,81.0
2015-02-27,0.0310507,55.0
2015-02-28,0.032288,89.0
2015-03-01,0.0315404,87.0
2015-03-02,0.0334286,72.0
2015-03-03,0.040864,1861.0
2015-03-04,0.0451301,892.0
2015-03-05,0.0477368,953.0
2015-03-06,0.0752794,7965.0
2015-03-07,0.05954097451601181,1556.5765002618884
2015-03-08,0.05842888095011994,608.0272134450007
2015-03-09,0.05498607608928167,3344.163663636976
2015-03-10,0.0603655244487908,1138.476066554156
2015-03-11,0.05425438058916013,284.6720811952604
2015-03-12,0.05005218719085113,5586.64504153364
2015-03-13,0.04893912234412694,8530.203844175468
2015-03-14,0.04768743689872525,179.77196763152662
2015-03-15,0.04845107999296883,440.1930633668798
2015-03-16,0.04378471983276173,15741.845435568031
2015-03-17,0.03741684746301888,463.01924163403396
2015-03-18,0.03522362932070489,129.66821019765996
2015-03-19,0.03272862725482111,434.43954901876526
2015-03-20,0.035298175675,20.060289682075872
2015-03-21,0.03584089123483257,39.4015822690074
2015-03-22,0.03880608442479342,535.8860041935001
2015-03-23,0.03923530808127487,107.41459334520366
2015-03-24,0.0340786421506471,25.716586142263065
2015-03-25,0.03558397355635639,31.762315209450655
2015-03-26,0.0335279754166909,159.1639505442377
2015-03-27,0.03522870396405704,396.8284893768375
2015-03-28,0.03556714324601105,191.91735064719128
2015-03-29,0.03159112098448233,49.475027974933575
2015-03-30,0.03692137489265755,17.71925813694779
2015-03-31,0.0308237319816555,153.448474146306
2015-04-01,0.03302670560280136,228.68399526376413
2015-04-02,0.03193986692495918,234.0898757696949
2015-04-03,0.03113232294477116,63.06246012931186
2015-04-04,0.0324499305929755,140.49256005025197
2015-04-05,0.0334234762214935,58.63241675140166
2015-04-06,0.033205029,220.1499241187347
2015-04-07,0.0330491446656654,479.3188381302581
2015-04-08,0.02900090762570939,64.81417013251234
2015-04-09,0.02519863219984164,368.75214730026903
2015-04-10,0.02443289694607146,61.50348933744465
2015-04-11,0.02617067972232747,58.39856576856632
2015-04-12,0.03233815019195991,391.90906852177494
2015-04-13,0.02840870596631554,474.7808711683618
2015-04-14,0.02916499085858286,127.01447724370662
2015-04-15,0.03166044832917197,146.88606709638188
2015-04-16,0.02978651277081587,323.6142430661438
2015-04-17,0.028415978325545,165.70065836821937
2015-04-18,0.03166764408157199,140.6480805735481
2015-04-19,0.02961601743180102,49.921777309960454
2015-04-20,0.03177933630391638,256.0461799553686
2015-04-21,0.03023887785002258,352.55430566738033
2015-04-22,0.03124357483763859,31.060554741822177
2015-04-23,0.0419775412997603,990.1685731057502
2015-04-24,0.04872110488374973,1708.6853168174691
2015-04-25,0.04761182765257074,374.79190970970177
2015-04-26,0.04433043862578289,229.31793470865972
2015-04-27,0.04920790477984683,739.3943651688727
2015-04-28,0.08149872640115285,12033.46477187376
2015-04-29,0.06600544336042949,8277.980055948829
2015-04-30,0.06724174604298405,1822.6966296882977
2015-05-01,0.08314067384861532,2522.4434020981926
2015-05-02,0.0868692081225183,3517.4279527124563
2015-05-03,0.08973592270523513,1402.484434887271
2015-05-04,0.09539668362305281,1713.3568955384515
2015-05-05,0.0870014429685355,709.0191672085954
2015-05-06,0.09235952780505075,641.6059557189858
2015-05-07,0.0887040204624374,191.31893625495343
2015-05-08,0.09081836651281916,161.31148586488627
2015-05-09,0.0913226298838296,891.9014730167521
2015-05-10,0.09467716287600346,1314.079644572097
2015-05-11,0.09587435507445692,601.5574415053483
2015-05-12,0.1186745721409971,5239.3247655846035
2015-05-13,0.1028740255118325,6691.84849105349
2015-05-14,0.111659921293538,5210.218525506786
2015-05-15,0.1096794607136176,394.82782177024444
2015-05-16,0.1154800861598973,2818.513846105083
2015-05-17,0.1077726505251272,1570.194166641153
2015-05-18,0.08836359378742564,808.7427518367255
2015-05-19,0.09053698750221426,326.74056657228806
2015-05-20,0.09350939705620002,633.548694235514
2015-05-21,0.09969686426477817,1055.705301607043
2015-05-22,0.08960886480556421,103.75414024874249
2015-05-23,0.1092649356711514,1427.6732096645137
2015-05-24,0.09632887601384958,943.1729414637736
2015-05-25,0.09952555453096561,125.05388652422666
2015-05-26,0.09953227763055421,3279.628355070913
2015-05-27,0.1011057086893973,189.34680908580324
2015-05-28,0.1040809299390435,77.34883814776593
2015-05-29,0.1126581564329846,4508.943361493566
2015-05-30,0.116688323884962,1803.3680877264558
2015-05-31,0.1484565713217965,5577.912205460578
2015-06-01,0.1139548199675693,3628.1527582774984
2015-06-02,0.108867886966027,573.3113029992453
2015-06-03,0.121506078097,10.97003797005992
2015-06-04,0.1344238648731771,2237.108193023314
2015-06-05,0.1234510328927047,812.8082988630645
2015-06-06,0.1148104018012888,178.27011141431316
2015-06-07,0.1172643696668773,253.61256199113296
2015-06-08,0.107505620091,856.0667620644796
2015-06-09,0.117058464,33.396051909670845
2015-06-10,0.1142078123106099,246.18226144341088
2015-06-11,0.117266493,629.987484745014
2015-06-12,0.110663331314402,766.0841179015526
2015-06-13,0.1188274894214521,153.28916739321056
2015-06-14,0.1085369208186374,610.3237133199507
2015-06-15,0.1229618551936463,9.869953856336679
2015-06-16,0.1300968998983862,564.0521277008899
2015-06-17,0.1305359684562418,193.87910009869012
2015-06-18,0.119553512,246.39904245360555
2015-06-19,0.1094734462634326,676.3137799761565
2015-06-20,0.1043716958567883,571.8142927802521
2015-06-21,0.1088790178323129,18.354576674557823
2015-06-22,0.1000654431669198,30.655765395028588
2015-06-23,0.1000875926425478,9309.497734329252
2015-06-24,0.0986037821208634,3156.837058913533
2015-06-25,0.0945862636570539,1234.3120602102267
2015-06-26,0.09246423350490014,162.14261529631491
2015-06-27,0.1084983861755208,953.9296978501253
2015-06-28,0.09781912528218904,29.473428373028824
2015-06-29,0.1025846798153828,3680.114397479573
2015-06-30,0.08684302708754212,10553.055010804535
2015-07-01,0.0904247885341186,1058.5234223765854
2015-07-02,0.0971332709467071,1558.3070812817618
2015-07-03,0.100489789553888,52.05652978880976
2015-07-04,0.09718861970434538,32.38117260599203
2015-07-05,0.09656338895439368,627.5170013646542
2015-07-06,0.09557610420672594,541.3625131699921
2015-07-07,0.08543585348678903,190.8027413059279
2015-07-08,0.0925158369580652,64.1702754255186
2015-07-09,0.0837944918334643,191.14267788384515
2015-07-10,0.07758794047864863,234.8776765275326
2015-07-11,0.07124178317674427,1632.2194000244806
2015-07-12,0.06565798779351097,116.04327624451625
2015-07-13,0.0685123376143197,102.53361632321544
2015-07-14,0.08270455119323748,317.38234132885674
2015-07-15,0.06891737142003365,546.3314962012755
2015-07-16,0.076342041266791,151.71043400482986
2015-07-17,0.06819109469389176,369.0670791280092
2015-07-18,0.0617617835031873,148.8181153263137
2015-07-19,0.05477019888205323,251.74525332292146
