Date,Settle,Volume
2015-01-25,0.00444144,6046.0
2015-01-26,0.00338442,3073.0
2015-01-27,0.00296341,1517.0
2015-01-28,0.00214954,678.0
2015-01-29,0.00176217,810.0
2015-01-30,0.00159764,497.0
2015-01-31,0.00200498,1107.0
2015-02-01,0.00134055,794.0
2015-02-02,0.00158551,500.0
2015-02-03,0.00157186,141.0
2015-02-04,0.00141979,162.0
2015-02-05,0.00130081,621.0
2015-02-06,0.00112936,331.0
2015-02-07,0.00103832,144.0
2015-02-08,0.00131609,345.0
2015-02-09,0.0012775,789.0
2015-02-10,0.00140807,186.0
2015-02-11,0.00110451,77.0
2015-02-12,0.00107616,53.0
2015-02-13,0.00157922,227.0
2015-02-14,0.00202014,437.0
2015-02-15,0.0025797,7621.0
2015-02-16,0.00183858,1661.0
2015-02-17,0.0018935,435.0
2015-02-18,0.00203737,453.0
2015-02-19,0.00314279,2785.0
2015-02-20,0.00398192,5817.0
2015-02-21,0.0029139,2731.0
2015-02-22,0.0033083,2802.0
2015-02-23,0.00308368,2804.0
2015-02-24,0.00287044,439.0
2015-02-25,0.0023822,956.0
2015-02-26,0.00171845,1019.0
2015-02-27,0.00223493,218.0
2015-02-28,0.00244773,97.0
2015-03-01,0.00218667,93.0
2015-03-02,0.00252154,260.0
2015-03-04,0.00179703,699.0
2015-03-05,0.00177817,143.0
2015-03-06,0.00177988,114.0
2015-03-07,0.00215848,181.0
2015-03-08,0.00182784,89.0
2015-03-09,0.00175418,456.0
2015-03-10,0.001542,1187.0
2015-03-11,0.00159655,314.0
2015-03-12,0.00157795,17.0
2015-03-13,0.00164844,76.0
2015-03-14,0.00119751,320.0
2015-03-15,0.00146574,396.0
2015-03-16,0.0025071,1990.0
2015-03-17,0.00288853,933.0
2015-03-18,0.0028146,211.0
2015-03-19,0.00169672,824.0
2015-03-20,0.00176423,220.0
2015-03-21,0.001872,148.0
2015-03-22,0.00180788,52.0
2015-03-23,0.00187046,66.0
2015-03-24,0.00132788,1085.0
2015-03-25,0.00155665,202.0
2015-03-26,0.00127355,114.0
2015-03-27,0.00183242,1274.0
2015-03-28,0.00118294,1030.0
2015-03-29,0.00150542,307.0
2015-03-30,0.00130854,392.0
2015-03-31,0.00125283,124.0
2015-04-01,0.00135824,575.0
2015-04-02,0.00142753,360.0
2015-04-03,0.00129078,507.0
2015-04-04,0.00135199,65.0
2015-04-05,0.00125619,62.0
2015-04-06,0.00138806,311.0
2015-04-07,0.00134144,154.0
2015-04-08,0.00140869,125.0
2015-04-09,0.00129694,377.0
2015-04-10,0.00139308,482.0
2015-04-11,0.00125,149.0
2015-04-12,0.00142658,449.0
2015-04-13,0.00147564,473.0
2015-04-14,0.00148839,403.0
2015-04-15,0.00163778,284.0
2015-04-16,0.00187053,1756.0
2015-04-17,0.00177136,3043.0
2015-04-18,0.00181148,1063.0
2015-04-19,0.00148677,341.0
2015-04-20,0.0014661,303.0
2015-04-21,0.00135242,304.0
2015-04-22,0.00159854,1644.0
2015-04-23,0.00210495,1994.0
2015-04-28,0.00229163,3431.0
2015-04-29,0.0018867,150.0
2015-04-30,0.00184204,855.0
2015-05-01,0.00184738,182.0
2015-05-02,0.00150955,777.0
2015-05-03,0.00156907,135.0
2015-05-04,0.00144012,38.0
2015-05-05,0.00150019,186.0
2015-05-06,0.00131543,347.0
2015-05-07,0.00184061,1007.0
2015-05-08,0.00225334,1879.0
2015-05-09,0.00238374,3153.0
2015-05-10,0.00194532,154.0
2015-05-11,0.00178262,415.0
2015-05-12,0.00172272,49.0
2015-05-13,0.00169322,304.0
2015-05-14,0.00159589,41.0
2015-05-15,0.00142927,1081.0
2015-05-16,0.00138402,86.0
2015-05-17,0.00142006,34.0
2015-05-18,0.00138983,4.0
2015-05-19,0.00137498,1176.0
2015-05-20,0.00113945,113.0
2015-05-21,0.00142507,31.0
2015-05-22,0.00119363,88.0
2015-05-23,0.00194982,1230.0
2015-05-24,0.00153784,37.0
2015-05-25,0.00170275,1420.0
2015-05-26,0.0014305,13.0
2015-05-27,0.000759024,2204.0
2015-05-28,0.000786032,162.0
2015-05-29,0.00103488,127.0
2015-05-30,0.000888537,37.0
2015-05-31,0.000810903,26.0
2015-06-01,0.000910038,40.0
2015-06-02,0.000818435,27.0
2015-06-03,0.000828543,18.0
2015-06-04,0.00085717,53.0
2015-06-05,0.00128164,304.0
2015-06-06,0.00125928,81.0
2015-06-07,0.000951325,58.0
2015-06-08,0.00103064,13.0
2015-06-09,0.000909882,400.0
2015-06-10,0.000923944,96.0
2015-06-11,0.00105881,107.0
2015-06-12,0.000856188,185.0
2015-06-13,0.000967,12.0
2015-06-14,0.000918295,73.0
2015-06-15,0.00100995,28.0
2015-06-16,0.00105644,45.0
2015-06-17,0.000991009,117.0
2015-06-18,0.001508,321.0
2015-06-19,0.00124752,154.0
2015-06-20,0.00145878,124.0
2015-06-21,0.00165104,454.0
2015-06-22,0.00150529,125.0
2015-06-23,0.00174102,909.0
2015-06-24,0.00196769,344.0
2015-06-25,0.00197237,3077.0
2015-06-26,0.00208662,1500.0
2015-06-27,0.00268462,2046.0
2015-06-28,0.00259302,1339.0
2015-06-29,0.00176881,1581.0
2015-06-30,0.00204595,509.0
2015-07-01,0.00221333,1633.0
2015-07-02,0.00196308,651.0
2015-07-03,0.0019722,745.0
2015-07-04,0.00198243,18535.0
2015-07-05,0.00226976,3312.0
2015-07-06,0.00203865,2338.0
2015-07-07,0.0022412,1006.0
2015-07-08,0.00237017,914.0
2015-07-09,0.00170267,342.0
2015-07-10,0.00186544,551.0
2015-07-11,0.00171713,33.0
2015-07-12,0.00179539,199.0
2015-07-13,0.00152368,662.0
2015-07-14,0.00152979,467.0
2015-07-15,0.00155412,369.0
2015-07-16,0.00172964,335.0
2015-07-17,0.00176362,167.0
2015-07-18,0.00196275,5.0
2015-07-19,0.00163967,193.0
2015-07-20,0.00165893,54.0
2015-07-21,0.00147165,278.0
2015-07-22,0.00149713,9.0
