Date,Settle,Volume
2017-07-09,8e-06,3488.0
2017-07-10,4e-06,2784.0
2017-07-11,3e-06,6579.0
2017-07-12,3e-06,4710.0
2017-07-13,3e-06,4296.0
2017-07-14,2e-06,5408.0
2017-07-15,4e-06,961.0
2017-07-16,2e-06,3101.0
2017-07-17,3e-06,1826.0
2017-07-18,3e-06,1722.0
2017-07-19,9e-06,1302.0
2017-07-20,2e-06,5517.0
2017-07-21,2e-06,1078.0
2017-07-22,3e-06,2038.0
2017-07-23,3e-06,2232.0
2017-07-24,2e-06,2337.0
2017-07-25,2e-06,3708.0
2017-07-26,3e-06,1939.0
2017-07-27,1e-06,1708.0
2017-07-28,3e-06,1335.0
2017-07-29,2e-06,1291.0
2017-07-30,3e-06,1562.0
2017-07-31,2e-06,1876.0
2017-08-01,2e-06,817.0
2017-08-02,1e-06,1339.0
2017-08-03,4e-06,2087.0
2017-08-04,1e-06,2600.0
2017-08-05,2e-06,3108.0
2017-08-06,1e-06,1975.0
2017-08-07,2e-06,2722.0
2017-08-08,2e-06,1700.0
2017-08-09,2e-06,1401.0
2017-08-10,4e-06,2520.0
2017-08-11,1.4e-05,7222.0
2017-08-12,5e-06,5401.0
2017-08-13,7e-06,4768.0
2017-08-14,3e-06,6788.0
2017-08-15,3e-06,8043.0
2017-08-16,3e-06,3770.0
2017-08-17,3e-06,3926.0
2017-08-18,4e-06,3563.0
2017-08-19,3e-06,5539.0
2017-08-20,4e-06,4813.0
2017-08-21,9e-06,1472.0
2017-08-22,1e-05,3087.0
2017-08-23,4e-06,4335.0
2017-08-24,3e-06,4582.0
2017-08-25,6e-06,4049.0
2017-08-26,4e-06,4055.0
2017-08-27,2e-06,3453.0
2017-08-28,5e-06,5157.0
2017-08-29,5e-06,2327.0
2017-08-30,4e-06,2889.0
2017-08-31,3e-06,4267.0
2017-09-01,9e-06,5527.0
2017-09-02,4e-06,3287.0
2017-09-03,3e-06,3641.0
2017-09-04,2e-06,4884.0
2017-09-05,4e-06,1323.0
2017-09-06,3e-06,4092.0
2017-09-07,1.7e-05,2310.0
2017-09-08,5e-06,2052.0
2017-09-09,4e-06,4524.0
2017-09-10,3e-06,2248.0
2017-09-11,4e-06,2633.0
2017-09-12,5e-06,2217.0
2017-09-13,3e-06,1217.0
2017-09-14,1.6e-05,2051.0
2017-09-15,7e-06,3184.0
2017-09-16,2.9826e-06,1984.6
2017-09-17,3.5438e-06,2056.46
2017-09-18,4.2237e-06,2661.78
2017-09-19,3.4431e-06,4453.02
2017-09-20,3.675e-06,400.77
2017-09-21,1.9435e-06,3942.09
2017-09-22,1.04746e-05,3232.12
2017-09-23,8.2496e-06,3861.23
2017-09-24,3.5712e-06,3987.96
2017-09-25,4.2495e-06,4426.61
2017-09-26,6.5386e-06,4833.24
2017-09-27,1.31004e-05,5021.87
2017-09-28,4.7936e-06,4416.08
2017-09-29,1.9273e-06,2909.3
2017-09-30,3.38e-06,5104.17
2017-10-01,3.1574e-06,2769.51
2017-10-02,1.20367e-05,2638.17
2017-10-03,1.86286e-05,3840.84
2017-10-04,7.8465e-06,2130.79
2017-10-05,5.2362e-06,3244.47
2017-10-06,2.4642e-06,2849.08
2017-10-07,7.1614e-06,5233.22
2017-10-08,6.3041e-06,10383.1
2017-10-09,3.0453e-06,7497.49
2017-10-10,1.34202e-05,7575.88
2017-10-11,5.9748e-06,2515.08
2017-10-12,7.7928e-06,3453.05
2017-10-13,5.1645e-06,3984.19
2017-10-14,5.3117e-06,3815.08
2017-10-15,7.9704e-06,4643.91
2017-10-16,3.648e-06,7802.33
2017-10-17,1.77994e-05,2057.82
2017-10-18,7.8633e-06,1077.16
2017-10-19,8.5244e-06,5440.0
2017-10-20,1.83786e-05,3034.63
2017-10-21,5.5273e-06,1966.99
2017-10-22,8.3951e-06,5572.02
2017-10-23,4.8422e-06,12742.2
2017-10-24,1.59425e-05,3207.8
2017-10-25,4.6538e-06,4229.01
2017-10-26,1.48232e-05,3055.41
2017-10-27,7.0198e-06,1493.13
2017-10-28,5.8107e-06,2692.18
2017-10-29,3.0706e-06,4482.65
2017-10-30,1.8472e-06,3408.81
2017-10-31,1.18807e-05,10978.7
2017-11-01,7.2416e-06,5715.63
2017-11-02,1.10201e-05,5168.4
2017-11-03,2.6299e-06,3712.77
2017-11-04,8.5932e-06,2964.88
2017-11-05,3.1644e-06,3587.48
2017-11-06,2.7546e-06,7276.58
2017-11-07,5.5406e-06,5228.43
2017-11-08,1.31984e-05,3071.14
2017-11-09,5.68465e-05,2471.27
2017-11-10,1.10898e-05,4145.45
2017-11-11,9.6246e-06,3944.77
2017-11-12,4.8496e-06,4505.88
2017-11-13,8.2087e-06,2741.46
2017-11-14,7.9711e-06,7248.72
2017-11-15,5.55915e-05,13854.4
2017-11-16,2.46743e-05,11355.0
2017-11-17,6.4566e-06,11476.5
2017-11-18,1.35365e-05,8466.77
2017-11-19,9.0304e-06,17451.8
2017-11-20,8.5043e-06,12232.8
2017-11-21,2.17698e-05,10053.4
2017-11-22,1.61635e-05,10995.1
2017-11-23,1.58416e-05,24211.2
2017-11-24,1.79686e-05,11442.3
2017-11-25,6.4467e-06,11907.8
2017-11-26,1.32994e-05,7959.6
2017-11-27,1.01729e-05,8064.67
2017-11-28,9.1099e-06,19037.4
2017-11-29,4.8241e-06,8342.01
2017-11-30,2.25814e-05,2819.76
2017-12-01,7.1102e-06,12708.2
2017-12-02,1.6871e-05,5539.56
2017-12-03,6.4111e-06,6434.45
2017-12-04,1.17626e-05,5645.45
2017-12-05,1.02966e-05,10995.8
2017-12-06,1.3705e-05,7101.27
2017-12-07,2.4355e-05,13261.5
2017-12-08,2.40463e-05,18874.2
2017-12-09,1.18277e-05,47559.5
2017-12-10,1.47952e-05,50581.5
2017-12-11,3.367e-05,234134.0
2017-12-12,7.63423e-05,966716.0
2017-12-13,0.000127464,1082380.0
2017-12-14,0.000173361,2294160.0
2017-12-15,0.000262145,2257940.0
2017-12-16,0.00052595,6135170.0
2017-12-17,0.00011206,4551820.0
2017-12-18,0.000254336,1833820.0
2017-12-19,0.000172768,1327210.0
2017-12-20,0.000267809,1049030.0
2017-12-21,0.000228921,1332350.0
2017-12-22,0.000193832,622901.0
2017-12-23,0.00021335,475521.0
2017-12-24,0.000233136,551561.0
2017-12-25,0.000258356,591968.0
2017-12-26,0.000282364,653253.0
2017-12-27,0.000383852,1393730.0
2017-12-28,0.000495031,2309220.0
2017-12-29,0.000730974,3993580.0
2017-12-30,0.00105378,7089330.0
2017-12-31,0.00184471,27162500.0
2018-01-01,0.0015478,8585170.0
2018-01-02,0.0011049,13576300.0
2018-01-03,0.0021759,16742500.0
2018-01-04,0.00308521,29623900.0
2018-01-05,0.00521383,43094100.0
2018-01-06,0.00288565,31234300.0
2018-01-07,0.0036334,20019900.0
2018-01-08,0.00325808,11229100.0
2018-01-09,0.00331823,14877900.0
2018-01-10,0.002821,9650660.0
2018-01-11,0.0027774,6458080.0
2018-01-12,0.00278202,5153960.0
2018-01-13,0.00257437,6051570.0
2018-01-14,0.00221781,4683960.0
2018-01-15,0.00222039,4699760.0
2018-01-16,0.00136191,3689660.0
2018-01-17,0.00168179,4602900.0
2018-01-18,0.00181167,3268450.0
2018-01-19,0.00160218,3626770.0
2018-01-20,0.00161126,183609.0
2018-01-21,0.00139372,1780970.0
2018-01-22,0.00128947,1508890.0
2018-01-23,0.0012214,1096570.0
2018-01-24,0.00126351,1303520.0
2018-01-25,0.00153088,1497080.0
2018-01-26,0.00121732,1623110.0
2018-01-27,0.00125757,1521170.0
2018-01-28,0.00107755,2038080.0
2018-01-29,0.00100782,1468440.0
2018-01-30,0.00100127,1433620.0
2018-01-31,0.000712538,2072120.0
2018-02-01,0.000622167,1026780.0
2018-02-02,0.000363924,2136070.0
2018-02-03,0.00045315,2154610.0
2018-02-04,0.000659186,1483130.0
2018-02-05,0.000577534,814930.0
2018-02-06,0.000493145,546012.0
2018-02-07,0.000544964,875266.0
2018-02-08,0.000605967,661076.0
2018-02-09,0.000734347,657657.0
2018-02-10,0.000928966,1036040.0
2018-02-11,0.000858756,2189930.0
2018-02-12,0.000877506,899291.0
2018-02-13,0.000818342,1202180.0
2018-02-14,0.000775924,809814.0
2018-02-15,0.000863374,675317.0
2018-02-16,0.000911794,1046750.0
2018-02-17,0.000883075,765428.0
2018-02-18,0.00087512,452810.0
2018-02-19,0.000756341,446703.0
2018-02-20,0.000778294,644579.0
2018-02-21,0.000720248,1268190.0
2018-02-22,0.000599596,712748.0
2018-02-23,0.000602539,723437.0
2018-02-24,0.000690339,616569.0
2018-02-25,0.00058624,456960.0
2018-02-26,0.000517447,385499.0
2018-02-27,0.000519808,1080580.0
2018-02-28,0.000523151,901920.0
2018-03-01,0.000418413,1272340.0
2018-03-02,0.000537261,601578.0
2018-03-03,0.00044412,612585.0
2018-03-04,0.000447356,355174.0
2018-03-05,0.000346159,546822.0
2018-03-06,0.000349969,786431.0
2018-03-07,0.000381553,269311.0
2018-03-08,0.000355871,278140.0
2018-03-09,0.000353708,394671.0
2018-03-10,0.000219106,398217.0
